[2021-10-21 17:57:03.165] synth-n_10-m_12-k_2-p_0.2.txt: 	Success with k = 0 in 4ms
[2021-10-21 17:57:03.216] synth-n_10-m_12-k_2-p_0.2.txt: 	Verified
[2021-10-21 17:57:03.219] synth-n_10-m_12-k_4-p_0.2.txt: 	Success with k = 1 in 2ms
[2021-10-21 17:57:03.259] synth-n_10-m_12-k_4-p_0.2.txt: 	Verified
[2021-10-21 17:57:03.260] synth-n_10-m_2-k_2-p_0.05.txt: 	Success with k = 0 in 0ms
[2021-10-21 17:57:03.299] synth-n_10-m_2-k_2-p_0.05.txt: 	Verified
[2021-10-21 17:57:03.300] synth-n_10-m_2-k_4-p_0.05.txt: 	Success with k = 0 in 0ms
[2021-10-21 17:57:03.339] synth-n_10-m_2-k_4-p_0.05.txt: 	Verified
[2021-10-21 17:57:03.340] synth-n_10-m_5-k_2-p_0.1.txt: 	Success with k = 0 in 0ms
[2021-10-21 17:57:03.379] synth-n_10-m_5-k_2-p_0.1.txt: 	Verified
[2021-10-21 17:57:03.379] synth-n_10-m_5-k_4-p_0.1.txt: 	Success with k = 0 in 0ms
[2021-10-21 17:57:03.420] synth-n_10-m_5-k_4-p_0.1.txt: 	Verified
[2021-10-21 17:57:03.421] synth-n_20-m_10-k_2-p_0.05.txt: 	Success with k = 0 in 1ms
[2021-10-21 17:57:03.462] synth-n_20-m_10-k_2-p_0.05.txt: 	Verified
[2021-10-21 17:57:03.463] synth-n_20-m_11-k_6-p_0.05.txt: 	Success with k = 0 in 0ms
[2021-10-21 17:57:03.504] synth-n_20-m_11-k_6-p_0.05.txt: 	Verified
[2021-10-21 17:57:03.505] synth-n_20-m_18-k_4-p_0.05.txt: 	Success with k = 1 in 1ms
[2021-10-21 17:57:03.546] synth-n_20-m_18-k_4-p_0.05.txt: 	Verified
[2021-10-21 17:57:03.547] synth-n_20-m_20-k_4-p_0.1.txt: 	Success with k = 0 in 1ms
[2021-10-21 17:57:03.585] synth-n_20-m_20-k_4-p_0.1.txt: 	Verified
[2021-10-21 17:57:03.587] synth-n_20-m_25-k_2-p_0.1.txt: 	Success with k = 1 in 1ms
[2021-10-21 17:57:03.627] synth-n_20-m_25-k_2-p_0.1.txt: 	Verified
[2021-10-21 17:57:03.629] synth-n_20-m_25-k_8-p_0.1.txt: 	Success with k = 2 in 1ms
[2021-10-21 17:57:03.669] synth-n_20-m_25-k_8-p_0.1.txt: 	Verified
[2021-10-21 17:57:03.672] synth-n_20-m_38-k_6-p_0.1.txt: 	Success with k = 2 in 1ms
[2021-10-21 17:57:03.711] synth-n_20-m_38-k_6-p_0.1.txt: 	Verified
[2021-10-21 17:57:03.713] synth-n_20-m_48-k_2-p_0.2.txt: 	Success with k = 2 in 1ms
[2021-10-21 17:57:03.751] synth-n_20-m_48-k_2-p_0.2.txt: 	Verified
[2021-10-21 17:57:03.757] synth-n_20-m_54-k_8-p_0.2.txt: 	Success with k = 3 in 5ms
[2021-10-21 17:57:03.797] synth-n_20-m_54-k_8-p_0.2.txt: 	Verified
[2021-10-21 17:57:03.806] synth-n_20-m_58-k_4-p_0.2.txt: 	Success with k = 4 in 9ms
[2021-10-21 17:57:03.846] synth-n_20-m_58-k_4-p_0.2.txt: 	Verified
[2021-10-21 17:57:03.848] synth-n_20-m_59-k_6-p_0.2.txt: 	Success with k = 3 in 0ms
[2021-10-21 17:57:03.886] synth-n_20-m_59-k_6-p_0.2.txt: 	Verified
[2021-10-21 17:57:03.887] synth-n_20-m_9-k_8-p_0.05.txt: 	Success with k = 0 in 0ms
[2021-10-21 17:57:03.926] synth-n_20-m_9-k_8-p_0.05.txt: 	Verified
[2021-10-21 17:57:04.416] synth-n_30-m_111-k_8-p_0.2.txt: 	Success with k = 7 in 489ms
[2021-10-21 17:57:04.455] synth-n_30-m_111-k_8-p_0.2.txt: 	Verified
[2021-10-21 17:57:04.460] synth-n_30-m_114-k_6-p_0.2.txt: 	Success with k = 5 in 4ms
[2021-10-21 17:57:04.499] synth-n_30-m_114-k_6-p_0.2.txt: 	Verified
[2021-10-21 17:57:06.448] synth-n_30-m_117-k_10-p_0.2.txt: 	Success with k = 7 in 1.1946s
[2021-10-21 17:57:06.486] synth-n_30-m_117-k_10-p_0.2.txt: 	Verified
[2021-10-21 17:57:06.487] synth-n_30-m_25-k_2-p_0.05.txt: 	Success with k = 0 in 0ms
[2021-10-21 17:57:06.524] synth-n_30-m_25-k_2-p_0.05.txt: 	Verified
[2021-10-21 17:57:06.525] synth-n_30-m_28-k_4-p_0.05.txt: 	Success with k = 2 in 1ms
[2021-10-21 17:57:06.562] synth-n_30-m_28-k_4-p_0.05.txt: 	Verified
[2021-10-21 17:57:06.563] synth-n_30-m_28-k_6-p_0.05.txt: 	Success with k = 1 in 1ms
[2021-10-21 17:57:06.599] synth-n_30-m_28-k_6-p_0.05.txt: 	Verified
[2021-10-21 17:57:06.600] synth-n_30-m_28-k_8-p_0.05.txt: 	Success with k = 1 in 0ms
