[2021-11-21 10:05:10.237] advotogo-n_100: 	---------- advotogo-n_100 (n = 16, m = 12, k = 3) ----------
[2021-11-21 10:05:10.243] advotogo-n_100: 	Removed 3 nodes in preprocessing
[2021-11-21 10:05:10.245] advotogo-n_100: 	Found 0 cyclic sub graph(s) with n = []
[2021-11-21 10:05:10.250] advotogo-n_100: 	Found solution with k = 3 in 19ms
[2021-11-21 10:05:10.251] advotogo-n_1000: 	---------- advotogo-n_1000 (n = 578, m = 1500, k = 112) ----------
[2021-11-21 10:05:10.304] advotogo-n_1000: 	Removed 111 nodes in preprocessing
[2021-11-21 10:05:10.305] advotogo-n_1000: 	Found 1 cyclic sub graph(s) with n = [2]
[2021-11-21 10:05:10.308] advotogo-n_1000: 	Found 1 flowers that need to be removed for k = 0
[2021-11-21 10:05:10.309] advotogo-n_1000: 	Found 0 flowers that need to be removed for k = 1
[2021-11-21 10:05:10.310] advotogo-n_1000: 	Found solution with k = 112 in 59ms
[2021-11-21 10:05:10.311] advotogo-n_200: 	---------- advotogo-n_200 (n = 54, m = 52, k = 5) ----------
[2021-11-21 10:05:10.311] advotogo-n_200: 	Removed 5 nodes in preprocessing
[2021-11-21 10:05:10.311] advotogo-n_200: 	Found 0 cyclic sub graph(s) with n = []
[2021-11-21 10:05:10.312] advotogo-n_200: 	Found solution with k = 5 in 1ms
[2021-11-21 10:05:10.312] advotogo-n_300: 	---------- advotogo-n_300 (n = 113, m = 150, k = 15) ----------
[2021-11-21 10:05:10.314] advotogo-n_300: 	Removed 15 nodes in preprocessing
[2021-11-21 10:05:10.314] advotogo-n_300: 	Found 0 cyclic sub graph(s) with n = []
[2021-11-21 10:05:10.314] advotogo-n_300: 	Found solution with k = 15 in 1ms
[2021-11-21 10:05:10.314] advotogo-n_400: 	---------- advotogo-n_400 (n = 158, m = 235, k = 22) ----------
[2021-11-21 10:05:10.317] advotogo-n_400: 	Removed 22 nodes in preprocessing
[2021-11-21 10:05:10.317] advotogo-n_400: 	Found 0 cyclic sub graph(s) with n = []
[2021-11-21 10:05:10.318] advotogo-n_400: 	Found solution with k = 22 in 4ms
[2021-11-21 10:05:10.318] advotogo-n_500: 	---------- advotogo-n_500 (n = 271, m = 628, k = 36) ----------
[2021-11-21 10:05:10.326] advotogo-n_500: 	Removed 36 nodes in preprocessing
[2021-11-21 10:05:10.326] advotogo-n_500: 	Found 0 cyclic sub graph(s) with n = []
[2021-11-21 10:05:10.326] advotogo-n_500: 	Found solution with k = 36 in 8ms
[2021-11-21 10:05:10.327] advotogo-n_700: 	---------- advotogo-n_700 (n = 402, m = 942, k = 64) ----------
[2021-11-21 10:05:10.347] advotogo-n_700: 	Removed 61 nodes in preprocessing
[2021-11-21 10:05:10.347] advotogo-n_700: 	Found 1 cyclic sub graph(s) with n = [5]
[2021-11-21 10:05:10.348] advotogo-n_700: 	Found 4 flowers that need to be removed for k = 0
[2021-11-21 10:05:10.348] advotogo-n_700: 	Found 3 flowers that need to be removed for k = 1
[2021-11-21 10:05:10.348] advotogo-n_700: 	Found 2 flowers that need to be removed for k = 2
[2021-11-21 10:05:10.348] advotogo-n_700: 	Found 1 flowers that need to be removed for k = 3
[2021-11-21 10:05:10.349] advotogo-n_700: 	Found solution with k = 64 in 22ms
[2021-11-21 10:05:10.349] advotogo-n_800: 	---------- advotogo-n_800 (n = 458, m = 1211, k = 79) ----------
[2021-11-21 10:05:10.361] advotogo-n_800: 	Removed 79 nodes in preprocessing
[2021-11-21 10:05:10.361] advotogo-n_800: 	Found 0 cyclic sub graph(s) with n = []
[2021-11-21 10:05:10.362] advotogo-n_800: 	Found solution with k = 79 in 12ms
[2021-11-21 10:05:10.362] baydry: 	---------- baydry (n = 128, m = 2137, k = 7) ----------
[2021-11-21 10:05:10.370] baydry: 	Removed 7 nodes in preprocessing
[2021-11-21 10:05:10.370] baydry: 	Found 0 cyclic sub graph(s) with n = []
[2021-11-21 10:05:10.371] baydry: 	Found solution with k = 7 in 8ms
[2021-11-21 10:05:10.371] baywet: 	---------- baywet (n = 128, m = 2106, k = 7) ----------
[2021-11-21 10:05:10.377] baywet: 	Removed 7 nodes in preprocessing
[2021-11-21 10:05:10.377] baywet: 	Found 0 cyclic sub graph(s) with n = []
[2021-11-21 10:05:10.377] baywet: 	Found solution with k = 7 in 6ms
