name,k_optimal,k_solved,millis,verified
advotogo-n_100,3,3,23,true
advotogo-n_1000,112,47,180000,false
advotogo-n_200,5,5,1,true
advotogo-n_300,15,15,1,true
advotogo-n_400,22,22,2,true
advotogo-n_500,36,36,79759,true
advotogo-n_700,64,22,180000,false
advotogo-n_800,79,30,180000,false
baydry,7,7,209,true
baywet,7,7,188,true
biology-n_12-m_33-p_0.5-15,3,3,1,true
biology-n_12-m_33-p_0.75-15,3,3,0,true
biology-n_12-m_33-p_0.9-15,3,3,0,true
biology-n_12-m_43-p_0.5-25,4,4,0,true
biology-n_12-m_43-p_0.75-25,3,3,0,true
biology-n_12-m_43-p_0.9-25,1,1,0,true
biology-n_12-m_45-p_0.5-19,3,3,0,true
biology-n_12-m_45-p_0.75-19,3,3,0,true
biology-n_12-m_45-p_0.9-19,1,1,0,true
biology-n_13-m_39-p_0.5-4,2,2,0,true
biology-n_13-m_39-p_0.75-4,3,3,1,true
biology-n_13-m_39-p_0.9-4,4,4,0,true
biology-n_13-m_51-p_0.5-22,4,4,0,true
biology-n_13-m_51-p_0.75-22,3,3,0,true
biology-n_13-m_51-p_0.9-22,3,3,0,true
biology-n_16-m_79-p_0.5-3,6,6,1,true
biology-n_16-m_79-p_0.75-3,6,6,1,true
biology-n_16-m_79-p_0.9-3,4,4,1,true
biology-n_17-m_89-p_0.5-10,6,6,1,true
biology-n_17-m_89-p_0.75-10,6,6,1,true
biology-n_17-m_89-p_0.9-10,4,4,1,true
biology-n_19-m_99-p_0.5-20,7,7,2,true
biology-n_19-m_99-p_0.75-20,6,6,1,true
biology-n_19-m_99-p_0.9-20,3,3,0,true
biology-n_20-m_125-p_0.5-24,8,8,6,true
biology-n_20-m_125-p_0.5-7,9,9,28,true
biology-n_20-m_125-p_0.75-24,9,9,10,true
biology-n_20-m_125-p_0.75-7,5,5,1,true
biology-n_20-m_125-p_0.9-24,3,3,0,true
biology-n_20-m_125-p_0.9-7,4,4,1,true
biology-n_22-m_76-p_0.5-9,4,4,0,true
biology-n_22-m_76-p_0.75-9,4,4,0,true
biology-n_22-m_76-p_0.9-9,3,3,0,true
biology-n_23-m_166-p_0.5-17,12,12,39,true
biology-n_23-m_166-p_0.75-17,10,10,37,true
biology-n_23-m_166-p_0.9-17,6,6,3,true
biology-n_25-m_231-p_0.5-6,13,13,375,true
biology-n_25-m_231-p_0.75-6,13,13,127,true
biology-n_25-m_231-p_0.9-6,8,8,8,true
biology-n_28-m_163-p_0.5-11,10,10,9,true
biology-n_28-m_163-p_0.75-11,8,8,3,true
biology-n_28-m_163-p_0.9-11,5,5,1,true
biology-n_28-m_249-p_0.5-8,15,15,567,true
biology-n_28-m_249-p_0.75-8,13,13,191,true
biology-n_28-m_249-p_0.9-8,6,6,4,true
biology-n_29-m_153-p_0.5-21,11,11,80,true
biology-n_29-m_153-p_0.75-21,11,11,63,true
biology-n_29-m_153-p_0.9-21,5,5,1,true
biology-n_30-m_287-p_0.5-5,15,15,847,true
biology-n_30-m_287-p_0.75-5,12,12,241,true
biology-n_30-m_287-p_0.9-5,10,10,70,true
biology-n_35-m_315-p_0.5-18,17,17,2219,true
biology-n_35-m_315-p_0.75-18,15,15,1676,true
biology-n_35-m_315-p_0.9-18,10,10,49,true
biology-n_36-m_219-p_0.5-12,17,17,64,true
biology-n_36-m_219-p_0.75-12,14,14,24,true
biology-n_36-m_219-p_0.9-12,9,9,1,true
biology-n_42-m_297-p_0.5-23,21,21,37196,true
biology-n_42-m_297-p_0.75-23,19,19,18184,true
biology-n_42-m_297-p_0.9-23,13,13,114,true
biology-n_45-m_326-p_0.5-16,21,21,141,true
biology-n_45-m_326-p_0.75-16,18,18,87,true
biology-n_45-m_326-p_0.9-16,14,14,11,true
biology-n_49-m_689-p_0.5-14,29,0,180000,false
