name,k_optimal,k_solved,millis,verified
synth-n_10-m_12-k_2-p_0.2.txt,0,0,22,true
synth-n_10-m_12-k_4-p_0.2.txt,1,1,0,true
synth-n_100-m_1009-k_2-p_0.2.txt,2,2,4,true
synth-n_100-m_1028-k_4-p_0.2.txt,4,4,73,true
synth-n_100-m_1107-k_6-p_0.2.txt,6,6,44,true
synth-n_100-m_1119-k_8-p_0.2.txt,8,8,88,true
synth-n_100-m_1129-k_10-p_0.2.txt,10,10,92,true
synth-n_100-m_1220-k_15-p_0.2.txt,15,15,760,true
synth-n_100-m_1231-k_25-p_0.2.txt,25,0,180000,false
synth-n_100-m_1235-k_20-p_0.2.txt,20,0,180000,false
synth-n_100-m_1374-k_30-p_0.2.txt,30,0,180000,false
synth-n_100-m_262-k_6-p_0.05.txt,5,5,1,true
synth-n_100-m_275-k_10-p_0.05.txt,6,6,2,true
synth-n_100-m_277-k_8-p_0.05.txt,4,4,1,true
synth-n_100-m_282-k_2-p_0.05.txt,2,2,1,true
synth-n_100-m_305-k_20-p_0.05.txt,10,10,194,true
synth-n_100-m_305-k_4-p_0.05.txt,3,3,1,true
synth-n_100-m_319-k_15-p_0.05.txt,9,9,4,true
synth-n_100-m_344-k_25-p_0.05.txt,12,12,1524,true
synth-n_100-m_346-k_30-p_0.05.txt,17,0,180000,false
synth-n_100-m_491-k_2-p_0.1.txt,2,2,1,true
synth-n_100-m_542-k_4-p_0.1.txt,4,4,2,true
synth-n_100-m_546-k_8-p_0.1.txt,8,8,8,true
synth-n_100-m_565-k_6-p_0.1.txt,6,6,2,true
synth-n_100-m_568-k_10-p_0.1.txt,10,10,32,true
synth-n_100-m_596-k_15-p_0.1.txt,15,15,54927,true
synth-n_100-m_643-k_25-p_0.1.txt,25,0,180000,false
synth-n_100-m_645-k_20-p_0.1.txt,20,0,180000,false
synth-n_100-m_670-k_30-p_0.1.txt,29,0,180000,false
synth-n_120-m_1409-k_2-p_0.2.txt,2,2,4,true
synth-n_120-m_1485-k_6-p_0.2.txt,6,6,93,true
synth-n_120-m_1520-k_4-p_0.2.txt,4,4,52,true
synth-n_120-m_1530-k_10-p_0.2.txt,10,10,143,true
synth-n_120-m_1600-k_8-p_0.2.txt,8,8,132,true
synth-n_120-m_1738-k_15-p_0.2.txt,15,15,263,true
synth-n_120-m_1775-k_20-p_0.2.txt,20,0,180000,false
synth-n_120-m_1825-k_25-p_0.2.txt,25,0,180000,false
synth-n_120-m_1829-k_30-p_0.2.txt,30,0,180000,false
synth-n_120-m_368-k_2-p_0.05.txt,2,2,1,true
synth-n_120-m_372-k_4-p_0.05.txt,4,4,2,true
synth-n_120-m_391-k_6-p_0.05.txt,5,5,3,true
synth-n_120-m_395-k_8-p_0.05.txt,7,7,2,true
synth-n_120-m_420-k_10-p_0.05.txt,7,7,2,true
synth-n_120-m_432-k_20-p_0.05.txt,15,15,7693,true
synth-n_120-m_455-k_15-p_0.05.txt,10,10,219,true
synth-n_120-m_482-k_25-p_0.05.txt,17,0,180000,false
synth-n_120-m_492-k_30-p_0.05.txt,21,0,180000,false
synth-n_120-m_724-k_4-p_0.1.txt,4,4,3,true
synth-n_120-m_788-k_6-p_0.1.txt,6,6,3,true
synth-n_120-m_790-k_10-p_0.1.txt,10,10,57,true
synth-n_120-m_791-k_2-p_0.1.txt,2,2,2,true
synth-n_120-m_828-k_8-p_0.1.txt,8,8,53,true
synth-n_120-m_871-k_15-p_0.1.txt,15,15,46640,true
synth-n_120-m_921-k_25-p_0.1.txt,25,0,180000,false
synth-n_120-m_935-k_30-p_0.1.txt,29,0,180000,false
synth-n_120-m_950-k_20-p_0.1.txt,20,0,180000,false
synth-n_140-m_1028-k_2-p_0.1.txt,2,2,3,true
synth-n_140-m_1046-k_6-p_0.1.txt,6,6,5,true
synth-n_140-m_1047-k_4-p_0.1.txt,4,4,4,true
synth-n_140-m_1056-k_8-p_0.1.txt,8,8,43,true
synth-n_140-m_1070-k_10-p_0.1.txt,10,10,94,true
synth-n_140-m_1181-k_20-p_0.1.txt,20,0,180000,false
synth-n_140-m_1184-k_15-p_0.1.txt,15,15,2207,true
synth-n_140-m_1225-k_25-p_0.1.txt,25,0,180000,false
synth-n_140-m_1284-k_30-p_0.1.txt,30,0,180000,false
synth-n_140-m_2032-k_2-p_0.2.txt,2,2,5,true
synth-n_140-m_2038-k_4-p_0.2.txt,4,4,113,true
synth-n_140-m_2080-k_6-p_0.2.txt,6,6,176,true
synth-n_140-m_2149-k_8-p_0.2.txt,8,8,215,true
synth-n_140-m_2195-k_10-p_0.2.txt,10,10,237,true
synth-n_140-m_2205-k_15-p_0.2.txt,15,15,289,true
synth-n_140-m_2299-k_20-p_0.2.txt,20,20,29775,true
synth-n_140-m_2379-k_25-p_0.2.txt,25,0,180000,false
synth-n_140-m_2487-k_30-p_0.2.txt,30,0,180000,false
synth-n_140-m_508-k_2-p_0.05.txt,2,2,1,true
synth-n_140-m_511-k_4-p_0.05.txt,2,2,2,true
synth-n_140-m_511-k_6-p_0.05.txt,6,6,2,true
synth-n_140-m_531-k_8-p_0.05.txt,7,7,2,true
synth-n_140-m_542-k_15-p_0.05.txt,13,13,764,true
synth-n_140-m_547-k_10-p_0.05.txt,8,8,2,true
synth-n_140-m_625-k_25-p_0.05.txt,22,0,180000,false
synth-n_140-m_632-k_20-p_0.05.txt,16,16,45782,true
synth-n_140-m_632-k_30-p_0.05.txt,26,1,180000,false
synth-n_160-m_1318-k_4-p_0.1.txt,4,4,6,true
synth-n_160-m_1324-k_2-p_0.1.txt,2,2,5,true
synth-n_160-m_1346-k_6-p_0.1.txt,6,6,5,true
synth-n_160-m_1409-k_10-p_0.1.txt,10,10,136,true
synth-n_160-m_1412-k_8-p_0.1.txt,8,8,186,true
synth-n_160-m_1447-k_15-p_0.1.txt,15,15,2313,true
synth-n_160-m_1523-k_20-p_0.1.txt,20,0,180000,false
synth-n_160-m_1595-k_25-p_0.1.txt,25,0,180000,false
synth-n_160-m_1648-k_30-p_0.1.txt,30,0,180000,false
synth-n_160-m_2577-k_2-p_0.2.txt,2,2,8,true
synth-n_160-m_2611-k_4-p_0.2.txt,4,4,7,true
synth-n_160-m_2705-k_6-p_0.2.txt,6,6,276,true
synth-n_160-m_2720-k_10-p_0.2.txt,10,10,327,true
synth-n_160-m_2776-k_8-p_0.2.txt,8,8,289,true
synth-n_160-m_2910-k_15-p_0.2.txt,15,15,460,true
synth-n_160-m_3006-k_20-p_0.2.txt,20,20,1187,true
synth-n_160-m_3034-k_25-p_0.2.txt,25,0,180000,false
synth-n_160-m_3134-k_30-p_0.2.txt,30,0,180000,false
synth-n_160-m_641-k_2-p_0.05.txt,2,2,2,true
synth-n_160-m_663-k_4-p_0.05.txt,4,4,5,true
synth-n_160-m_683-k_8-p_0.05.txt,6,6,9,true
synth-n_160-m_693-k_6-p_0.05.txt,6,6,4,true
synth-n_160-m_731-k_10-p_0.05.txt,10,10,101,true
synth-n_160-m_743-k_20-p_0.05.txt,19,1,180000,false
synth-n_160-m_746-k_15-p_0.05.txt,14,14,11921,true
synth-n_160-m_800-k_30-p_0.05.txt,27,1,180000,false
synth-n_160-m_810-k_25-p_0.05.txt,25,0,180000,false
synth-n_180-m_1022-k_30-p_0.05.txt,29,1,180000,false
