name,k_optimal,k_solved,millis,verified,recursive_steps
biology-n_35-m_315-p_0.75-18,15,15,465,true,6077
biology-n_42-m_297-p_0.5-23,21,21,13018,true,336165
biology-n_42-m_297-p_0.75-23,19,19,8080,true,204429
biology-n_49-m_689-p_0.9-14,19,19,1203,true,16413
biology-n_59-m_624-p_0.75-1,26,26,1269,true,23886
synth-n_100-m_305-k_20-p_0.05.txt,10,10,461,true,6803
synth-n_120-m_455-k_15-p_0.05.txt,10,10,161,true,1186
synth-n_160-m_731-k_10-p_0.05.txt,10,10,149,true,327
synth-n_50-m_357-k_20-p_0.2.txt,20,20,15636,true,195493
synth-n_60-m_243-k_25-p_0.1.txt,14,14,2409,true,43222
synth-n_60-m_271-k_20-p_0.1.txt,15,15,16300,true,206369
synth-n_60-m_468-k_15-p_0.2.txt,15,15,4694,true,32503
synth-n_80-m_818-k_15-p_0.2.txt,15,15,687,true,2288
