name,k_optimal,k_solved,millis,verified,recursive_steps
biology-n_35-m_315-p_0.75-18,15,15,270,true,21205
biology-n_42-m_297-p_0.5-23,21,21,4485,true,575633
biology-n_42-m_297-p_0.75-23,19,19,5486,true,839619
biology-n_49-m_689-p_0.9-14,19,19,245,true,49508
biology-n_59-m_624-p_0.75-1,26,26,282,true,73907
synth-n_100-m_305-k_20-p_0.05.txt,10,10,103,true,12884
synth-n_120-m_455-k_15-p_0.05.txt,10,10,131,true,8696
synth-n_160-m_731-k_10-p_0.05.txt,10,10,81,true,1127
synth-n_50-m_357-k_20-p_0.2.txt,20,20,7542,true,1350739
synth-n_60-m_243-k_25-p_0.1.txt,14,14,1775,true,232479
synth-n_60-m_271-k_20-p_0.1.txt,15,15,14471,true,1715593
synth-n_60-m_468-k_15-p_0.2.txt,15,15,1883,true,240071
synth-n_80-m_818-k_15-p_0.2.txt,15,15,296,true,20741
