name,k_optimal,k_solved,millis,verified,recursive_steps
advotogo-n_100,3,3,22,true,0
advotogo-n_1000,112,112,37,true,1
advotogo-n_200,5,5,0,true,0
advotogo-n_300,15,15,1,true,0
advotogo-n_400,22,22,1,true,0
advotogo-n_500,36,36,4,true,0
advotogo-n_700,64,64,14,true,4
advotogo-n_800,79,79,12,true,0
baydry,7,7,4,true,0
baywet,7,7,6,true,0
biology-n_12-m_33-p_0.5-15,3,3,2,true,3
biology-n_12-m_33-p_0.75-15,3,3,1,true,1
biology-n_12-m_33-p_0.9-15,3,3,0,true,0
biology-n_12-m_43-p_0.5-25,4,4,1,true,14
biology-n_12-m_43-p_0.75-25,3,3,0,true,0
biology-n_12-m_43-p_0.9-25,1,1,0,true,0
biology-n_12-m_45-p_0.5-19,3,3,1,true,4
biology-n_12-m_45-p_0.75-19,3,3,1,true,10
biology-n_12-m_45-p_0.9-19,1,1,0,true,0
biology-n_13-m_39-p_0.5-4,2,2,1,true,2
biology-n_13-m_39-p_0.75-4,3,3,0,true,0
biology-n_13-m_39-p_0.9-4,4,4,0,true,0
biology-n_13-m_51-p_0.5-22,4,4,1,true,7
biology-n_13-m_51-p_0.75-22,3,3,1,true,3
biology-n_13-m_51-p_0.9-22,3,3,0,true,0
biology-n_16-m_79-p_0.5-3,6,6,2,true,94
biology-n_16-m_79-p_0.75-3,6,6,3,true,91
biology-n_16-m_79-p_0.9-3,4,4,1,true,25
biology-n_17-m_89-p_0.5-10,6,6,2,true,86
biology-n_17-m_89-p_0.75-10,6,6,2,true,127
biology-n_17-m_89-p_0.9-10,4,4,1,true,8
biology-n_19-m_99-p_0.5-20,7,7,4,true,265
biology-n_19-m_99-p_0.75-20,6,6,2,true,65
biology-n_19-m_99-p_0.9-20,3,3,0,true,0
biology-n_20-m_125-p_0.5-24,8,8,5,true,601
biology-n_20-m_125-p_0.5-7,9,9,4,true,547
biology-n_20-m_125-p_0.75-24,9,9,5,true,820
biology-n_20-m_125-p_0.75-7,5,5,1,true,24
biology-n_20-m_125-p_0.9-24,3,3,1,true,17
biology-n_20-m_125-p_0.9-7,4,4,1,true,3
biology-n_22-m_76-p_0.5-9,4,4,1,true,8
biology-n_22-m_76-p_0.75-9,4,4,0,true,12
biology-n_22-m_76-p_0.9-9,3,3,0,true,7
biology-n_23-m_166-p_0.5-17,12,12,48,true,7719
biology-n_23-m_166-p_0.75-17,10,10,14,true,1738
biology-n_23-m_166-p_0.9-17,6,6,2,true,34
biology-n_25-m_231-p_0.5-6,13,13,32,true,6258
biology-n_25-m_231-p_0.75-6,13,13,26,true,6700
biology-n_25-m_231-p_0.9-6,8,8,3,true,246
biology-n_28-m_163-p_0.5-11,10,10,5,true,472
biology-n_28-m_163-p_0.75-11,8,8,3,true,196
biology-n_28-m_163-p_0.9-11,5,5,1,true,16
biology-n_28-m_249-p_0.5-8,15,15,40,true,11374
biology-n_28-m_249-p_0.75-8,13,13,27,true,5218
biology-n_28-m_249-p_0.9-8,6,6,2,true,14
biology-n_29-m_153-p_0.5-21,11,11,7,true,1489
biology-n_29-m_153-p_0.75-21,11,11,36,true,7561
biology-n_29-m_153-p_0.9-21,5,5,1,true,30
biology-n_30-m_287-p_0.5-5,15,15,55,true,12378
biology-n_30-m_287-p_0.75-5,12,12,25,true,4917
biology-n_30-m_287-p_0.9-5,10,10,36,true,5604
biology-n_35-m_315-p_0.5-18,17,17,75,true,17100
biology-n_35-m_315-p_0.75-18,15,15,74,true,21205
biology-n_35-m_315-p_0.9-18,10,10,18,true,2151
biology-n_36-m_219-p_0.5-12,17,17,11,true,3151
biology-n_36-m_219-p_0.75-12,14,14,8,true,1104
biology-n_36-m_219-p_0.9-12,9,9,2,true,6
biology-n_42-m_297-p_0.5-23,21,21,4109,true,575633
