name,k,millis,verified
biology-n_12-m_33-p_0.5-15,3,31,true
biology-n_12-m_33-p_0.75-15,3,3,true
biology-n_12-m_33-p_0.9-15,3,1,true
biology-n_12-m_43-p_0.5-25,4,4,true
biology-n_12-m_43-p_0.75-25,3,3,true
biology-n_12-m_43-p_0.9-25,1,2,true
biology-n_12-m_45-p_0.5-19,3,2,true
biology-n_12-m_45-p_0.75-19,3,3,true
biology-n_12-m_45-p_0.9-19,1,1,true
biology-n_13-m_39-p_0.5-4,2,2,true
biology-n_13-m_39-p_0.75-4,3,2,true
biology-n_13-m_39-p_0.9-4,4,1,true
biology-n_13-m_51-p_0.5-22,4,1,true
biology-n_13-m_51-p_0.75-22,3,1,true
biology-n_13-m_51-p_0.9-22,3,0,true
biology-n_16-m_79-p_0.5-3,6,15,true
biology-n_16-m_79-p_0.75-3,6,8,true
biology-n_16-m_79-p_0.9-3,4,2,true
biology-n_17-m_89-p_0.5-10,6,9,true
biology-n_17-m_89-p_0.75-10,6,38,true
biology-n_17-m_89-p_0.9-10,4,2,true
biology-n_19-m_99-p_0.5-20,7,72,true
biology-n_19-m_99-p_0.75-20,6,20,true
biology-n_19-m_99-p_0.9-20,3,2,true
biology-n_20-m_125-p_0.5-24,8,356,true
biology-n_20-m_125-p_0.5-7,9,1012,true
biology-n_20-m_125-p_0.75-24,9,446,true
biology-n_20-m_125-p_0.75-7,5,3,true
biology-n_20-m_125-p_0.9-24,3,1,true
biology-n_20-m_125-p_0.9-7,4,2,true
biology-n_22-m_76-p_0.5-9,4,1,true
biology-n_22-m_76-p_0.75-9,4,2,true
biology-n_22-m_76-p_0.9-9,3,1,true
