[2021-10-21 17:59:05.962] synth-n_10-m_12-k_2-p_0.2.txt: 	Success with k = 0 in 5ms
[2021-10-21 17:59:06.016] synth-n_10-m_12-k_2-p_0.2.txt: 	Verified
[2021-10-21 17:59:06.018] synth-n_10-m_12-k_4-p_0.2.txt: 	Success with k = 1 in 2ms
[2021-10-21 17:59:06.058] synth-n_10-m_12-k_4-p_0.2.txt: 	Verified
[2021-10-21 17:59:06.059] synth-n_10-m_2-k_2-p_0.05.txt: 	Success with k = 0 in 0ms
[2021-10-21 17:59:06.097] synth-n_10-m_2-k_2-p_0.05.txt: 	Verified
[2021-10-21 17:59:06.098] synth-n_10-m_2-k_4-p_0.05.txt: 	Success with k = 0 in 0ms
[2021-10-21 17:59:06.137] synth-n_10-m_2-k_4-p_0.05.txt: 	Verified
[2021-10-21 17:59:06.138] synth-n_10-m_5-k_2-p_0.1.txt: 	Success with k = 0 in 1ms
[2021-10-21 17:59:06.177] synth-n_10-m_5-k_2-p_0.1.txt: 	Verified
[2021-10-21 17:59:06.177] synth-n_10-m_5-k_4-p_0.1.txt: 	Success with k = 0 in 0ms
[2021-10-21 17:59:06.218] synth-n_10-m_5-k_4-p_0.1.txt: 	Verified
[2021-10-21 17:59:06.219] synth-n_20-m_10-k_2-p_0.05.txt: 	Success with k = 0 in 0ms
[2021-10-21 17:59:06.264] synth-n_20-m_10-k_2-p_0.05.txt: 	Verified
[2021-10-21 17:59:06.265] synth-n_20-m_11-k_6-p_0.05.txt: 	Success with k = 0 in 1ms
[2021-10-21 17:59:06.307] synth-n_20-m_11-k_6-p_0.05.txt: 	Verified
[2021-10-21 17:59:06.308] synth-n_20-m_18-k_4-p_0.05.txt: 	Success with k = 1 in 0ms
[2021-10-21 17:59:06.347] synth-n_20-m_18-k_4-p_0.05.txt: 	Verified
[2021-10-21 17:59:06.348] synth-n_20-m_20-k_4-p_0.1.txt: 	Success with k = 0 in 0ms
[2021-10-21 17:59:06.386] synth-n_20-m_20-k_4-p_0.1.txt: 	Verified
[2021-10-21 17:59:06.387] synth-n_20-m_25-k_2-p_0.1.txt: 	Success with k = 1 in 1ms
[2021-10-21 17:59:06.426] synth-n_20-m_25-k_2-p_0.1.txt: 	Verified
[2021-10-21 17:59:06.428] synth-n_20-m_25-k_8-p_0.1.txt: 	Success with k = 2 in 1ms
[2021-10-21 17:59:06.467] synth-n_20-m_25-k_8-p_0.1.txt: 	Verified
[2021-10-21 17:59:06.469] synth-n_20-m_38-k_6-p_0.1.txt: 	Success with k = 2 in 2ms
[2021-10-21 17:59:06.506] synth-n_20-m_38-k_6-p_0.1.txt: 	Verified
[2021-10-21 17:59:06.508] synth-n_20-m_48-k_2-p_0.2.txt: 	Success with k = 2 in 1ms
[2021-10-21 17:59:06.545] synth-n_20-m_48-k_2-p_0.2.txt: 	Verified
[2021-10-21 17:59:06.550] synth-n_20-m_54-k_8-p_0.2.txt: 	Success with k = 3 in 5ms
[2021-10-21 17:59:06.589] synth-n_20-m_54-k_8-p_0.2.txt: 	Verified
[2021-10-21 17:59:06.598] synth-n_20-m_58-k_4-p_0.2.txt: 	Success with k = 4 in 9ms
[2021-10-21 17:59:06.637] synth-n_20-m_58-k_4-p_0.2.txt: 	Verified
[2021-10-21 17:59:06.638] synth-n_20-m_59-k_6-p_0.2.txt: 	Success with k = 3 in 0ms
[2021-10-21 17:59:06.676] synth-n_20-m_59-k_6-p_0.2.txt: 	Verified
[2021-10-21 17:59:06.677] synth-n_20-m_9-k_8-p_0.05.txt: 	Success with k = 0 in 0ms
[2021-10-21 17:59:06.715] synth-n_20-m_9-k_8-p_0.05.txt: 	Verified
[2021-10-21 17:59:07.232] synth-n_30-m_111-k_8-p_0.2.txt: 	Success with k = 7 in 516ms
[2021-10-21 17:59:07.272] synth-n_30-m_111-k_8-p_0.2.txt: 	Verified
[2021-10-21 17:59:07.277] synth-n_30-m_114-k_6-p_0.2.txt: 	Success with k = 5 in 5ms
[2021-10-21 17:59:07.314] synth-n_30-m_114-k_6-p_0.2.txt: 	Verified
[2021-10-21 17:59:09.335] synth-n_30-m_117-k_10-p_0.2.txt: 	Success with k = 7 in 2.2019s
[2021-10-21 17:59:09.374] synth-n_30-m_117-k_10-p_0.2.txt: 	Verified
[2021-10-21 17:59:09.374] synth-n_30-m_25-k_2-p_0.05.txt: 	Success with k = 0 in 0ms
[2021-10-21 17:59:09.410] synth-n_30-m_25-k_2-p_0.05.txt: 	Verified
[2021-10-21 17:59:09.410] synth-n_30-m_28-k_4-p_0.05.txt: 	Success with k = 2 in 0ms
[2021-10-21 17:59:09.447] synth-n_30-m_28-k_4-p_0.05.txt: 	Verified
[2021-10-21 17:59:09.447] synth-n_30-m_28-k_6-p_0.05.txt: 	Success with k = 1 in 0ms
[2021-10-21 17:59:09.484] synth-n_30-m_28-k_6-p_0.05.txt: 	Verified
[2021-10-21 17:59:09.484] synth-n_30-m_28-k_8-p_0.05.txt: 	Success with k = 1 in 0ms
[2021-10-21 17:59:09.522] synth-n_30-m_28-k_8-p_0.05.txt: 	Verified
[2021-10-21 17:59:09.522] synth-n_30-m_35-k_10-p_0.05.txt: 	Success with k = 0 in 0ms
[2021-10-21 17:59:09.560] synth-n_30-m_35-k_10-p_0.05.txt: 	Verified
[2021-10-21 17:59:09.560] synth-n_30-m_55-k_4-p_0.1.txt: 	Success with k = 2 in 0ms
[2021-10-21 17:59:09.599] synth-n_30-m_55-k_4-p_0.1.txt: 	Verified
[2021-10-21 17:59:09.599] synth-n_30-m_58-k_6-p_0.1.txt: 	Success with k = 2 in 0ms
[2021-10-21 17:59:09.638] synth-n_30-m_58-k_6-p_0.1.txt: 	Verified
