[2021-10-22 15:56:50.000] biology-n_12-m_33-p_0.5-15: 	Success with k = 3 in 16ms
[2021-10-22 15:56:50.054] biology-n_12-m_33-p_0.5-15: 	Verified
[2021-10-22 15:56:50.056] biology-n_12-m_33-p_0.75-15: 	Success with k = 3 in 2ms
[2021-10-22 15:56:50.099] biology-n_12-m_33-p_0.75-15: 	Verified
[2021-10-22 15:56:50.105] biology-n_12-m_33-p_0.9-15: 	Success with k = 3 in 5ms
[2021-10-22 15:56:50.148] biology-n_12-m_33-p_0.9-15: 	Verified
[2021-10-22 15:56:50.157] biology-n_12-m_43-p_0.5-25: 	Success with k = 4 in 8ms
[2021-10-22 15:56:50.201] biology-n_12-m_43-p_0.5-25: 	Verified
[2021-10-22 15:56:50.204] biology-n_12-m_43-p_0.75-25: 	Success with k = 3 in 2ms
[2021-10-22 15:56:50.252] biology-n_12-m_43-p_0.75-25: 	Verified
[2021-10-22 15:56:50.252] biology-n_12-m_43-p_0.9-25: 	Success with k = 1 in 0ms
[2021-10-22 15:56:50.297] biology-n_12-m_43-p_0.9-25: 	Verified
[2021-10-22 15:56:50.299] biology-n_12-m_45-p_0.5-19: 	Success with k = 3 in 1ms
[2021-10-22 15:56:50.340] biology-n_12-m_45-p_0.5-19: 	Verified
[2021-10-22 15:56:50.341] biology-n_12-m_45-p_0.75-19: 	Success with k = 3 in 1ms
[2021-10-22 15:56:50.383] biology-n_12-m_45-p_0.75-19: 	Verified
[2021-10-22 15:56:50.384] biology-n_12-m_45-p_0.9-19: 	Success with k = 1 in 0ms
[2021-10-22 15:56:50.425] biology-n_12-m_45-p_0.9-19: 	Verified
[2021-10-22 15:56:50.426] biology-n_13-m_39-p_0.5-4: 	Success with k = 2 in 0ms
[2021-10-22 15:56:50.467] biology-n_13-m_39-p_0.5-4: 	Verified
[2021-10-22 15:56:50.468] biology-n_13-m_39-p_0.75-4: 	Success with k = 3 in 0ms
[2021-10-22 15:56:50.511] biology-n_13-m_39-p_0.75-4: 	Verified
[2021-10-22 15:56:50.512] biology-n_13-m_39-p_0.9-4: 	Success with k = 4 in 0ms
[2021-10-22 15:56:50.554] biology-n_13-m_39-p_0.9-4: 	Verified
[2021-10-22 15:56:50.557] biology-n_13-m_51-p_0.5-22: 	Success with k = 4 in 2ms
[2021-10-22 15:56:50.602] biology-n_13-m_51-p_0.5-22: 	Verified
[2021-10-22 15:56:50.603] biology-n_13-m_51-p_0.75-22: 	Success with k = 3 in 0ms
[2021-10-22 15:56:50.646] biology-n_13-m_51-p_0.75-22: 	Verified
[2021-10-22 15:56:50.648] biology-n_13-m_51-p_0.9-22: 	Success with k = 3 in 1ms
[2021-10-22 15:56:50.692] biology-n_13-m_51-p_0.9-22: 	Verified
[2021-10-22 15:56:50.717] biology-n_16-m_79-p_0.5-3: 	Success with k = 6 in 24ms
[2021-10-22 15:56:50.759] biology-n_16-m_79-p_0.5-3: 	Verified
[2021-10-22 15:56:50.768] biology-n_16-m_79-p_0.75-3: 	Success with k = 6 in 8ms
[2021-10-22 15:56:50.809] biology-n_16-m_79-p_0.75-3: 	Verified
[2021-10-22 15:56:50.811] biology-n_16-m_79-p_0.9-3: 	Success with k = 4 in 1ms
[2021-10-22 15:56:50.852] biology-n_16-m_79-p_0.9-3: 	Verified
[2021-10-22 15:56:50.882] biology-n_17-m_89-p_0.5-10: 	Success with k = 6 in 30ms
[2021-10-22 15:56:50.927] biology-n_17-m_89-p_0.5-10: 	Verified
[2021-10-22 15:56:51.028] biology-n_17-m_89-p_0.75-10: 	Success with k = 6 in 100ms
[2021-10-22 15:56:51.071] biology-n_17-m_89-p_0.75-10: 	Verified
[2021-10-22 15:56:51.077] biology-n_17-m_89-p_0.9-10: 	Success with k = 4 in 5ms
[2021-10-22 15:56:51.118] biology-n_17-m_89-p_0.9-10: 	Verified
[2021-10-22 15:56:51.270] biology-n_19-m_99-p_0.5-20: 	Success with k = 7 in 151ms
[2021-10-22 15:56:51.312] biology-n_19-m_99-p_0.5-20: 	Verified
[2021-10-22 15:56:51.381] biology-n_19-m_99-p_0.75-20: 	Success with k = 6 in 69ms
[2021-10-22 15:56:51.421] biology-n_19-m_99-p_0.75-20: 	Verified
[2021-10-22 15:56:51.422] biology-n_19-m_99-p_0.9-20: 	Success with k = 3 in 1ms
[2021-10-22 15:56:51.461] biology-n_19-m_99-p_0.9-20: 	Verified
