name,level,cycle_size,recursive_steps
biology-n_13-m_51-p_0.75-22,0,2.0,1
biology-n_13-m_51-p_0.75-22,1,NaN,0
biology-n_16-m_79-p_0.5-3,0,2.0,1
biology-n_16-m_79-p_0.5-3,1,2.0,2
biology-n_16-m_79-p_0.5-3,2,2.5,2
biology-n_16-m_79-p_0.5-3,3,NaN,0
biology-n_16-m_79-p_0.5-3,4,NaN,0
biology-n_16-m_79-p_0.75-3,0,2.0,1
biology-n_16-m_79-p_0.75-3,1,2.0,1
biology-n_16-m_79-p_0.75-3,2,2.0,1
biology-n_16-m_79-p_0.75-3,3,2.0,1
biology-n_16-m_79-p_0.75-3,4,NaN,0
biology-n_17-m_89-p_0.5-10,0,2.0,1
biology-n_17-m_89-p_0.5-10,1,2.0,1
biology-n_17-m_89-p_0.5-10,2,3.0,1
biology-n_17-m_89-p_0.5-10,3,3.0,1
biology-n_17-m_89-p_0.5-10,4,NaN,0
biology-n_17-m_89-p_0.75-10,0,2.0,1
biology-n_17-m_89-p_0.75-10,1,2.0,2
biology-n_17-m_89-p_0.75-10,2,2.0,2
biology-n_17-m_89-p_0.75-10,3,NaN,0
biology-n_17-m_89-p_0.75-10,4,NaN,0
biology-n_19-m_99-p_0.5-20,0,3.0,1
biology-n_19-m_99-p_0.5-20,1,2.0,2
biology-n_19-m_99-p_0.5-20,2,3.0,1
biology-n_19-m_99-p_0.5-20,3,3.0,1
biology-n_19-m_99-p_0.5-20,4,NaN,0
biology-n_19-m_99-p_0.5-20,5,NaN,0
biology-n_19-m_99-p_0.75-20,0,2.0,1
biology-n_19-m_99-p_0.75-20,1,2.0,1
biology-n_19-m_99-p_0.75-20,2,2.0,2
biology-n_19-m_99-p_0.75-20,3,2.0,1
biology-n_19-m_99-p_0.75-20,4,NaN,0
biology-n_20-m_125-p_0.5-24,0,2.0,1
biology-n_20-m_125-p_0.5-24,1,2.5,2
biology-n_20-m_125-p_0.5-24,2,2.0,3
biology-n_20-m_125-p_0.5-24,3,2.5,2
biology-n_20-m_125-p_0.5-24,4,NaN,0
biology-n_20-m_125-p_0.5-24,5,NaN,0
biology-n_20-m_125-p_0.5-24,6,NaN,0
biology-n_20-m_125-p_0.5-7,0,2.0,1
biology-n_20-m_125-p_0.5-7,1,3.0,1
biology-n_20-m_125-p_0.5-7,2,2.3333333,3
biology-n_20-m_125-p_0.5-7,3,2.0,4
biology-n_20-m_125-p_0.5-7,4,2.0,6
biology-n_20-m_125-p_0.5-7,5,2.0,7
biology-n_20-m_125-p_0.5-7,6,2.0,1
biology-n_20-m_125-p_0.5-7,7,NaN,0
biology-n_20-m_125-p_0.75-24,0,2.0,1
biology-n_20-m_125-p_0.75-24,1,2.5,2
biology-n_20-m_125-p_0.75-24,2,2.0,3
biology-n_20-m_125-p_0.75-24,3,2.0,4
biology-n_20-m_125-p_0.75-24,4,2.75,4
biology-n_20-m_125-p_0.75-24,5,2.5,4
biology-n_20-m_125-p_0.75-24,6,2.0,2
biology-n_20-m_125-p_0.75-24,7,2.0,2
biology-n_20-m_125-p_0.75-7,0,2.0,1
biology-n_20-m_125-p_0.75-7,1,NaN,0
biology-n_20-m_125-p_0.75-7,2,NaN,0
biology-n_20-m_125-p_0.75-7,3,NaN,0
biology-n_22-m_76-p_0.5-9,0,2.0,1
biology-n_22-m_76-p_0.5-9,1,2.0,1
biology-n_22-m_76-p_0.5-9,2,NaN,0
biology-n_22-m_76-p_0.75-9,0,2.0,1
biology-n_22-m_76-p_0.75-9,1,NaN,0
biology-n_22-m_76-p_0.75-9,2,NaN,0
biology-n_23-m_166-p_0.5-17,0,3.0,1
biology-n_23-m_166-p_0.5-17,1,2.3333333,3
biology-n_23-m_166-p_0.5-17,2,2.2,5
biology-n_23-m_166-p_0.5-17,3,2.1666667,6
biology-n_23-m_166-p_0.5-17,4,2.1666667,6
biology-n_23-m_166-p_0.5-17,5,2.2222223,9
biology-n_23-m_166-p_0.5-17,6,2.1111112,9
biology-n_23-m_166-p_0.5-17,7,2.0,10
biology-n_23-m_166-p_0.5-17,8,2.5,2
biology-n_23-m_166-p_0.5-17,9,2.0,2
biology-n_23-m_166-p_0.5-17,10,NaN,0
biology-n_23-m_166-p_0.75-17,0,2.0,1
biology-n_23-m_166-p_0.75-17,1,2.5,2
biology-n_23-m_166-p_0.75-17,2,2.0,4
biology-n_23-m_166-p_0.75-17,3,2.5,6
biology-n_23-m_166-p_0.75-17,4,2.142857,7
biology-n_23-m_166-p_0.75-17,5,2.2,5
biology-n_23-m_166-p_0.75-17,6,2.5,4
biology-n_23-m_166-p_0.75-17,7,2.0,1
biology-n_23-m_166-p_0.75-17,8,NaN,0
biology-n_25-m_231-p_0.5-6,0,3.0,1
biology-n_25-m_231-p_0.5-6,1,2.5,2
biology-n_25-m_231-p_0.5-6,2,2.3333333,3
biology-n_25-m_231-p_0.5-6,3,2.1666667,6
biology-n_25-m_231-p_0.5-6,4,2.125,8
biology-n_25-m_231-p_0.5-6,5,2.1111112,9
biology-n_25-m_231-p_0.5-6,6,2.1111112,9
biology-n_25-m_231-p_0.5-6,7,2.125,8
biology-n_25-m_231-p_0.5-6,8,2.0,8
biology-n_25-m_231-p_0.5-6,9,2.4,5
biology-n_25-m_231-p_0.5-6,10,3.0,1
biology-n_25-m_231-p_0.5-6,11,2.0,1
biology-n_25-m_231-p_0.75-6,0,3.0,1
biology-n_25-m_231-p_0.75-6,1,2.5,2
biology-n_25-m_231-p_0.75-6,2,2.2,5
biology-n_25-m_231-p_0.75-6,3,2.0,7
biology-n_25-m_231-p_0.75-6,4,2.1666667,6
biology-n_25-m_231-p_0.75-6,5,2.2,5
biology-n_25-m_231-p_0.75-6,6,2.142857,7
biology-n_25-m_231-p_0.75-6,7,2.142857,7
biology-n_25-m_231-p_0.75-6,8,2.4,5
biology-n_25-m_231-p_0.75-6,9,2.2,5
biology-n_25-m_231-p_0.75-6,10,2.0,3
biology-n_25-m_231-p_0.75-6,11,NaN,0
biology-n_25-m_231-p_0.9-6,0,2.0,1
