name,level,cycle_size,recursive_steps
advotogo-n_1000,0,2.0,1
advotogo-n_700,0,2.0,1
advotogo-n_700,1,NaN,0
biology-n_12-m_33-p_0.5-15,0,2.0,1
biology-n_12-m_33-p_0.5-15,1,NaN,0
biology-n_12-m_33-p_0.75-15,0,2.0,1
biology-n_12-m_33-p_0.75-15,1,NaN,0
biology-n_12-m_43-p_0.5-25,0,2.0,1
biology-n_12-m_43-p_0.5-25,1,2.0,2
biology-n_12-m_43-p_0.5-25,2,2.0,1
biology-n_12-m_45-p_0.5-19,0,2.0,1
biology-n_12-m_45-p_0.5-19,1,2.0,1
biology-n_12-m_45-p_0.75-19,0,2.0,1
biology-n_12-m_45-p_0.75-19,1,2.0,1
biology-n_13-m_39-p_0.5-4,0,2.0,1
biology-n_13-m_51-p_0.5-22,0,2.0,1
biology-n_13-m_51-p_0.5-22,1,2.0,1
biology-n_13-m_51-p_0.5-22,2,NaN,0
biology-n_13-m_51-p_0.75-22,0,2.0,1
biology-n_13-m_51-p_0.75-22,1,2.0,1
biology-n_16-m_79-p_0.5-3,0,2.0,1
biology-n_16-m_79-p_0.5-3,1,2.0,2
biology-n_16-m_79-p_0.5-3,2,2.3333333,3
biology-n_16-m_79-p_0.5-3,3,2.25,4
biology-n_16-m_79-p_0.5-3,4,2.0,3
biology-n_16-m_79-p_0.75-3,0,2.0,1
biology-n_16-m_79-p_0.75-3,1,2.0,2
biology-n_16-m_79-p_0.75-3,2,2.0,2
biology-n_16-m_79-p_0.75-3,3,2.0,1
biology-n_16-m_79-p_0.75-3,4,NaN,0
biology-n_16-m_79-p_0.9-3,0,2.0,1
biology-n_16-m_79-p_0.9-3,1,2.0,1
biology-n_16-m_79-p_0.9-3,2,NaN,0
biology-n_17-m_89-p_0.5-10,0,2.0,1
biology-n_17-m_89-p_0.5-10,1,2.0,1
biology-n_17-m_89-p_0.5-10,2,3.0,1
biology-n_17-m_89-p_0.5-10,3,2.0,2
biology-n_17-m_89-p_0.5-10,4,2.0,2
biology-n_17-m_89-p_0.75-10,0,2.0,1
biology-n_17-m_89-p_0.75-10,1,2.0,2
biology-n_17-m_89-p_0.75-10,2,2.0,3
biology-n_17-m_89-p_0.75-10,3,2.0,2
biology-n_17-m_89-p_0.75-10,4,2.0,2
biology-n_17-m_89-p_0.9-10,0,2.0,1
biology-n_17-m_89-p_0.9-10,1,2.0,1
biology-n_17-m_89-p_0.9-10,2,NaN,0
biology-n_19-m_99-p_0.5-20,0,3.0,1
biology-n_19-m_99-p_0.5-20,1,2.0,3
biology-n_19-m_99-p_0.5-20,2,2.25,4
biology-n_19-m_99-p_0.5-20,3,2.4,5
biology-n_19-m_99-p_0.5-20,4,2.0,5
biology-n_19-m_99-p_0.5-20,5,2.0,3
biology-n_19-m_99-p_0.75-20,0,2.0,1
biology-n_19-m_99-p_0.75-20,1,2.0,1
biology-n_19-m_99-p_0.75-20,2,2.0,2
biology-n_19-m_99-p_0.75-20,3,2.0,1
biology-n_19-m_99-p_0.75-20,4,NaN,0
biology-n_20-m_125-p_0.5-24,0,2.0,1
biology-n_20-m_125-p_0.5-24,1,2.5,2
biology-n_20-m_125-p_0.5-24,2,2.0,5
biology-n_20-m_125-p_0.5-24,3,2.1666667,6
biology-n_20-m_125-p_0.5-24,4,2.1666667,6
biology-n_20-m_125-p_0.5-24,5,2.142857,7
biology-n_20-m_125-p_0.5-24,6,2.142857,7
biology-n_20-m_125-p_0.5-7,0,2.0,1
biology-n_20-m_125-p_0.5-7,1,2.5,2
biology-n_20-m_125-p_0.5-7,2,2.25,4
biology-n_20-m_125-p_0.5-7,3,2.0,6
biology-n_20-m_125-p_0.5-7,4,2.0,9
biology-n_20-m_125-p_0.5-7,5,2.0,9
biology-n_20-m_125-p_0.5-7,6,2.2,5
biology-n_20-m_125-p_0.5-7,7,2.0,3
biology-n_20-m_125-p_0.75-24,0,2.0,1
biology-n_20-m_125-p_0.75-24,1,2.5,2
biology-n_20-m_125-p_0.75-24,2,2.0,5
biology-n_20-m_125-p_0.75-24,3,2.0,7
biology-n_20-m_125-p_0.75-24,4,2.375,8
biology-n_20-m_125-p_0.75-24,5,2.2857144,7
biology-n_20-m_125-p_0.75-24,6,2.0,10
biology-n_20-m_125-p_0.75-24,7,2.125,8
biology-n_20-m_125-p_0.75-7,0,2.0,1
biology-n_20-m_125-p_0.75-7,1,2.0,1
biology-n_20-m_125-p_0.75-7,2,2.0,1
biology-n_20-m_125-p_0.75-7,3,NaN,0
biology-n_20-m_125-p_0.9-24,0,2.0,1
biology-n_20-m_125-p_0.9-24,1,NaN,0
biology-n_20-m_125-p_0.9-7,0,2.0,1
biology-n_20-m_125-p_0.9-7,1,NaN,0
biology-n_22-m_76-p_0.5-9,0,2.0,1
biology-n_22-m_76-p_0.5-9,1,2.0,1
biology-n_22-m_76-p_0.5-9,2,2.0,2
biology-n_22-m_76-p_0.75-9,0,2.0,1
biology-n_22-m_76-p_0.75-9,1,2.0,1
biology-n_22-m_76-p_0.75-9,2,NaN,0
biology-n_22-m_76-p_0.9-9,0,2.0,1
biology-n_22-m_76-p_0.9-9,1,NaN,0
biology-n_23-m_166-p_0.5-17,0,3.0,1
biology-n_23-m_166-p_0.5-17,1,2.3333333,3
biology-n_23-m_166-p_0.5-17,2,2.142857,7
biology-n_23-m_166-p_0.5-17,3,2.0833333,12
biology-n_23-m_166-p_0.5-17,4,2.0526316,19
biology-n_23-m_166-p_0.5-17,5,2.1304348,23
biology-n_23-m_166-p_0.5-17,6,2.0454545,22
biology-n_23-m_166-p_0.5-17,7,2.0,21
biology-n_23-m_166-p_0.5-17,8,2.347826,23
biology-n_23-m_166-p_0.5-17,9,2.2105262,19
biology-n_23-m_166-p_0.5-17,10,2.0,12
biology-n_23-m_166-p_0.75-17,0,2.0,1
biology-n_23-m_166-p_0.75-17,1,2.5,2
biology-n_23-m_166-p_0.75-17,2,2.0,5
biology-n_23-m_166-p_0.75-17,3,2.4285715,7
biology-n_23-m_166-p_0.75-17,4,2.0769231,13
biology-n_23-m_166-p_0.75-17,5,2.0833333,12
biology-n_23-m_166-p_0.75-17,6,2.25,12
biology-n_23-m_166-p_0.75-17,7,2.125,8
biology-n_23-m_166-p_0.75-17,8,2.0,2
biology-n_23-m_166-p_0.9-17,0,2.0,1
biology-n_23-m_166-p_0.9-17,1,2.0,1
