name,level,cycle_size,recursive_steps
synth-n_100-m_1220-k_15-p_0.2.txt,0,NaN,0
synth-n_100-m_1220-k_15-p_0.2.txt,1,NaN,0
synth-n_100-m_1220-k_15-p_0.2.txt,2,NaN,0
synth-n_100-m_1220-k_15-p_0.2.txt,3,NaN,0
synth-n_100-m_1220-k_15-p_0.2.txt,4,NaN,0
synth-n_100-m_1220-k_15-p_0.2.txt,5,NaN,0
synth-n_100-m_1220-k_15-p_0.2.txt,6,NaN,0
synth-n_100-m_1220-k_15-p_0.2.txt,7,NaN,0
synth-n_100-m_1220-k_15-p_0.2.txt,8,NaN,0
synth-n_100-m_1231-k_25-p_0.2.txt,0,2.0,1
synth-n_100-m_1231-k_25-p_0.2.txt,1,2.0,1
synth-n_100-m_1231-k_25-p_0.2.txt,2,2.0,1
synth-n_100-m_1231-k_25-p_0.2.txt,3,2.0,1
synth-n_100-m_1231-k_25-p_0.2.txt,4,3.0,1
synth-n_100-m_1231-k_25-p_0.2.txt,5,2.0,1
synth-n_100-m_1231-k_25-p_0.2.txt,6,3.0,1
synth-n_100-m_1231-k_25-p_0.2.txt,7,2.0,1
synth-n_100-m_1231-k_25-p_0.2.txt,8,3.0,1
synth-n_100-m_1231-k_25-p_0.2.txt,9,2.0,1
synth-n_100-m_1231-k_25-p_0.2.txt,10,3.0,1
synth-n_100-m_1231-k_25-p_0.2.txt,11,3.0,1
synth-n_100-m_1231-k_25-p_0.2.txt,12,NaN,0
synth-n_100-m_1231-k_25-p_0.2.txt,13,NaN,0
synth-n_100-m_1231-k_25-p_0.2.txt,14,NaN,0
synth-n_100-m_1231-k_25-p_0.2.txt,15,NaN,0
synth-n_100-m_1231-k_25-p_0.2.txt,16,NaN,0
synth-n_100-m_1231-k_25-p_0.2.txt,17,NaN,0
synth-n_100-m_1231-k_25-p_0.2.txt,18,NaN,0
synth-n_100-m_1231-k_25-p_0.2.txt,19,NaN,0
synth-n_100-m_1231-k_25-p_0.2.txt,20,NaN,0
synth-n_100-m_1231-k_25-p_0.2.txt,21,NaN,0
synth-n_100-m_1231-k_25-p_0.2.txt,22,NaN,0
synth-n_100-m_1231-k_25-p_0.2.txt,23,NaN,0
synth-n_100-m_1235-k_20-p_0.2.txt,0,3.0,1
synth-n_100-m_1235-k_20-p_0.2.txt,1,2.0,1
synth-n_100-m_1235-k_20-p_0.2.txt,2,NaN,0
synth-n_100-m_1235-k_20-p_0.2.txt,3,NaN,0
synth-n_100-m_1235-k_20-p_0.2.txt,4,NaN,0
synth-n_100-m_1235-k_20-p_0.2.txt,5,NaN,0
synth-n_100-m_1235-k_20-p_0.2.txt,6,NaN,0
synth-n_100-m_1235-k_20-p_0.2.txt,7,NaN,0
synth-n_100-m_1235-k_20-p_0.2.txt,8,NaN,0
synth-n_100-m_1235-k_20-p_0.2.txt,9,NaN,0
synth-n_100-m_1235-k_20-p_0.2.txt,10,NaN,0
synth-n_100-m_1235-k_20-p_0.2.txt,11,NaN,0
synth-n_100-m_1235-k_20-p_0.2.txt,12,NaN,0
synth-n_100-m_1235-k_20-p_0.2.txt,13,NaN,0
synth-n_100-m_1235-k_20-p_0.2.txt,14,NaN,0
synth-n_100-m_1235-k_20-p_0.2.txt,15,NaN,0
synth-n_100-m_1235-k_20-p_0.2.txt,16,NaN,0
synth-n_100-m_1235-k_20-p_0.2.txt,17,NaN,0
synth-n_100-m_1374-k_30-p_0.2.txt,0,3.0,1
synth-n_100-m_1374-k_30-p_0.2.txt,1,2.5,2
synth-n_100-m_1374-k_30-p_0.2.txt,2,2.5,2
synth-n_100-m_1374-k_30-p_0.2.txt,3,2.3333333,3
synth-n_100-m_1374-k_30-p_0.2.txt,4,2.3333333,3
synth-n_100-m_1374-k_30-p_0.2.txt,5,2.3333333,3
synth-n_100-m_1374-k_30-p_0.2.txt,6,2.3333333,3
synth-n_100-m_1374-k_30-p_0.2.txt,7,2.3333333,3
synth-n_100-m_1374-k_30-p_0.2.txt,8,2.5,2
synth-n_100-m_1374-k_30-p_0.2.txt,9,2.0,1
synth-n_100-m_1374-k_30-p_0.2.txt,10,3.0,1
synth-n_100-m_1374-k_30-p_0.2.txt,11,3.0,1
synth-n_100-m_1374-k_30-p_0.2.txt,12,3.0,1
synth-n_100-m_1374-k_30-p_0.2.txt,13,NaN,0
synth-n_100-m_1374-k_30-p_0.2.txt,14,NaN,0
synth-n_100-m_1374-k_30-p_0.2.txt,15,NaN,0
synth-n_100-m_1374-k_30-p_0.2.txt,16,NaN,0
synth-n_100-m_1374-k_30-p_0.2.txt,17,NaN,0
synth-n_100-m_1374-k_30-p_0.2.txt,18,NaN,0
synth-n_100-m_1374-k_30-p_0.2.txt,19,NaN,0
synth-n_100-m_1374-k_30-p_0.2.txt,20,NaN,0
synth-n_100-m_1374-k_30-p_0.2.txt,21,NaN,0
synth-n_100-m_1374-k_30-p_0.2.txt,22,NaN,0
synth-n_100-m_1374-k_30-p_0.2.txt,23,NaN,0
