name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
synth-n_100-m_1093-k_5-p_0.2.txt,100,1093,100,5,5,5,0,true,32
synth-n_100-m_1146-k_10-p_0.2.txt,100,1146,8,0,10,10,1065,true,82
synth-n_100-m_1151-k_15-p_0.2.txt,100,1151,3,0,15,15,1151,true,64
synth-n_100-m_1229-k_20-p_0.2.txt,100,1229,0,0,20,20,1248,true,65
synth-n_100-m_1263-k_25-p_0.2.txt,100,1263,0,0,25,25,1282,true,113
synth-n_100-m_1275-k_30-p_0.2.txt,100,1275,0,0,30,30,1295,true,1597
synth-n_100-m_263-k_5-p_0.05.txt,99,263,99,5,5,5,0,true,0
synth-n_100-m_289-k_10-p_0.05.txt,99,289,86,1,4,4,48,true,7
synth-n_100-m_302-k_15-p_0.05.txt,100,302,87,4,8,8,46,true,8
synth-n_100-m_332-k_20-p_0.05.txt,100,332,57,3,14,14,194,true,31
synth-n_100-m_336-k_30-p_0.05.txt,100,336,42,1,15,15,237,true,60
synth-n_100-m_343-k_25-p_0.05.txt,100,343,43,0,14,14,254,true,48
synth-n_100-m_515-k_5-p_0.1.txt,100,515,37,0,5,5,369,true,14
synth-n_100-m_591-k_15-p_0.1.txt,100,591,17,0,15,15,544,true,59
synth-n_100-m_611-k_10-p_0.1.txt,100,611,19,0,10,10,537,true,17
synth-n_100-m_628-k_20-p_0.1.txt,100,628,12,0,20,20,580,true,687
synth-n_100-m_691-k_25-p_0.1.txt,100,691,3,0,25,25,703,true,1367
synth-n_100-m_732-k_30-p_0.1.txt,100,732,1,0,30,30,751,true,4438
synth-n_1000-m_107005-k_50-p_0.2.txt,1000,107005,0,0,-1,50,107032,true,5949
synth-n_1000-m_110357-k_70-p_0.2.txt,1000,110357,0,0,-1,70,110396,true,7851
