name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,verified,millis
advotogo-n_100,26,31,0,0,2,2,true,26
advotogo-n_1000,624,1883,0,0,127,127,true,150
advotogo-n_1500,1110,4342,0,0,215,215,true,329
advotogo-n_200,63,68,0,0,9,9,true,6
advotogo-n_2000,1556,6786,0,0,297,297,true,588
advotogo-n_3000,2657,16140,0,0,548,548,true,1779
advotogo-n_4000,3775,29831,0,0,863,863,true,5298
advotogo-n_50,0,0,0,0,0,0,true,1
advotogo-n_500,247,446,0,0,39,39,true,21
advotogo-n_5000,4962,43776,0,0,1160,1160,true,12671
advotogo-n_5159,5155,47135,0,0,1208,1208,true,26860
bitcoinalpha-n_100,5,7,0,0,2,2,true,3
bitcoinalpha-n_1000,545,1878,0,0,136,136,true,223
bitcoinalpha-n_1500,957,3890,0,0,261,261,true,278
bitcoinalpha-n_200,50,78,0,0,11,11,true,6
bitcoinalpha-n_2000,1450,6295,0,0,393,393,true,457
bitcoinalpha-n_3000,2659,15429,0,0,658,658,true,1927
bitcoinalpha-n_3785,3783,24186,0,0,921,921,true,15519
bitcoinalpha-n_50,5,5,0,0,2,2,true,3
bitcoinalpha-n_500,202,465,0,0,54,54,true,28
blogs-n_100,67,170,0,0,8,8,true,8
blogs-n_1000,977,12749,0,0,196,196,true,1113
blogs-n_1227,1224,19022,0,0,262,262,true,2388
blogs-n_200,138,426,0,0,16,16,true,18
blogs-n_50,34,88,0,0,6,6,true,5
blogs-n_500,430,2918,0,0,76,76,true,170
chess-n_100,13,7,0,0,0,0,true,1
chess-n_1000,613,1295,0,0,62,62,true,236
chess-n_1500,1075,2561,0,0,127,127,true,2352
chess-n_200,58,47,0,0,2,2,true,4
chess-n_2000,1531,4343,0,0,204,205,false,90144
chess-n_3000,2586,11156,0,0,-1,468,false,90146
chess-n_4000,3620,17404,0,0,-1,863,false,90213
chess-n_50,3,2,0,0,0,0,true,1
chess-n_500,241,319,0,0,17,17,true,21
chess-n_5000,4752,27339,0,0,-1,0,false,90167
chess-n_6000,5854,40749,0,0,-1,1735,false,90258
chess-n_7000,6966,55133,0,0,-1,0,false,90294
chess-n_7303,7301,60046,0,0,-1,0,false,90345
ChicagoRegional-n_100,2,2,0,0,1,1,true,1
ChicagoRegional-n_1000,224,245,0,0,92,92,true,18
ChicagoRegional-n_10000,9579,23005,0,0,4193,4193,true,5872
ChicagoRegional-n_1500,457,485,0,0,181,181,true,36
ChicagoRegional-n_200,13,12,0,0,5,5,true,2
ChicagoRegional-n_2000,777,888,0,0,307,307,true,80
ChicagoRegional-n_3000,1619,2022,0,0,631,631,true,221
ChicagoRegional-n_4000,2607,3623,0,0,1020,1020,true,402
ChicagoRegional-n_50,4,4,0,0,2,2,true,1
ChicagoRegional-n_500,52,50,0,0,24,24,true,1
ChicagoRegional-n_5000,3710,5774,0,0,1484,1484,true,678
ChicagoRegional-n_6000,4927,8488,0,0,1987,1987,true,919
ChicagoRegional-n_7000,6106,11328,0,0,2495,2495,true,988
ChicagoRegional-n_8000,7282,14765,0,0,3028,3028,true,1687
