name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,verified,millis
advotogo-n_100,26,31,26,2,2,2,true,51
advotogo-n_1000,624,1883,612,120,127,127,true,24
advotogo-n_1500,1110,4342,1072,196,215,215,true,18
advotogo-n_200,63,68,60,7,9,9,true,6
advotogo-n_2000,1556,6786,1526,279,297,297,true,16
advotogo-n_3000,2657,16140,2540,488,548,548,true,41
advotogo-n_4000,3775,29831,3089,554,863,863,true,692
advotogo-n_50,0,0,0,0,0,0,true,1
advotogo-n_500,247,446,244,37,39,39,true,3
advotogo-n_5000,4962,43776,3952,699,1160,1160,true,597
advotogo-n_5159,5155,47135,4140,742,1208,1208,true,517
bitcoinalpha-n_100,5,7,5,2,2,2,true,1
bitcoinalpha-n_1000,545,1878,542,134,136,136,true,3
bitcoinalpha-n_1500,957,3890,954,259,261,261,true,3
bitcoinalpha-n_200,50,78,50,11,11,11,true,1
bitcoinalpha-n_2000,1450,6295,1437,386,393,393,true,5
bitcoinalpha-n_3000,2659,15429,2638,646,658,658,true,10
bitcoinalpha-n_3785,3783,24186,3742,900,921,921,true,14
bitcoinalpha-n_50,5,5,5,2,2,2,true,1
bitcoinalpha-n_500,202,465,197,51,54,54,true,3
blogs-n_100,67,170,67,8,8,8,true,1
blogs-n_1000,977,12749,643,65,196,196,true,276
blogs-n_1227,1224,19022,770,84,262,262,true,772
blogs-n_200,138,426,138,16,16,16,true,2
blogs-n_50,34,88,34,6,6,6,true,1
blogs-n_500,430,2918,378,49,76,76,true,16
chess-n_100,13,7,13,0,0,0,true,1
chess-n_1000,613,1295,523,27,62,62,true,194
chess-n_1500,1075,2561,859,45,127,127,true,1388
chess-n_200,58,47,58,2,2,2,true,1
chess-n_2000,1531,4343,1131,61,204,204,true,48432
chess-n_3000,2586,11156,1616,65,-1,65,false,90110
chess-n_4000,3620,17404,2029,82,-1,82,false,90270
chess-n_50,3,2,3,0,0,0,true,1
chess-n_500,241,319,241,17,17,17,true,1
chess-n_5000,4752,27339,2327,78,-1,78,false,90501
chess-n_6000,5854,40749,2659,81,-1,81,false,90735
chess-n_7000,6966,55133,2913,91,-1,91,false,91215
chess-n_7303,7301,60046,2958,85,-1,85,false,90988
ChicagoRegional-n_100,2,2,2,1,1,1,true,1
ChicagoRegional-n_1000,224,245,224,92,92,92,true,1
ChicagoRegional-n_10000,9579,23005,8375,3551,4193,4193,true,201
ChicagoRegional-n_1500,457,485,454,179,181,181,true,3
ChicagoRegional-n_200,13,12,13,5,5,5,true,1
ChicagoRegional-n_2000,777,888,767,301,307,307,true,5
ChicagoRegional-n_3000,1619,2022,1596,617,631,631,true,7
ChicagoRegional-n_4000,2607,3623,2581,1004,1020,1020,true,9
ChicagoRegional-n_50,4,4,4,2,2,2,true,1
ChicagoRegional-n_500,52,50,52,24,24,24,true,1
ChicagoRegional-n_5000,3710,5774,3627,1438,1484,1484,true,15
ChicagoRegional-n_6000,4927,8488,4703,1865,1987,1987,true,42
ChicagoRegional-n_7000,6106,11328,5842,2347,2495,2495,true,41
ChicagoRegional-n_8000,7282,14765,6804,2772,3028,3028,true,76
ChicagoRegional-n_9000,8479,19095,7628,3198,3651,3651,true,138
health-n_100,23,18,23,4,4,4,true,1
health-n_1000,934,2008,904,211,231,231,true,10
health-n_1500,1451,4642,1208,318,446,446,true,45
health-n_200,94,87,94,17,17,17,true,2
health-n_2000,1973,7956,1172,297,674,674,true,231
health-n_2542,2539,12969,1031,235,960,960,true,1475
health-n_50,10,7,10,2,2,2,true,1
health-n_500,388,490,384,65,67,67,true,4
link-kv-n_100,18,22,12,4,8,8,true,4
link-kv-n_1000,644,4081,440,63,234,234,true,44
link-kv-n_1500,1054,8494,703,100,391,391,true,113
link-kv-n_200,90,139,76,10,20,20,true,5
link-kv-n_2000,1772,19901,1210,112,565,565,true,380
link-kv-n_3000,2540,39796,1618,174,900,900,true,7820
link-kv-n_4000,3777,69389,2388,200,-1,1244,true,5124
link-kv-n_50,6,3,6,0,0,0,true,1
link-kv-n_500,270,1056,194,22,83,83,true,19
link-kv-n_5000,4840,117893,2968,259,-1,1670,true,40673
link-kv-n_6000,5911,162803,3595,302,-1,302,false,91461
link-kv-n_6916,6914,211650,4184,351,-1,351,false,93245
openflights-n_100,25,48,25,10,10,10,true,4
openflights-n_1000,625,2842,602,190,201,201,true,15
openflights-n_1500,1199,7492,1111,364,413,413,true,24
openflights-n_200,64,106,57,22,26,26,true,7
openflights-n_2000,1794,13285,1691,535,593,593,true,32
openflights-n_2942,2939,30501,2676,858,998,998,true,63
openflights-n_50,4,4,4,2,2,2,true,1
openflights-n_500,226,770,207,69,80,80,true,8
out.cfinder-google-n_100,8,7,8,6,6,6,true,3
out.cfinder-google-n_1000,413,576,404,94,100,100,true,5
out.cfinder-google-n_10000,9678,70276,7195,1494,3133,3133,true,572
out.cfinder-google-n_1500,723,1120,678,157,188,188,true,11
out.cfinder-google-n_200,32,27,32,13,13,13,true,2
out.cfinder-google-n_2000,1384,3224,1294,244,307,307,true,17
out.cfinder-google-n_3000,2127,5857,1880,400,574,574,true,40
out.cfinder-google-n_4000,3184,11463,2753,551,852,852,true,54
out.cfinder-google-n_50,8,8,8,7,7,7,true,2
out.cfinder-google-n_500,119,142,116,35,37,37,true,3
out.cfinder-google-n_5000,4366,19192,3670,725,1200,1200,true,78
out.cfinder-google-n_6000,5853,31372,4687,836,1581,1581,true,136
out.cfinder-google-n_7000,6186,31254,4936,1055,1928,1928,true,160
out.cfinder-google-n_8000,7228,48521,5316,1112,2338,2338,true,415
out.cfinder-google-n_9000,8186,53109,6022,1287,2698,2698,true,706
talk-oc-n_100,0,0,0,0,0,0,true,1
talk-oc-n_1000,589,757,589,7,7,7,true,1
talk-oc-n_1500,284,489,284,15,15,15,true,1
talk-oc-n_200,81,78,81,0,0,0,true,1
talk-oc-n_2000,408,605,408,15,15,15,true,1
talk-oc-n_3000,2997,4263,2997,29,29,29,true,2
talk-oc-n_3066,3064,4464,3064,30,30,30,true,2
talk-oc-n_50,0,0,0,0,0,0,true,1
talk-oc-n_500,26,22,26,3,3,3,true,1
temporalGraph-n_100,2,1,2,0,0,0,true,1
temporalGraph-n_1000,622,1447,622,40,40,40,true,2
temporalGraph-n_1500,1343,3437,1310,61,77,77,true,6
temporalGraph-n_1868,1866,5517,1834,91,106,106,true,10
temporalGraph-n_200,50,73,50,5,5,5,true,1
temporalGraph-n_50,12,16,12,3,3,3,true,1
temporalGraph-n_500,199,368,185,11,17,17,true,3
ucsocial-n_100,26,30,26,5,5,5,true,1
ucsocial-n_1000,882,6250,798,219,258,258,true,24
ucsocial-n_1500,1412,12596,1033,253,435,435,true,215
ucsocial-n_1902,1899,20296,1493,381,585,585,true,221
ucsocial-n_200,82,138,82,23,23,23,true,2
ucsocial-n_50,16,18,16,3,3,3,true,1
ucsocial-n_500,353,1231,353,80,80,80,true,1
usairport-n_100,46,92,46,13,13,13,true,2
usairport-n_1000,910,10027,729,146,253,253,true,88
usairport-n_1500,1490,25277,1115,222,428,428,true,541
usairport-n_1577,1574,28236,1189,243,455,455,true,537
usairport-n_200,104,308,85,19,29,29,true,11
usairport-n_50,10,19,5,2,5,5,true,5
usairport-n_500,383,3451,305,68,112,112,true,38
wikispeedia-n_100,26,19,26,0,0,0,true,1
wikispeedia-n_1000,903,3091,872,142,156,156,true,9
wikispeedia-n_1500,1415,7438,1114,165,271,271,true,335
wikispeedia-n_200,124,190,124,14,14,14,true,1
wikispeedia-n_2000,1927,12519,1300,201,437,437,true,5339
wikispeedia-n_3000,2973,29508,1442,224,-1,224,false,90177
wikispeedia-n_4000,3996,52711,1524,247,-1,247,false,90345
wikispeedia-n_4181,4179,57572,1558,255,-1,255,false,90319
wikispeedia-n_50,8,5,8,0,0,0,true,1
wikispeedia-n_500,370,857,345,45,56,56,true,7
synth-n_100-m_1093-k_5-p_0.2.txt,100,1093,100,5,5,5,true,46
synth-n_100-m_1146-k_10-p_0.2.txt,100,1146,8,0,10,10,true,50
synth-n_100-m_1151-k_15-p_0.2.txt,100,1151,3,0,15,15,true,53
synth-n_100-m_1229-k_20-p_0.2.txt,100,1229,0,0,20,20,true,91
synth-n_100-m_1263-k_25-p_0.2.txt,100,1263,0,0,25,25,true,113
synth-n_100-m_1275-k_30-p_0.2.txt,100,1275,0,0,30,30,true,779
synth-n_100-m_263-k_5-p_0.05.txt,99,263,99,5,5,5,true,2
synth-n_100-m_289-k_10-p_0.05.txt,99,289,86,1,4,4,true,5
synth-n_100-m_302-k_15-p_0.05.txt,100,302,87,4,8,8,true,5
synth-n_100-m_332-k_20-p_0.05.txt,100,332,57,3,14,14,true,22
synth-n_100-m_336-k_30-p_0.05.txt,100,336,42,1,15,15,true,77
synth-n_100-m_343-k_25-p_0.05.txt,100,343,43,0,14,14,true,77
synth-n_100-m_515-k_5-p_0.1.txt,100,515,37,0,5,5,true,17
synth-n_100-m_591-k_15-p_0.1.txt,100,591,17,0,15,15,true,46
synth-n_100-m_611-k_10-p_0.1.txt,100,611,19,0,10,10,true,10
synth-n_100-m_628-k_20-p_0.1.txt,100,628,12,0,20,20,true,82
synth-n_100-m_691-k_25-p_0.1.txt,100,691,3,0,25,25,true,622
synth-n_100-m_732-k_30-p_0.1.txt,100,732,1,0,30,30,true,5170
synth-n_1000-m_107005-k_50-p_0.2.txt,1000,107005,0,0,-1,50,true,7015
synth-n_1000-m_110357-k_70-p_0.2.txt,1000,110357,0,0,-1,70,true,16678
synth-n_1000-m_114433-k_100-p_0.2.txt,1000,114433,0,0,-1,100,true,30851
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,0,0,-1,120,true,27663
synth-n_1000-m_119520-k_150-p_0.2.txt,1000,119520,0,0,-1,0,false,93927
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,0,0,-1,0,false,93847
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,13,0,50,50,true,2595
synth-n_1000-m_28175-k_70-p_0.05.txt,1000,28175,11,0,70,70,true,2815
synth-n_1000-m_29037-k_100-p_0.05.txt,1000,29037,5,0,100,100,true,9553
synth-n_1000-m_30042-k_120-p_0.05.txt,1000,30042,0,0,120,120,true,7094
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,0,0,150,150,true,8347
synth-n_1000-m_32410-k_200-p_0.05.txt,1000,32410,0,0,-1,200,true,17879
synth-n_1000-m_54531-k_50-p_0.1.txt,1000,54531,3,0,50,50,true,4506
