name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
advotogo-n_100,26,31,26,2,2,2,0,true,40
advotogo-n_1000,624,1883,612,120,127,127,41,true,61
advotogo-n_1500,1110,4342,1072,196,215,215,149,true,26
advotogo-n_200,63,68,60,7,9,9,7,true,6
advotogo-n_2000,1556,6786,1526,279,297,297,80,true,65
advotogo-n_3000,2657,16140,2556,495,548,548,455,true,105
advotogo-n_4000,3775,29831,3090,554,863,863,4902,true,585
advotogo-n_50,0,0,0,0,0,0,0,true,0
advotogo-n_500,247,446,244,37,39,39,7,true,5
advotogo-n_5000,4962,43776,3953,699,1160,1160,8109,true,739
advotogo-n_5159,5155,47135,4141,742,1208,1208,8222,true,755
bitcoinalpha-n_100,5,7,5,2,2,2,0,true,0
bitcoinalpha-n_1000,545,1878,542,134,136,136,7,true,4
bitcoinalpha-n_1500,957,3890,954,259,261,261,7,true,4
bitcoinalpha-n_200,50,78,50,11,11,11,0,true,0
bitcoinalpha-n_2000,1450,6295,1438,386,393,393,41,true,9
bitcoinalpha-n_3000,2659,15429,2638,646,658,658,91,true,19
bitcoinalpha-n_3785,3783,24186,3744,901,921,921,150,true,22
bitcoinalpha-n_50,5,5,5,2,2,2,0,true,0
bitcoinalpha-n_500,202,465,197,51,54,54,12,true,6
blogs-n_100,67,170,67,8,8,8,0,true,0
blogs-n_1000,977,12749,646,66,196,196,5564,true,402
blogs-n_1227,1224,19022,778,87,262,262,9050,true,772
blogs-n_200,138,426,138,16,16,16,0,true,0
blogs-n_50,34,88,34,6,6,6,0,true,0
blogs-n_500,430,2918,378,49,76,76,390,true,59
chess-n_100,13,7,13,0,0,0,0,true,0
chess-n_1000,613,1295,523,27,62,62,461,true,82
chess-n_1500,1075,2561,859,45,127,127,1278,true,1906
chess-n_200,58,47,58,2,2,2,0,true,0
chess-n_2000,1531,4343,1131,61,204,0,2558,false,90000
chess-n_3000,2586,11156,1616,65,-1,0,8383,false,90000
chess-n_4000,3620,17404,2029,82,-1,0,14037,false,90000
chess-n_50,3,2,3,0,0,0,0,true,0
chess-n_500,241,319,241,17,17,17,0,true,0
chess-n_5000,4752,27339,2327,78,-1,0,23797,false,90000
chess-n_6000,5854,40749,2659,81,-1,0,36447,false,90000
chess-n_7000,6966,55133,2913,91,-1,0,50575,false,90000
chess-n_7303,7301,60046,2958,85,-1,0,55477,false,90000
ChicagoRegional-n_100,2,2,2,1,1,1,0,true,0
ChicagoRegional-n_1000,224,245,224,92,92,92,0,true,0
ChicagoRegional-n_10000,9579,23005,8375,3551,4193,4193,3431,true,628
ChicagoRegional-n_1500,457,485,454,179,181,181,7,true,7
ChicagoRegional-n_200,13,12,13,5,5,5,0,true,0
ChicagoRegional-n_2000,777,888,767,301,307,307,24,true,11
ChicagoRegional-n_3000,1619,2022,1596,617,631,631,55,true,30
ChicagoRegional-n_4000,2607,3623,2581,1004,1020,1020,62,true,30
ChicagoRegional-n_50,4,4,4,2,2,2,0,true,0
ChicagoRegional-n_500,52,50,52,24,24,24,0,true,0
ChicagoRegional-n_5000,3710,5774,3627,1438,1484,1484,212,true,67
ChicagoRegional-n_6000,4927,8488,4703,1865,1987,1987,586,true,210
ChicagoRegional-n_7000,6106,11328,5842,2347,2495,2495,695,true,243
ChicagoRegional-n_8000,7282,14765,6804,2772,3028,3028,1288,true,380
ChicagoRegional-n_9000,8479,19095,7628,3198,3651,3651,2385,true,500
health-n_100,23,18,23,4,4,4,0,true,0
health-n_1000,934,2008,904,211,231,231,82,true,32
health-n_1500,1451,4642,1261,341,446,446,667,true,82
health-n_200,94,87,94,17,17,17,0,true,0
health-n_2000,1973,7956,1172,297,674,674,3896,true,371
health-n_2542,2539,12969,1031,235,960,960,8891,true,3731
health-n_50,10,7,10,2,2,2,0,true,0
health-n_500,388,490,384,65,67,67,12,true,3
link-kv-n_100,18,22,12,4,8,8,14,true,6
link-kv-n_1000,644,4081,440,63,234,234,2686,true,217
link-kv-n_1500,1054,8494,705,101,391,391,5465,true,2888
link-kv-n_200,90,139,76,10,20,20,43,true,14
link-kv-n_2000,1772,19901,1210,112,565,0,12549,false,90000
link-kv-n_3000,2540,39796,1620,174,900,0,25431,false,90000
link-kv-n_4000,3777,69389,2389,200,-1,0,49568,false,90000
link-kv-n_50,6,3,6,0,0,0,0,true,0
link-kv-n_500,270,1056,196,23,83,83,542,true,66
link-kv-n_5000,4840,117893,2975,261,-1,0,81341,false,90000
link-kv-n_6000,5911,162803,3599,304,-1,0,118775,false,90000
link-kv-n_6916,6914,211650,4186,352,-1,0,156844,false,90000
openflights-n_100,25,48,25,10,10,10,0,true,0
openflights-n_1000,625,2842,602,190,201,201,68,true,14
openflights-n_1500,1199,7492,1111,364,413,413,286,true,73
openflights-n_200,64,106,57,22,26,26,17,true,7
openflights-n_2000,1794,13285,1691,535,593,593,372,true,72
openflights-n_2942,2939,30501,2676,858,998,998,1018,true,132
openflights-n_50,4,4,4,2,2,2,0,true,0
openflights-n_500,226,770,207,69,80,80,60,true,11
out.cfinder-google-n_100,8,7,8,6,6,6,0,true,0
out.cfinder-google-n_1000,413,576,404,94,100,100,21,true,9
out.cfinder-google-n_10000,9678,70276,7514,1603,3133,3133,10900,true,1919
out.cfinder-google-n_1500,723,1120,678,157,188,188,120,true,49
out.cfinder-google-n_200,32,27,32,13,13,13,0,true,0
out.cfinder-google-n_2000,1384,3224,1294,244,307,307,253,true,110
out.cfinder-google-n_3000,2127,5857,1880,400,574,574,740,true,372
out.cfinder-google-n_4000,3184,11463,2768,555,852,852,1319,true,550
out.cfinder-google-n_50,8,8,8,7,7,7,0,true,0
out.cfinder-google-n_500,119,142,116,35,37,37,7,true,4
out.cfinder-google-n_5000,4366,19192,3722,740,1200,1200,2154,true,866
out.cfinder-google-n_6000,5853,31372,4916,901,1581,1581,3522,true,1115
out.cfinder-google-n_7000,6186,31254,5038,1091,1928,1928,4722,true,1244
out.cfinder-google-n_8000,7228,48521,5596,1204,2338,2338,7675,true,1625
out.cfinder-google-n_9000,8186,53109,6392,1380,2698,2698,7975,true,1944
talk-oc-n_100,0,0,0,0,0,0,0,true,0
talk-oc-n_1000,589,757,589,7,7,7,0,true,0
talk-oc-n_1500,284,489,284,15,15,15,0,true,0
talk-oc-n_200,81,78,81,0,0,0,0,true,0
talk-oc-n_2000,408,605,408,15,15,15,0,true,0
talk-oc-n_3000,2997,4263,2997,29,29,29,0,true,2
talk-oc-n_3066,3064,4464,3064,30,30,30,0,true,3
talk-oc-n_50,0,0,0,0,0,0,0,true,0
talk-oc-n_500,26,22,26,3,3,3,0,true,0
temporalGraph-n_100,2,1,2,0,0,0,0,true,0
