name,k_optimal,k_solved,millis,verified
synth-n_10-m_12-k_2-p_0.2.txt,0,0,22,true
synth-n_10-m_12-k_4-p_0.2.txt,1,1,3,true
synth-n_100-m_1009-k_2-p_0.2.txt,2,2,39,true
synth-n_100-m_1028-k_4-p_0.2.txt,4,4,45,true
synth-n_100-m_1107-k_6-p_0.2.txt,6,6,116,true
synth-n_100-m_1119-k_8-p_0.2.txt,8,8,375,true
synth-n_100-m_1129-k_10-p_0.2.txt,10,10,1204,true
synth-n_100-m_1220-k_15-p_0.2.txt,15,0,180000,false
synth-n_100-m_1231-k_25-p_0.2.txt,25,0,180000,false
synth-n_100-m_1235-k_20-p_0.2.txt,20,0,180000,false
synth-n_100-m_1374-k_30-p_0.2.txt,30,0,180000,false
synth-n_100-m_262-k_6-p_0.05.txt,5,5,10,true
synth-n_100-m_275-k_10-p_0.05.txt,6,6,20,true
synth-n_100-m_277-k_8-p_0.05.txt,4,4,1,true
synth-n_100-m_282-k_2-p_0.05.txt,2,2,0,true
synth-n_100-m_305-k_20-p_0.05.txt,10,10,14953,true
synth-n_100-m_305-k_4-p_0.05.txt,3,3,2,true
synth-n_100-m_319-k_15-p_0.05.txt,9,9,2560,true
synth-n_100-m_344-k_25-p_0.05.txt,12,0,180000,false
synth-n_100-m_346-k_30-p_0.05.txt,17,0,180000,false
synth-n_100-m_491-k_2-p_0.1.txt,2,2,3,true
synth-n_100-m_542-k_4-p_0.1.txt,4,4,11,true
synth-n_100-m_546-k_8-p_0.1.txt,8,8,391,true
synth-n_100-m_565-k_6-p_0.1.txt,6,6,44,true
synth-n_100-m_568-k_10-p_0.1.txt,10,10,3216,true
synth-n_100-m_596-k_15-p_0.1.txt,15,0,180000,false
synth-n_100-m_643-k_25-p_0.1.txt,25,0,180000,false
synth-n_100-m_645-k_20-p_0.1.txt,20,0,180000,false
synth-n_100-m_670-k_30-p_0.1.txt,29,0,180000,false
synth-n_120-m_1409-k_2-p_0.2.txt,2,2,20,true
synth-n_120-m_1485-k_6-p_0.2.txt,6,6,94,true
synth-n_120-m_1520-k_4-p_0.2.txt,4,4,30,true
synth-n_120-m_1530-k_10-p_0.2.txt,10,10,2042,true
synth-n_120-m_1600-k_8-p_0.2.txt,8,8,353,true
synth-n_120-m_1738-k_15-p_0.2.txt,15,15,83231,true
synth-n_120-m_1775-k_20-p_0.2.txt,20,0,180000,false
synth-n_120-m_1825-k_25-p_0.2.txt,25,0,180000,false
synth-n_120-m_1829-k_30-p_0.2.txt,30,0,180000,false
synth-n_120-m_368-k_2-p_0.05.txt,2,2,0,true
synth-n_120-m_372-k_4-p_0.05.txt,4,4,3,true
synth-n_120-m_391-k_6-p_0.05.txt,5,5,32,true
synth-n_120-m_395-k_8-p_0.05.txt,7,7,649,true
synth-n_120-m_420-k_10-p_0.05.txt,7,7,416,true
synth-n_120-m_432-k_20-p_0.05.txt,15,0,180000,false
synth-n_120-m_455-k_15-p_0.05.txt,10,10,3364,true
synth-n_120-m_482-k_25-p_0.05.txt,17,0,180000,false
synth-n_120-m_492-k_30-p_0.05.txt,21,0,180000,false
synth-n_120-m_724-k_4-p_0.1.txt,4,4,11,true
synth-n_120-m_788-k_6-p_0.1.txt,6,6,99,true
synth-n_120-m_790-k_10-p_0.1.txt,10,10,2740,true
synth-n_120-m_791-k_2-p_0.1.txt,2,2,3,true
synth-n_120-m_828-k_8-p_0.1.txt,8,8,389,true
synth-n_120-m_871-k_15-p_0.1.txt,15,0,180000,false
synth-n_120-m_921-k_25-p_0.1.txt,25,0,180000,false
synth-n_120-m_935-k_30-p_0.1.txt,29,0,180000,false
synth-n_120-m_950-k_20-p_0.1.txt,20,0,180000,false
synth-n_140-m_1028-k_2-p_0.1.txt,2,2,7,true
synth-n_140-m_1046-k_6-p_0.1.txt,6,6,69,true
synth-n_140-m_1047-k_4-p_0.1.txt,4,4,15,true
synth-n_140-m_1056-k_8-p_0.1.txt,8,8,459,true
synth-n_140-m_1070-k_10-p_0.1.txt,10,10,5106,true
synth-n_140-m_1181-k_20-p_0.1.txt,20,0,180000,false
synth-n_140-m_1184-k_15-p_0.1.txt,15,0,180000,false
