name,k_optimal,k_solved,millis,verified,recursive_steps
synth-n_10-m_12-k_2-p_0.2.txt,0,0,22,true,0
synth-n_10-m_12-k_4-p_0.2.txt,1,1,0,true,0
synth-n_100-m_1009-k_2-p_0.2.txt,2,2,6,true,0
synth-n_100-m_1028-k_4-p_0.2.txt,4,4,57,true,1
synth-n_100-m_1107-k_6-p_0.2.txt,6,6,53,true,1
synth-n_100-m_1119-k_8-p_0.2.txt,8,8,77,true,1
synth-n_100-m_1129-k_10-p_0.2.txt,10,10,87,true,6
synth-n_100-m_1220-k_15-p_0.2.txt,15,15,308,true,8797
synth-n_100-m_1231-k_25-p_0.2.txt,25,0,180000,false,10005557
synth-n_100-m_1235-k_20-p_0.2.txt,20,20,23988,true,1386793
synth-n_100-m_1374-k_30-p_0.2.txt,30,0,180000,false,13374510
synth-n_100-m_262-k_6-p_0.05.txt,5,5,1,true,0
synth-n_100-m_275-k_10-p_0.05.txt,6,6,2,true,24
synth-n_100-m_277-k_8-p_0.05.txt,4,4,1,true,0
synth-n_100-m_282-k_2-p_0.05.txt,2,2,1,true,0
synth-n_100-m_305-k_20-p_0.05.txt,10,10,117,true,12884
synth-n_100-m_305-k_4-p_0.05.txt,3,3,1,true,0
synth-n_100-m_319-k_15-p_0.05.txt,9,9,4,true,211
synth-n_100-m_344-k_25-p_0.05.txt,12,12,786,true,66024
synth-n_100-m_346-k_30-p_0.05.txt,17,0,180000,false,12438619
synth-n_100-m_491-k_2-p_0.1.txt,2,2,1,true,0
synth-n_100-m_542-k_4-p_0.1.txt,4,4,2,true,0
synth-n_100-m_546-k_8-p_0.1.txt,8,8,8,true,2
synth-n_100-m_565-k_6-p_0.1.txt,6,6,2,true,0
synth-n_100-m_568-k_10-p_0.1.txt,10,10,29,true,171
synth-n_100-m_596-k_15-p_0.1.txt,15,15,11793,true,774095
synth-n_100-m_643-k_25-p_0.1.txt,25,0,180000,false,10607511
synth-n_100-m_645-k_20-p_0.1.txt,20,0,180000,false,11255646
synth-n_100-m_670-k_30-p_0.1.txt,29,0,180000,false,13067091
synth-n_120-m_1409-k_2-p_0.2.txt,2,2,4,true,0
synth-n_120-m_1485-k_6-p_0.2.txt,6,6,91,true,1
synth-n_120-m_1520-k_4-p_0.2.txt,4,4,52,true,1
synth-n_120-m_1530-k_10-p_0.2.txt,10,10,142,true,1
synth-n_120-m_1600-k_8-p_0.2.txt,8,8,125,true,1
synth-n_120-m_1738-k_15-p_0.2.txt,15,15,219,true,1069
synth-n_120-m_1775-k_20-p_0.2.txt,20,20,14429,true,511729
synth-n_120-m_1825-k_25-p_0.2.txt,25,0,180000,false,7806929
synth-n_120-m_1829-k_30-p_0.2.txt,30,0,180000,false,10421814
synth-n_120-m_368-k_2-p_0.05.txt,2,2,1,true,0
synth-n_120-m_372-k_4-p_0.05.txt,4,4,1,true,0
synth-n_120-m_391-k_6-p_0.05.txt,5,5,3,true,19
synth-n_120-m_395-k_8-p_0.05.txt,7,7,1,true,0
synth-n_120-m_420-k_10-p_0.05.txt,7,7,2,true,0
