name,k_optimal,k_solved,millis,verified
synth-n_10-m_12-k_2-p_0.2.txt,0,0,33,true
synth-n_10-m_12-k_4-p_0.2.txt,1,1,5,true
synth-n_10-m_2-k_2-p_0.05.txt,0,0,0,true
synth-n_10-m_2-k_4-p_0.05.txt,0,0,0,true
synth-n_10-m_5-k_2-p_0.1.txt,0,0,1,true
synth-n_10-m_5-k_4-p_0.1.txt,0,0,1,true
synth-n_20-m_10-k_2-p_0.05.txt,0,0,0,true
synth-n_20-m_11-k_6-p_0.05.txt,0,0,2,true
synth-n_20-m_18-k_4-p_0.05.txt,1,1,1,true
synth-n_20-m_20-k_4-p_0.1.txt,0,0,1,true
synth-n_20-m_25-k_2-p_0.1.txt,1,1,2,true
synth-n_20-m_25-k_8-p_0.1.txt,2,2,1,true
synth-n_20-m_38-k_6-p_0.1.txt,2,2,2,true
synth-n_20-m_48-k_2-p_0.2.txt,2,2,0,true
synth-n_20-m_54-k_8-p_0.2.txt,3,3,1,true
synth-n_20-m_58-k_4-p_0.2.txt,4,4,3,true
synth-n_20-m_59-k_6-p_0.2.txt,3,3,1,true
synth-n_20-m_9-k_8-p_0.05.txt,0,0,0,true
synth-n_30-m_111-k_8-p_0.2.txt,7,7,26,true
synth-n_30-m_114-k_6-p_0.2.txt,5,5,4,true
synth-n_30-m_117-k_10-p_0.2.txt,7,7,29,true
synth-n_30-m_25-k_2-p_0.05.txt,0,0,0,true
synth-n_30-m_28-k_4-p_0.05.txt,2,2,0,true
synth-n_30-m_28-k_6-p_0.05.txt,1,1,0,true
synth-n_30-m_28-k_8-p_0.05.txt,1,1,1,true
synth-n_30-m_35-k_10-p_0.05.txt,0,0,0,true
synth-n_30-m_55-k_4-p_0.1.txt,2,2,0,true
synth-n_30-m_58-k_6-p_0.1.txt,2,2,0,true
synth-n_30-m_60-k_2-p_0.1.txt,1,1,0,true
synth-n_30-m_64-k_8-p_0.1.txt,3,3,0,true
synth-n_30-m_73-k_10-p_0.1.txt,4,4,3,true
synth-n_30-m_97-k_2-p_0.2.txt,2,2,2,true
synth-n_30-m_99-k_4-p_0.2.txt,3,3,1,true
synth-n_40-m_112-k_8-p_0.1.txt,6,6,2,true
synth-n_40-m_114-k_10-p_0.1.txt,6,6,8,true
synth-n_40-m_114-k_15-p_0.1.txt,6,6,5,true
synth-n_40-m_176-k_2-p_0.2.txt,2,2,0,true
synth-n_40-m_185-k_4-p_0.2.txt,4,4,1,true
synth-n_40-m_192-k_10-p_0.2.txt,10,10,319,true
synth-n_40-m_192-k_15-p_0.2.txt,13,13,2489,true
synth-n_40-m_194-k_6-p_0.2.txt,5,5,1,true
synth-n_40-m_203-k_8-p_0.2.txt,7,7,14,true
synth-n_40-m_36-k_2-p_0.05.txt,0,0,0,true
synth-n_40-m_47-k_6-p_0.05.txt,0,0,0,true
synth-n_40-m_50-k_4-p_0.05.txt,1,1,0,true
synth-n_40-m_58-k_15-p_0.05.txt,1,1,0,true
synth-n_40-m_61-k_8-p_0.05.txt,1,1,0,true
synth-n_40-m_62-k_10-p_0.05.txt,3,3,0,true
synth-n_40-m_88-k_4-p_0.1.txt,3,3,0,true
synth-n_40-m_92-k_2-p_0.1.txt,2,2,0,true
synth-n_40-m_95-k_6-p_0.1.txt,4,4,2,true
synth-n_50-m_139-k_2-p_0.1.txt,2,2,0,true
synth-n_50-m_139-k_4-p_0.1.txt,2,2,0,true
synth-n_50-m_154-k_8-p_0.1.txt,6,6,16,true
synth-n_50-m_159-k_10-p_0.1.txt,8,8,95,true
synth-n_50-m_169-k_6-p_0.1.txt,6,6,2,true
synth-n_50-m_192-k_20-p_0.1.txt,11,11,1517,true
synth-n_50-m_195-k_15-p_0.1.txt,8,8,84,true
synth-n_50-m_275-k_2-p_0.2.txt,2,2,1,true
synth-n_50-m_278-k_4-p_0.2.txt,4,4,1,true
synth-n_50-m_302-k_6-p_0.2.txt,6,6,4,true
synth-n_50-m_320-k_15-p_0.2.txt,14,14,6596,true
synth-n_50-m_327-k_10-p_0.2.txt,10,10,294,true
synth-n_50-m_334-k_8-p_0.2.txt,8,8,23,true
synth-n_50-m_357-k_20-p_0.2.txt,20,0,180000,false
synth-n_50-m_66-k_2-p_0.05.txt,1,1,0,true
synth-n_50-m_70-k_4-p_0.05.txt,0,0,0,true
synth-n_50-m_71-k_8-p_0.05.txt,2,2,0,true
synth-n_50-m_81-k_10-p_0.05.txt,3,3,0,true
synth-n_50-m_90-k_20-p_0.05.txt,2,2,0,true
synth-n_50-m_91-k_6-p_0.05.txt,1,1,0,true
synth-n_50-m_97-k_15-p_0.05.txt,4,4,2,true
biology-n_12-m_33-p_0.5-15,3,3,0,true
biology-n_12-m_33-p_0.75-15,3,3,0,true
biology-n_12-m_33-p_0.9-15,3,3,0,true
biology-n_12-m_43-p_0.5-25,4,4,0,true
biology-n_12-m_43-p_0.75-25,3,3,0,true
biology-n_12-m_43-p_0.9-25,1,1,0,true
biology-n_12-m_45-p_0.5-19,3,3,0,true
biology-n_12-m_45-p_0.75-19,3,3,0,true
biology-n_12-m_45-p_0.9-19,1,1,0,true
biology-n_13-m_39-p_0.5-4,2,2,0,true
biology-n_13-m_39-p_0.75-4,3,3,0,true
biology-n_13-m_39-p_0.9-4,4,4,0,true
biology-n_13-m_51-p_0.5-22,4,4,0,true
biology-n_13-m_51-p_0.75-22,3,3,0,true
biology-n_13-m_51-p_0.9-22,3,3,0,true
biology-n_16-m_79-p_0.5-3,6,6,2,true
biology-n_16-m_79-p_0.75-3,6,6,2,true
biology-n_16-m_79-p_0.9-3,4,4,0,true
biology-n_17-m_89-p_0.5-10,6,6,2,true
biology-n_17-m_89-p_0.75-10,6,6,2,true
biology-n_17-m_89-p_0.9-10,4,4,0,true
biology-n_19-m_99-p_0.5-20,7,7,4,true
biology-n_19-m_99-p_0.75-20,6,6,4,true
biology-n_19-m_99-p_0.9-20,3,3,1,true
biology-n_20-m_125-p_0.5-24,8,8,24,true
biology-n_20-m_125-p_0.5-7,9,9,67,true
biology-n_20-m_125-p_0.75-24,9,9,52,true
biology-n_20-m_125-p_0.75-7,5,5,1,true
biology-n_20-m_125-p_0.9-24,3,3,0,true
biology-n_20-m_125-p_0.9-7,4,4,0,true
biology-n_22-m_76-p_0.5-9,4,4,0,true
biology-n_22-m_76-p_0.75-9,4,4,0,true
biology-n_22-m_76-p_0.9-9,3,3,0,true
biology-n_23-m_166-p_0.5-17,12,12,1532,true
biology-n_23-m_166-p_0.75-17,10,10,363,true
biology-n_23-m_166-p_0.9-17,6,6,3,true
biology-n_25-m_231-p_0.5-6,13,13,5121,true
biology-n_25-m_231-p_0.75-6,13,13,4534,true
biology-n_25-m_231-p_0.9-6,8,8,37,true
biology-n_28-m_163-p_0.5-11,10,10,47,true
biology-n_28-m_163-p_0.75-11,8,8,13,true
biology-n_28-m_163-p_0.9-11,5,5,0,true
biology-n_28-m_249-p_0.5-8,15,15,40558,true
biology-n_28-m_249-p_0.75-8,13,13,4914,true
biology-n_28-m_249-p_0.9-8,6,6,6,true
biology-n_29-m_153-p_0.5-21,11,11,499,true
biology-n_29-m_153-p_0.75-21,11,11,557,true
biology-n_29-m_153-p_0.9-21,5,5,2,true
biology-n_30-m_287-p_0.5-5,15,15,44763,true
biology-n_30-m_287-p_0.75-5,12,12,2202,true
biology-n_30-m_287-p_0.9-5,10,10,526,true
biology-n_35-m_315-p_0.5-18,17,17,132419,true
biology-n_35-m_315-p_0.75-18,15,15,83055,true
biology-n_35-m_315-p_0.9-18,10,10,616,true
biology-n_36-m_219-p_0.5-12,17,17,514,true
biology-n_36-m_219-p_0.75-12,14,14,87,true
biology-n_36-m_219-p_0.9-12,9,9,2,true
biology-n_42-m_297-p_0.5-23,21,0,180000,false
biology-n_42-m_297-p_0.75-23,19,0,180000,false
biology-n_42-m_297-p_0.9-23,13,13,1605,true
biology-n_45-m_326-p_0.5-16,21,21,1421,true
biology-n_45-m_326-p_0.75-16,18,18,1434,true
biology-n_45-m_326-p_0.9-16,14,14,26,true
biology-n_49-m_689-p_0.5-14,29,0,180000,false
biology-n_49-m_689-p_0.75-14,26,0,180000,false
biology-n_49-m_689-p_0.9-14,19,0,180000,false
biology-n_56-m_526-p_0.5-2,29,0,180000,false
biology-n_56-m_526-p_0.75-2,24,0,180000,false
biology-n_56-m_526-p_0.9-2,17,0,180000,false
biology-n_6-m_7-p_0.5-13,0,0,0,true
biology-n_6-m_7-p_0.75-13,0,0,0,true
biology-n_6-m_7-p_0.9-13,0,0,0,true
biology-n_9-m_23-p_0.5-1,2,2,0,true
biology-n_9-m_23-p_0.75-1,2,2,0,true
biology-n_9-m_23-p_0.9-1,1,1,0,true
GD-n_101-m_190.mtx,0,0,0,true
GD-n_105-m_149.mtx,20,20,4,true
GD-n_111-m_193.mtx,0,0,0,true
GD-n_112-m_168.mtx,0,0,0,true
GD-n_121-m_207.mtx,43,8,180000,false
GD-n_18-m_37.mtx,8,8,3,true
GD-n_180-m_229.mtx,2,2,0,true
GD-n_23-m_87.mtx,9,9,7,true
GD-n_36-m_57.mtx,5,5,2,true
GD-n_38-m_50.mtx,2,2,0,true
GD-n_47-m_132.mtx,0,0,0,true
GD-n_62-m_287.mtx,38,0,180000,false
GD-n_65-m_125.mtx,0,0,0,true
GD-n_73-m_96.mtx,2,1,0,false
GD-n_80-m_232.mtx,20,5,180000,false
GD-n_84-m_196.mtx,0,0,1,true
maayan_foodweb-n_183-m_2476,11,11,3,true
moreno_bison-n_26-m_314,16,16,744,true
moreno_cattle-n_28-m_217,8,8,3,true
moreno_hens-n_32-m_496,11,11,1014,true
moreno_innovation-n_241-m_1098,79,0,180000,false
moreno_mac-n_62-m_1187,14,14,4385,true
moreno_rhesus-m_16-m_111,10,10,5,true
