name,k_optimal,k_solved,recursive_steps,millis,verified
biology-n_35-m_315-p_0.75-18,15,15,101315,3235,true
biology-n_42-m_297-p_0.5-23,21,21,1555076,49385,true
biology-n_42-m_297-p_0.75-23,19,19,1142558,39619,true
biology-n_49-m_689-p_0.9-14,19,19,680552,53145,true
biology-n_59-m_624-p_0.75-1,26,26,946569,59087,true
blogs-n_200,25,25,1,3,true
GD-n_80-m_232.mtx,20,20,113,2,true
openflights-n_300,37,37,0,1,true
temporalGraph-n_700,26,26,0,5,true
ucsocial-n_200,24,24,0,1,true
usairport-n_200,29,29,5,2,true
synth-n_100-m_305-k_20-p_0.05.txt,10,10,15989,948,true
synth-n_100-m_319-k_15-p_0.05.txt,9,9,116,6,true
synth-n_100-m_568-k_10-p_0.1.txt,10,10,266,81,true
synth-n_120-m_1530-k_10-p_0.2.txt,10,10,1,143,true
synth-n_120-m_455-k_15-p_0.05.txt,10,10,1425,169,true
synth-n_140-m_1070-k_10-p_0.1.txt,10,10,6,94,true
synth-n_160-m_731-k_10-p_0.05.txt,10,10,427,168,true
synth-n_180-m_3481-k_10-p_0.2.txt,10,10,1,509,true
synth-n_180-m_902-k_10-p_0.05.txt,10,10,34,28,true
synth-n_200-m_1075-k_10-p_0.05.txt,10,10,43,70,true
synth-n_225-m_1390-k_10-p_0.05.txt,10,10,24,149,true
synth-n_250-m_1694-k_10-p_0.05.txt,10,10,55,313,true
synth-n_275-m_2051-k_10-p_0.05.txt,10,10,2,122,true
synth-n_300-m_2418-k_10-p_0.05.txt,10,10,2,394,true
synth-n_300-m_4844-k_10-p_0.1.txt,10,10,1,1804,true
synth-n_300-m_9436-k_10-p_0.2.txt,10,10,1,2669,true
synth-n_50-m_357-k_20-p_0.2.txt,20,0,2592921,180000,false
synth-n_60-m_243-k_25-p_0.1.txt,14,14,90913,4783,true
synth-n_60-m_271-k_20-p_0.1.txt,15,15,421087,34300,true
synth-n_60-m_468-k_15-p_0.2.txt,15,15,1592814,173047,true
synth-n_80-m_818-k_15-p_0.2.txt,15,15,24388,5345,true
