name,k_optimal,k_solved,recursive_steps,millis,verified
biology-n_35-m_315-p_0.75-18,15,15,103041,483,true
biology-n_42-m_297-p_0.5-23,21,21,1574894,10534,true
biology-n_42-m_297-p_0.75-23,19,19,2880422,16718,true
biology-n_49-m_689-p_0.9-14,19,19,848944,4422,true
biology-n_59-m_624-p_0.75-1,26,26,946576,3998,true
blogs-n_200,25,25,1,3,true
GD-n_80-m_232.mtx,20,20,170,2,true
openflights-n_300,37,37,0,1,true
temporalGraph-n_700,26,26,0,5,true
ucsocial-n_200,24,24,0,1,true
usairport-n_200,29,29,5,3,true
synth-n_100-m_305-k_20-p_0.05.txt,10,10,23328,191,true
synth-n_100-m_319-k_15-p_0.05.txt,9,9,228,5,true
synth-n_100-m_568-k_10-p_0.1.txt,10,10,186,35,true
synth-n_120-m_1530-k_10-p_0.2.txt,10,10,1,152,true
synth-n_120-m_455-k_15-p_0.05.txt,10,10,14473,222,true
synth-n_140-m_1070-k_10-p_0.1.txt,10,10,11,98,true
synth-n_160-m_731-k_10-p_0.05.txt,10,10,1700,111,true
synth-n_180-m_3481-k_10-p_0.2.txt,10,10,1,520,true
synth-n_180-m_902-k_10-p_0.05.txt,10,10,35,24,true
synth-n_200-m_1075-k_10-p_0.05.txt,10,10,153,63,true
synth-n_225-m_1390-k_10-p_0.05.txt,10,10,93,144,true
synth-n_250-m_1694-k_10-p_0.05.txt,10,10,76,269,true
synth-n_275-m_2051-k_10-p_0.05.txt,10,10,2,124,true
synth-n_300-m_2418-k_10-p_0.05.txt,10,10,2,401,true
synth-n_300-m_4844-k_10-p_0.1.txt,10,10,1,1876,true
synth-n_300-m_9436-k_10-p_0.2.txt,10,10,1,2765,true
synth-n_50-m_357-k_20-p_0.2.txt,20,20,8135571,51150,true
synth-n_60-m_243-k_25-p_0.1.txt,14,14,693426,5470,true
synth-n_60-m_271-k_20-p_0.1.txt,15,15,5762809,50634,true
synth-n_60-m_468-k_15-p_0.2.txt,15,15,2214154,19869,true
synth-n_80-m_818-k_15-p_0.2.txt,15,15,97427,1432,true
