name,k_optimal,k_solved,millis,verified,recursive_steps
biology-n_35-m_315-p_0.75-18,15,15,184,true,21205
biology-n_42-m_297-p_0.5-23,21,21,3900,true,575633
biology-n_42-m_297-p_0.75-23,19,19,5070,true,839619
biology-n_49-m_689-p_0.9-14,19,19,254,true,49508
biology-n_59-m_624-p_0.75-1,26,26,286,true,73907
blogs-n_200,25,25,3,true,1
GD-n_80-m_232.mtx,20,20,3,true,165
openflights-n_300,37,37,1,true,0
temporalGraph-n_700,26,26,5,true,0
ucsocial-n_200,24,24,0,true,0
usairport-n_200,29,29,2,true,5
synth-n_100-m_305-k_20-p_0.05.txt,10,10,104,true,12884
synth-n_100-m_319-k_15-p_0.05.txt,9,9,4,true,211
synth-n_100-m_568-k_10-p_0.1.txt,10,10,31,true,171
synth-n_120-m_1530-k_10-p_0.2.txt,10,10,140,true,1
synth-n_120-m_455-k_15-p_0.05.txt,10,10,130,true,8696
synth-n_140-m_1070-k_10-p_0.1.txt,10,10,90,true,11
synth-n_160-m_731-k_10-p_0.05.txt,10,10,78,true,1127
synth-n_180-m_3481-k_10-p_0.2.txt,10,10,484,true,1
synth-n_180-m_902-k_10-p_0.05.txt,10,10,24,true,35
synth-n_200-m_1075-k_10-p_0.05.txt,10,10,59,true,152
synth-n_225-m_1390-k_10-p_0.05.txt,10,10,137,true,88
synth-n_250-m_1694-k_10-p_0.05.txt,10,10,248,true,62
synth-n_275-m_2051-k_10-p_0.05.txt,10,10,113,true,2
synth-n_300-m_2418-k_10-p_0.05.txt,10,10,384,true,2
synth-n_300-m_4844-k_10-p_0.1.txt,10,10,1738,true,1
synth-n_300-m_9436-k_10-p_0.2.txt,10,10,2554,true,1
synth-n_50-m_357-k_20-p_0.2.txt,20,20,7677,true,1350739
synth-n_60-m_243-k_25-p_0.1.txt,14,14,1832,true,232479
synth-n_60-m_271-k_20-p_0.1.txt,15,15,14688,true,1715593
synth-n_60-m_468-k_15-p_0.2.txt,15,15,1924,true,240071
synth-n_80-m_818-k_15-p_0.2.txt,15,15,290,true,20741
