name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis
synth-n_10-m_12-k_2-p_0.2.txt,10,10,0,0,0,true,10,0,0,30
synth-n_10-m_12-k_4-p_0.2.txt,10,10,1,1,1,true,10,0,0,0
synth-n_100-m_1009-k_2-p_0.2.txt,100,100,2,2,2,true,100,0,0,2
synth-n_100-m_1028-k_4-p_0.2.txt,100,100,4,4,0,true,26,4,1,120
synth-n_100-m_1107-k_6-p_0.2.txt,100,100,6,6,2,true,21,4,1,91
synth-n_100-m_1119-k_8-p_0.2.txt,100,100,8,8,0,true,6,8,1,138
synth-n_100-m_1129-k_10-p_0.2.txt,100,100,10,10,0,true,5,8,3,161
synth-n_100-m_1220-k_15-p_0.2.txt,100,100,15,15,0,true,3,4,114,205
synth-n_100-m_1231-k_25-p_0.2.txt,100,100,25,25,0,true,3,0,33569,5398
synth-n_100-m_1235-k_20-p_0.2.txt,100,100,20,20,0,true,1,0,6602,1501
synth-n_100-m_1374-k_30-p_0.2.txt,100,100,30,30,0,true,0,0,576209,96103
synth-n_100-m_262-k_6-p_0.05.txt,100,100,5,5,5,true,100,0,0,0
synth-n_100-m_275-k_10-p_0.05.txt,100,100,6,6,2,true,87,0,4,2
synth-n_100-m_277-k_8-p_0.05.txt,100,100,4,4,4,true,100,0,0,0
synth-n_100-m_282-k_2-p_0.05.txt,100,100,2,2,2,true,100,0,0,0
synth-n_100-m_305-k_20-p_0.05.txt,100,100,10,10,0,true,58,0,333,19
synth-n_100-m_305-k_4-p_0.05.txt,99,99,3,3,3,true,99,0,0,0
synth-n_100-m_319-k_15-p_0.05.txt,100,100,9,9,3,true,78,0,18,2
synth-n_100-m_344-k_25-p_0.05.txt,99,99,12,12,0,true,36,1,330,49
synth-n_100-m_346-k_30-p_0.05.txt,100,100,17,17,0,true,38,0,63183,1416
synth-n_100-m_491-k_2-p_0.1.txt,100,100,2,2,2,true,100,0,0,0
synth-n_100-m_542-k_4-p_0.1.txt,100,100,4,4,4,true,100,0,0,0
synth-n_100-m_546-k_8-p_0.1.txt,100,100,8,8,3,true,57,4,2,11
synth-n_100-m_565-k_6-p_0.1.txt,100,100,6,6,6,true,100,0,0,0
synth-n_100-m_568-k_10-p_0.1.txt,100,100,10,10,0,true,30,4,5,49
synth-n_100-m_596-k_15-p_0.1.txt,100,100,15,15,0,true,23,0,718,122
synth-n_100-m_643-k_25-p_0.1.txt,100,100,25,25,0,true,15,0,375431,17537
synth-n_100-m_645-k_20-p_0.1.txt,100,100,20,20,0,true,14,0,30513,2314
synth-n_100-m_670-k_30-p_0.1.txt,100,100,29,0,0,false,7,0,2450344,180000
synth-n_120-m_1409-k_2-p_0.2.txt,120,120,2,2,2,true,120,0,0,0
synth-n_120-m_1485-k_6-p_0.2.txt,120,120,6,6,0,true,13,6,1,184
synth-n_120-m_1520-k_4-p_0.2.txt,120,120,4,4,1,true,26,3,1,110
synth-n_120-m_1530-k_10-p_0.2.txt,120,120,10,10,0,true,5,10,1,258
synth-n_120-m_1600-k_8-p_0.2.txt,120,120,8,8,0,true,6,8,1,240
synth-n_120-m_1738-k_15-p_0.2.txt,120,120,15,15,0,true,0,7,37,341
synth-n_120-m_1775-k_20-p_0.2.txt,120,120,20,20,0,true,1,3,492,481
synth-n_120-m_1825-k_25-p_0.2.txt,120,120,25,25,0,true,1,0,17800,5688
synth-n_120-m_1829-k_30-p_0.2.txt,120,120,30,30,0,true,0,0,192935,55777
synth-n_120-m_368-k_2-p_0.05.txt,120,120,2,2,2,true,120,0,0,0
synth-n_120-m_372-k_4-p_0.05.txt,120,120,4,4,4,true,120,0,0,0
synth-n_120-m_391-k_6-p_0.05.txt,120,120,5,5,1,true,99,1,4,2
synth-n_120-m_395-k_8-p_0.05.txt,120,120,7,7,7,true,120,0,0,0
synth-n_120-m_420-k_10-p_0.05.txt,120,120,7,7,7,true,120,0,0,0
synth-n_120-m_432-k_20-p_0.05.txt,120,120,15,15,2,true,70,0,746,40
synth-n_120-m_455-k_15-p_0.05.txt,120,120,10,10,0,true,67,0,44,23
synth-n_120-m_482-k_25-p_0.05.txt,120,120,17,17,0,true,47,0,10080,396
synth-n_120-m_492-k_30-p_0.05.txt,120,120,21,21,0,true,31,0,341984,13831
synth-n_120-m_724-k_4-p_0.1.txt,120,120,4,4,4,true,120,0,0,1
synth-n_120-m_788-k_6-p_0.1.txt,120,120,6,6,6,true,120,0,0,0
synth-n_120-m_790-k_10-p_0.1.txt,120,120,10,10,0,true,33,4,6,93
synth-n_120-m_791-k_2-p_0.1.txt,120,120,2,2,2,true,120,0,0,0
synth-n_120-m_828-k_8-p_0.1.txt,120,120,8,8,1,true,32,7,1,95
synth-n_120-m_871-k_15-p_0.1.txt,120,120,15,15,0,true,18,0,4300,647
synth-n_120-m_921-k_25-p_0.1.txt,120,120,25,25,0,true,12,0,234434,26681
synth-n_120-m_935-k_30-p_0.1.txt,120,120,29,0,0,false,5,0,1593656,180000
synth-n_120-m_950-k_20-p_0.1.txt,120,120,20,20,0,true,10,0,8487,1271
synth-n_140-m_1028-k_2-p_0.1.txt,140,140,2,2,2,true,140,0,0,1
synth-n_140-m_1046-k_6-p_0.1.txt,140,140,6,6,6,true,140,0,0,0
synth-n_140-m_1047-k_4-p_0.1.txt,140,140,4,4,4,true,140,0,0,1
synth-n_140-m_1056-k_8-p_0.1.txt,140,140,8,8,4,true,52,4,1,90
synth-n_140-m_1070-k_10-p_0.1.txt,140,140,10,10,0,true,31,8,3,192
synth-n_140-m_1181-k_20-p_0.1.txt,140,140,20,20,0,true,12,0,31206,6529
synth-n_140-m_1184-k_15-p_0.1.txt,140,140,15,15,1,true,20,2,185,284
synth-n_140-m_1225-k_25-p_0.1.txt,140,140,25,25,0,true,8,0,242248,46516
synth-n_140-m_1284-k_30-p_0.1.txt,140,140,30,0,0,false,4,0,931120,180000
synth-n_140-m_2032-k_2-p_0.2.txt,140,140,2,2,2,true,140,0,0,0
synth-n_140-m_2038-k_4-p_0.2.txt,140,140,4,4,0,true,20,4,1,242
synth-n_140-m_2080-k_6-p_0.2.txt,140,140,6,6,0,true,10,6,1,333
synth-n_140-m_2149-k_8-p_0.2.txt,140,140,8,8,0,true,5,8,1,401
synth-n_140-m_2195-k_10-p_0.2.txt,140,140,10,10,0,true,7,10,1,417
synth-n_140-m_2205-k_15-p_0.2.txt,140,140,15,15,0,true,2,11,4,485
