name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis,packing_millis
advotogo-n_100,26,31,2,2,2,true,26,0,0,30,0
advotogo-n_1000,624,1883,127,127,120,true,612,0,8,9,1
advotogo-n_1500,1110,4342,215,215,196,true,1072,0,18,15,5
advotogo-n_200,63,68,9,9,7,true,60,0,3,1,0
advotogo-n_2000,1556,6786,297,297,279,true,1526,0,25,6,0
advotogo-n_3000,2657,16140,548,548,495,true,2556,0,92,72,29
advotogo-n_4000,3775,29831,863,816,554,false,3090,0,5336,90004,75980
advotogo-n_50,0,0,0,0,0,true,0,0,0,0,0
advotogo-n_500,247,446,39,39,37,true,244,0,3,0,0
advotogo-n_5000,4962,43776,1160,1086,699,false,3953,0,1204,90017,76573
advotogo-n_5159,5155,47135,1208,1131,742,false,4141,0,1171,90008,75695
bitcoinalpha-n_100,5,7,2,2,2,true,5,0,0,0,0
bitcoinalpha-n_1000,545,1878,136,136,134,true,542,0,3,0,0
bitcoinalpha-n_1500,957,3890,261,261,259,true,954,0,3,0,0
bitcoinalpha-n_200,50,78,11,11,11,true,50,0,0,0,0
bitcoinalpha-n_2000,1450,6295,393,393,386,true,1438,0,8,1,0
bitcoinalpha-n_3000,2659,15429,658,658,646,true,2638,0,21,2,0
bitcoinalpha-n_3785,3783,24186,921,921,901,true,3744,0,14,4,0
bitcoinalpha-n_50,5,5,2,2,2,true,5,0,0,0,0
bitcoinalpha-n_500,202,465,54,54,51,true,197,0,3,0,0
blogs-n_100,67,170,8,8,8,true,67,0,0,0,0
blogs-n_1000,977,12749,196,196,66,true,646,0,4321,12753,9957
blogs-n_1227,1224,19022,262,262,87,true,778,0,24342,63243,50337
blogs-n_200,138,426,16,16,16,true,138,0,0,0,0
blogs-n_50,34,88,6,6,6,true,34,0,0,0,0
blogs-n_500,430,2918,76,76,49,true,378,0,225,21,11
chess-n_100,13,7,0,0,0,true,13,0,0,0,0
chess-n_1000,613,1295,62,62,27,true,523,0,178,49,37
chess-n_1500,1075,2561,127,124,45,false,859,0,102826,90000,78518
chess-n_200,58,47,2,2,2,true,58,0,0,0,0
chess-n_2000,1531,4343,204,186,61,false,1131,0,9403,90003,82935
chess-n_3000,2586,11156,-1,340,65,false,1616,0,1085,90036,82252
chess-n_4000,3620,17404,-1,507,82,false,2029,0,335,90222,83468
chess-n_50,3,2,0,0,0,true,3,0,0,0,0
chess-n_500,241,319,17,17,17,true,241,0,0,0,0
chess-n_5000,4752,27339,-1,715,78,false,2327,0,118,90296,84019
chess-n_6000,5854,40749,-1,911,81,false,2659,0,64,90507,83731
chess-n_7000,6966,55133,-1,1123,91,false,2913,0,37,103176,96409
chess-n_7303,7301,60046,-1,1200,85,false,2958,0,27,90484,84793
ChicagoRegional-n_100,2,2,1,1,1,true,2,0,0,0,0
ChicagoRegional-n_1000,224,245,92,92,92,true,224,0,0,1,0
ChicagoRegional-n_10000,9579,23005,4193,4193,3551,true,8375,0,742,35,16
ChicagoRegional-n_1500,457,485,181,181,179,true,454,0,3,0,0
ChicagoRegional-n_200,13,12,5,5,5,true,13,0,0,0,0
ChicagoRegional-n_2000,777,888,307,307,301,true,767,0,8,0,0
ChicagoRegional-n_3000,1619,2022,631,631,617,true,1596,0,19,0,0
ChicagoRegional-n_4000,2607,3623,1020,1020,1004,true,2581,0,22,1,0
ChicagoRegional-n_50,4,4,2,2,2,true,4,0,0,0,0
ChicagoRegional-n_500,52,50,24,24,24,true,52,0,0,0,0
ChicagoRegional-n_5000,3710,5774,1484,1484,1438,true,3627,0,51,1,0
ChicagoRegional-n_6000,4927,8488,1987,1987,1865,true,4703,0,122,2,0
