name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis
synth-n_10-m_12-k_2-p_0.2.txt,10,12,0,0,0,true,10,0,0,30
synth-n_10-m_12-k_4-p_0.2.txt,10,12,1,1,1,true,10,0,0,1
synth-n_100-m_1009-k_2-p_0.2.txt,100,1009,2,2,2,true,100,0,0,3
synth-n_100-m_1028-k_4-p_0.2.txt,100,1028,4,4,0,true,26,4,1,140
synth-n_100-m_1107-k_6-p_0.2.txt,100,1107,6,6,2,true,21,4,1,86
synth-n_100-m_1119-k_8-p_0.2.txt,100,1119,8,8,0,true,6,8,1,175
synth-n_100-m_1129-k_10-p_0.2.txt,100,1129,10,10,0,true,5,8,3,194
synth-n_100-m_1220-k_15-p_0.2.txt,100,1220,15,15,0,true,3,4,12,198
synth-n_100-m_1231-k_25-p_0.2.txt,100,1231,25,25,0,true,3,0,106,209
synth-n_100-m_1235-k_20-p_0.2.txt,100,1235,20,20,0,true,1,0,32,175
synth-n_100-m_1374-k_30-p_0.2.txt,100,1374,30,30,0,true,0,0,224,269
synth-n_100-m_262-k_6-p_0.05.txt,100,262,5,5,5,true,100,0,0,0
synth-n_100-m_275-k_10-p_0.05.txt,100,275,6,6,2,true,87,0,4,1
synth-n_100-m_277-k_8-p_0.05.txt,100,277,4,4,4,true,100,0,0,0
synth-n_100-m_282-k_2-p_0.05.txt,100,282,2,2,2,true,100,0,0,0
synth-n_100-m_305-k_20-p_0.05.txt,100,305,10,10,0,true,58,0,70,13
synth-n_100-m_305-k_4-p_0.05.txt,99,305,3,3,3,true,99,0,0,0
synth-n_100-m_319-k_15-p_0.05.txt,100,319,9,9,3,true,78,0,13,2
synth-n_100-m_344-k_25-p_0.05.txt,99,344,12,12,0,true,36,1,23,32
synth-n_100-m_346-k_30-p_0.05.txt,100,346,17,17,0,true,38,0,2406,134
synth-n_100-m_491-k_2-p_0.1.txt,100,491,2,2,2,true,100,0,0,0
synth-n_100-m_542-k_4-p_0.1.txt,100,542,4,4,4,true,100,0,0,0
synth-n_100-m_546-k_8-p_0.1.txt,100,546,8,8,3,true,57,4,2,11
synth-n_100-m_565-k_6-p_0.1.txt,100,565,6,6,6,true,100,0,0,0
synth-n_100-m_568-k_10-p_0.1.txt,100,568,10,10,0,true,30,4,5,51
synth-n_100-m_596-k_15-p_0.1.txt,100,596,15,15,0,true,23,0,47,65
synth-n_100-m_643-k_25-p_0.1.txt,100,643,25,25,0,true,15,0,3012,367
