name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis
advotogo-n_100,26,31,-1,2,2,false,26,0,0,14
advotogo-n_1000,624,1883,-1,127,120,false,612,0,13,12
advotogo-n_1500,1110,4342,-1,215,196,false,1072,0,41,16
advotogo-n_200,63,68,-1,9,7,false,60,0,4,1
advotogo-n_2000,1556,6786,-1,297,279,false,1526,0,36,7
advotogo-n_3000,2657,16140,-1,548,495,false,2556,0,187,49
advotogo-n_4000,3775,29831,-1,824,554,false,3090,0,63117,180002
advotogo-n_50,0,0,-1,0,0,false,0,0,0,0
advotogo-n_500,247,446,-1,39,37,false,244,0,4,1
advotogo-n_5000,4962,43776,-1,1092,699,false,3953,0,6722,180019
advotogo-n_5159,5155,47135,-1,1143,742,false,4141,0,7235,180004
bitcoinalpha-n_100,5,7,-1,2,2,false,5,0,0,0
bitcoinalpha-n_1000,545,1878,-1,136,134,false,542,0,4,0
bitcoinalpha-n_1500,957,3890,-1,261,259,false,954,0,4,0
bitcoinalpha-n_200,50,78,-1,11,11,false,50,0,0,0
bitcoinalpha-n_2000,1450,6295,-1,393,386,false,1438,0,14,1
bitcoinalpha-n_3000,2659,15429,-1,658,646,false,2638,0,34,2
bitcoinalpha-n_3785,3783,24186,-1,921,901,false,3744,0,33,4
bitcoinalpha-n_50,5,5,-1,2,2,false,5,0,0,0
bitcoinalpha-n_500,202,465,-1,54,51,false,197,0,5,0
blogs-n_100,67,170,-1,8,8,false,67,0,0,0
blogs-n_1000,977,12749,-1,196,66,false,646,0,5184,4689
blogs-n_1227,1224,19022,-1,262,87,false,778,0,38874,24877
blogs-n_200,138,426,-1,16,16,false,138,0,0,0
blogs-n_50,34,88,-1,6,6,false,34,0,0,0
blogs-n_500,430,2918,-1,76,49,false,378,0,377,14
chess-n_100,13,7,-1,0,0,false,13,0,0,0
chess-n_1000,613,1295,-1,62,27,false,523,0,254,25
chess-n_1500,1075,2561,-1,124,45,false,859,0,1342772,180000
chess-n_200,58,47,-1,2,2,false,58,0,0,0
chess-n_2000,1531,4343,-1,186,61,false,1131,0,96642,180000
chess-n_3000,2586,11156,-1,336,65,false,1616,0,4432,180025
chess-n_4000,3620,17404,-1,494,82,false,2029,0,1233,180029
chess-n_50,3,2,-1,0,0,false,3,0,0,0
chess-n_500,241,319,-1,17,17,false,241,0,0,0
chess-n_5000,4752,27339,-1,692,78,false,2327,0,657,180205
chess-n_6000,5854,40749,-1,834,81,false,2659,0,754,182279
chess-n_7000,6966,55133,-1,931,91,false,2913,0,841,180369
chess-n_7303,7301,60046,-1,978,85,false,2958,0,894,183674
ChicagoRegional-n_100,2,2,-1,1,1,false,2,0,0,0
ChicagoRegional-n_1000,224,245,-1,92,92,false,224,0,0,0
ChicagoRegional-n_10000,9579,23005,-1,4193,3551,false,8375,0,1535,26
ChicagoRegional-n_1500,457,485,-1,181,179,false,454,0,4,0
ChicagoRegional-n_200,13,12,-1,5,5,false,13,0,0,0
ChicagoRegional-n_2000,777,888,-1,307,301,false,767,0,12,0
ChicagoRegional-n_3000,1619,2022,-1,631,617,false,1596,0,28,0
ChicagoRegional-n_4000,2607,3623,-1,1020,1004,false,2581,0,32,0
ChicagoRegional-n_50,4,4,-1,2,2,false,4,0,0,0
ChicagoRegional-n_500,52,50,-1,24,24,false,52,0,0,0
ChicagoRegional-n_5000,3710,5774,-1,1484,1438,false,3627,0,87,1
ChicagoRegional-n_6000,4927,8488,-1,1987,1865,false,4703,0,223,2
ChicagoRegional-n_7000,6106,11328,-1,2495,2347,false,5842,0,266,3
ChicagoRegional-n_8000,7282,14765,-1,3028,2772,false,6804,0,453,5
ChicagoRegional-n_9000,8479,19095,-1,3651,3198,false,7628,0,784,9
health-n_100,23,18,-1,4,4,false,23,0,0,0
health-n_1000,934,2008,-1,231,211,false,904,0,42,1
health-n_1500,1451,4642,-1,446,341,false,1261,0,572934,12892
health-n_200,94,87,-1,17,17,false,94,0,0,0
health-n_2000,1973,7956,-1,626,297,false,1172,0,12023,180016
health-n_2542,2539,12969,-1,829,235,false,1031,0,1325,180127
health-n_50,10,7,-1,2,2,false,10,0,0,0
health-n_500,388,490,-1,67,65,false,384,0,4,0
link-kv-n_100,18,22,-1,8,4,false,12,0,8,0
link-kv-n_1000,644,4081,-1,176,63,false,440,0,3564304,180000
link-kv-n_1500,1054,8494,-1,270,101,false,705,0,245584,180000
link-kv-n_200,90,139,-1,20,10,false,76,0,23,0
link-kv-n_2000,1772,19901,-1,386,112,false,1210,0,24104,180011
link-kv-n_3000,2540,39796,-1,543,174,false,1620,0,4452,180024
link-kv-n_4000,3777,69389,-1,785,200,false,2389,0,1399,180248
link-kv-n_50,6,3,-1,0,0,false,6,0,0,0
link-kv-n_500,270,1056,-1,83,23,false,196,0,217,5
link-kv-n_5000,4840,117893,-1,976,261,false,2975,0,1208,180794
link-kv-n_6000,5911,162803,-1,1245,304,false,3599,0,2004,182171
link-kv-n_6916,6914,211650,-1,1483,352,false,4186,0,1213,185253
openflights-n_100,25,48,-1,10,10,false,25,0,0,0
openflights-n_1000,625,2842,-1,201,190,false,602,0,19,0
openflights-n_1500,1199,7492,-1,413,364,false,1111,0,86,1
openflights-n_200,64,106,-1,26,22,false,57,0,8,0
openflights-n_2000,1794,13285,-1,593,535,false,1691,0,102,2
openflights-n_2942,2939,30501,-1,998,858,false,2676,0,251,8
openflights-n_50,4,4,-1,2,2,false,4,0,0,0
openflights-n_500,226,770,-1,80,69,false,207,0,20,0
out.cfinder-google-n_100,8,7,-1,6,6,false,8,0,0,0
out.cfinder-google-n_1000,413,576,-1,100,94,false,404,0,12,0
out.cfinder-google-n_10000,9678,70276,-1,1703,1603,false,7514,0,194658,180000
out.cfinder-google-n_1500,723,1120,-1,188,157,false,678,0,66,0
out.cfinder-google-n_200,32,27,-1,13,13,false,32,0,0,0
out.cfinder-google-n_2000,1384,3224,-1,307,244,false,1294,0,136,0
out.cfinder-google-n_3000,2127,5857,-1,574,400,false,1880,0,384,2
out.cfinder-google-n_4000,3184,11463,-1,852,555,false,2768,0,679,6
out.cfinder-google-n_50,8,8,-1,7,7,false,8,0,0,0
out.cfinder-google-n_500,119,142,-1,37,35,false,116,0,4,0
out.cfinder-google-n_5000,4366,19192,-1,1200,740,false,3722,0,1080,16
out.cfinder-google-n_6000,5853,31372,-1,1581,901,false,4916,0,1749,21
out.cfinder-google-n_7000,6186,31254,-1,1928,1091,false,5038,0,2173,22
out.cfinder-google-n_8000,7228,48521,-1,1320,1204,false,5596,0,584041,180000
out.cfinder-google-n_9000,8186,53109,-1,2698,1380,false,6392,0,5488,58
talk-oc-n_100,0,0,-1,0,0,false,0,0,0,0
talk-oc-n_1000,589,757,-1,7,7,false,589,0,0,0
talk-oc-n_1500,284,489,-1,15,15,false,284,0,0,0
talk-oc-n_200,81,78,-1,0,0,false,81,0,0,0
talk-oc-n_2000,408,605,-1,15,15,false,408,0,0,0
talk-oc-n_3000,2997,4263,-1,29,29,false,2997,0,0,0
talk-oc-n_3066,3064,4464,-1,30,30,false,3064,0,0,1
talk-oc-n_50,0,0,-1,0,0,false,0,0,0,0
talk-oc-n_500,26,22,-1,3,3,false,26,0,0,0
temporalGraph-n_100,2,1,-1,0,0,false,2,0,0,0
temporalGraph-n_1000,622,1447,-1,40,40,false,622,0,0,0
temporalGraph-n_1500,1343,3437,-1,77,61,false,1310,0,29,2
temporalGraph-n_1868,1866,5517,-1,106,91,false,1834,0,25,1
temporalGraph-n_200,50,73,-1,5,5,false,50,0,0,0
temporalGraph-n_50,12,16,-1,3,3,false,12,0,0,0
temporalGraph-n_500,199,368,-1,17,11,false,185,0,8,0
ucsocial-n_100,26,30,-1,5,5,false,26,0,0,0
ucsocial-n_1000,882,6250,-1,258,219,false,798,0,43,3
ucsocial-n_1500,1412,12596,-1,435,253,false,1033,0,846,657
ucsocial-n_1902,1899,20296,-1,585,381,false,1493,0,9534,3831
ucsocial-n_200,82,138,-1,23,23,false,82,0,0,0
ucsocial-n_50,16,18,-1,3,3,false,16,0,0,0
ucsocial-n_500,353,1231,-1,80,80,false,353,0,0,0
usairport-n_100,46,92,-1,13,13,false,46,0,0,0
usairport-n_1000,910,10027,-1,253,146,false,730,0,31591,874
usairport-n_1500,1490,25277,-1,428,222,false,1115,0,815750,26341
usairport-n_1577,1574,28236,-1,455,243,false,1189,0,1286764,45795
usairport-n_200,104,308,-1,29,19,false,85,0,14,0
usairport-n_50,10,19,-1,5,2,false,5,0,5,0
usairport-n_500,383,3451,-1,112,68,false,305,0,141,9
wikispeedia-n_100,26,19,-1,0,0,false,26,0,0,0
wikispeedia-n_1000,903,3091,-1,156,145,false,884,0,53,1
wikispeedia-n_1500,1415,7438,-1,269,165,false,1114,0,692058,180000
wikispeedia-n_200,124,190,-1,14,14,false,124,0,0,0
wikispeedia-n_2000,1927,12519,-1,413,201,false,1300,0,23660,180004
wikispeedia-n_3000,2973,29508,-1,704,224,false,1442,0,1783,180096
wikispeedia-n_4000,3996,52711,-1,998,247,false,1524,0,903,181031
wikispeedia-n_4181,4179,57572,-1,1052,255,false,1558,0,916,180035
wikispeedia-n_50,8,5,-1,0,0,false,8,0,0,0
wikispeedia-n_500,370,857,-1,56,45,false,345,0,19,0
synth-n_100-m_1093-k_5-p_0.2.txt,100,1093,-1,5,5,false,100,0,0,0
synth-n_100-m_1146-k_10-p_0.2.txt,100,1146,-1,10,0,false,8,0,18,3
synth-n_100-m_1151-k_15-p_0.2.txt,100,1151,-1,15,0,false,3,0,44,9
synth-n_100-m_1229-k_20-p_0.2.txt,100,1229,-1,20,0,false,0,0,38,18
synth-n_100-m_1263-k_25-p_0.2.txt,100,1263,-1,25,0,false,0,0,100,37
synth-n_100-m_1275-k_30-p_0.2.txt,100,1275,-1,30,0,false,0,0,424,145
synth-n_100-m_263-k_5-p_0.05.txt,99,263,-1,5,5,false,99,0,0,0
synth-n_100-m_289-k_10-p_0.05.txt,99,289,-1,4,1,false,86,0,6,0
synth-n_100-m_302-k_15-p_0.05.txt,100,302,-1,8,4,false,87,0,6,0
synth-n_100-m_332-k_20-p_0.05.txt,100,332,-1,14,3,false,57,0,39,1
synth-n_100-m_336-k_30-p_0.05.txt,100,336,-1,15,1,false,42,0,192,10
synth-n_100-m_343-k_25-p_0.05.txt,100,343,-1,14,0,false,43,0,153,6
synth-n_100-m_515-k_5-p_0.1.txt,100,515,-1,5,0,false,37,0,8,0
synth-n_100-m_591-k_15-p_0.1.txt,100,591,-1,15,0,false,17,0,86,8
synth-n_100-m_611-k_10-p_0.1.txt,100,611,-1,10,0,false,19,0,18,1
synth-n_100-m_628-k_20-p_0.1.txt,100,628,-1,20,0,false,12,0,163,17
synth-n_100-m_691-k_25-p_0.1.txt,100,691,-1,25,0,false,3,0,1111,163
synth-n_100-m_732-k_30-p_0.1.txt,100,732,-1,30,0,false,1,0,19723,2902
synth-n_1000-m_107005-k_50-p_0.2.txt,1000,107005,-1,50,0,false,0,0,97,59118
synth-n_1000-m_110357-k_70-p_0.2.txt,1000,110357,-1,70,0,false,0,0,138,77940
synth-n_1000-m_114433-k_100-p_0.2.txt,1000,114433,-1,100,0,false,0,0,213,100461
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,-1,120,0,false,0,0,339,131053
synth-n_1000-m_119520-k_150-p_0.2.txt,1000,119520,-1,150,0,false,0,0,743,180638
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,-1,198,0,false,0,0,901,180392
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,-1,50,0,false,13,0,144,15132
synth-n_1000-m_28175-k_70-p_0.05.txt,1000,28175,-1,70,0,false,11,0,168,16265
synth-n_1000-m_29037-k_100-p_0.05.txt,1000,29037,-1,100,0,false,5,0,496,40968
synth-n_1000-m_30042-k_120-p_0.05.txt,1000,30042,-1,120,0,false,0,0,393,31213
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,-1,150,0,false,0,0,1606,98515
synth-n_1000-m_32410-k_200-p_0.05.txt,1000,32410,-1,192,0,false,0,0,4293,180017
synth-n_1000-m_54531-k_50-p_0.1.txt,1000,54531,-1,50,0,false,3,0,96,27453
synth-n_1000-m_55974-k_70-p_0.1.txt,1000,55974,-1,70,0,false,0,0,131,32658
synth-n_1000-m_57929-k_100-p_0.1.txt,1000,57929,-1,100,0,false,0,0,362,69815
synth-n_1000-m_59867-k_120-p_0.1.txt,1000,59867,-1,120,0,false,0,0,567,97029
synth-n_1000-m_60934-k_150-p_0.1.txt,1000,60934,-1,150,0,false,0,0,1420,180034
synth-n_1000-m_64710-k_200-p_0.1.txt,1000,64710,-1,197,0,false,0,0,1779,180003
synth-n_1300-m_104213-k_200-p_0.1.txt,1300,104213,-1,197,0,false,0,0,797,180116
