name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis,packing_millis
advotogo-n_100,26,31,-1,2,2,false,26,0,0,34,0
advotogo-n_1000,624,1883,-1,127,120,false,612,0,6,18,6
advotogo-n_1500,1110,4342,-1,215,196,false,1072,0,11,10,2
advotogo-n_200,63,68,-1,9,7,false,60,0,2,3,0
advotogo-n_2000,1556,6786,-1,297,279,false,1526,0,18,16,4
advotogo-n_3000,2657,16140,-1,548,495,false,2556,0,35,44,10
advotogo-n_4000,3775,29831,-1,847,554,false,3090,0,99634,180001,23885
advotogo-n_50,0,0,-1,0,0,false,0,0,0,0,0
advotogo-n_500,247,446,-1,39,37,false,244,0,2,1,0
advotogo-n_5000,4962,43776,-1,1134,699,false,3953,0,25317,180000,8032
advotogo-n_5159,5155,47135,-1,1179,742,false,4141,0,27170,180001,8605
bitcoinalpha-n_100,5,7,-1,2,2,false,5,0,0,0,0
bitcoinalpha-n_1000,545,1878,-1,136,134,false,542,0,2,0,0
bitcoinalpha-n_1500,957,3890,-1,261,259,false,954,0,2,1,0
bitcoinalpha-n_200,50,78,-1,11,11,false,50,0,0,0,0
bitcoinalpha-n_2000,1450,6295,-1,393,386,false,1438,0,8,2,0
bitcoinalpha-n_3000,2659,15429,-1,658,646,false,2638,0,13,3,0
bitcoinalpha-n_3785,3783,24186,-1,921,901,false,3744,0,12,6,0
bitcoinalpha-n_50,5,5,-1,2,2,false,5,0,0,0,0
bitcoinalpha-n_500,202,465,-1,54,51,false,197,0,3,1,0
blogs-n_100,67,170,-1,8,8,false,67,0,0,0,0
blogs-n_1000,977,12749,-1,196,66,false,646,0,618,1035,133
blogs-n_1227,1224,19022,-1,262,87,false,778,0,5289,7533,1797
blogs-n_200,138,426,-1,16,16,false,138,0,0,0,0
blogs-n_50,34,88,-1,6,6,false,34,0,0,0,0
blogs-n_500,430,2918,-1,76,49,false,378,0,75,7,1
chess-n_100,13,7,-1,0,0,false,13,0,0,0,0
chess-n_1000,613,1295,-1,62,27,false,523,0,150,23,5
chess-n_1500,1075,2561,-1,125,45,false,859,0,594584,180000,61941
chess-n_200,58,47,-1,2,2,false,58,0,0,0,0
