name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis
synth-n_100-m_1231-k_25-p_0.2.txt,100,1231,25,25,0,true,3,0,33569,5820
synth-n_100-m_643-k_25-p_0.1.txt,100,643,25,25,0,true,15,0,375431,17814
synth-n_120-m_492-k_30-p_0.05.txt,120,492,21,21,0,true,31,0,341984,13837
synth-n_120-m_921-k_25-p_0.1.txt,120,921,25,25,0,true,12,0,234434,26955
synth-n_140-m_2487-k_30-p_0.2.txt,140,2487,30,30,0,true,1,0,41694,20430
synth-n_140-m_625-k_25-p_0.05.txt,140,625,22,22,0,true,44,0,26832,1505
synth-n_160-m_3134-k_30-p_0.2.txt,160,3134,30,30,0,true,0,1,29969,22006
synth-n_180-m_1057-k_25-p_0.05.txt,180,1057,22,22,0,true,41,0,124058,19942
synth-n_180-m_4031-k_30-p_0.2.txt,180,4031,30,30,0,true,0,2,12930,15397
synth-n_200-m_1151-k_25-p_0.05.txt,200,1151,25,25,0,true,57,0,288473,33951
synth-n_200-m_2356-k_25-p_0.1.txt,200,2356,25,25,0,true,7,0,124464,67209
synth-n_225-m_1484-k_25-p_0.05.txt,225,1484,25,25,2,true,62,0,31584,6964
synth-n_250-m_1814-k_25-p_0.05.txt,250,1814,25,25,0,true,41,2,24621,8831
synth-n_275-m_2121-k_25-p_0.05.txt,275,2121,25,25,0,true,47,0,54169,25515
synth-n_275-m_8461-k_30-p_0.2.txt,275,8461,30,30,0,true,1,20,57,5370
synth-n_300-m_2495-k_25-p_0.05.txt,300,2495,25,25,0,true,49,2,22648,15426
synth-n_300-m_9999-k_25-p_0.2.txt,300,9999,25,25,0,true,1,25,1,6639
synth-n_60-m_520-k_25-p_0.2.txt,60,520,25,25,0,true,1,0,533815,18635
synth-n_70-m_342-k_30-p_0.1.txt,70,342,19,19,0,true,4,0,552549,16728
synth-n_90-m_1075-k_30-p_0.2.txt,90,1075,30,30,0,true,1,0,686903,77227
biology-n_56-m_1372-p_0.75-4,56,1372,38,38,0,true,2,0,220649,9270
biology-n_77-m_1411-p_0.9-5,77,1411,34,34,3,true,24,0,219224,11041
blogs-n_700,652,6798,122,122,63,true,504,0,79069,8850
email,167,5783,93,93,1,true,44,4,45442,5236
usairport-n_1000,884,10343,251,251,158,true,720,1,767967,12141
