name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,packing_size,heuristic_size,packing_millis,millis,recursive_steps
advotogo-n_100,16,12,3,3,3,true,16,0,0,0,57,0
advotogo-n_1000,578,1500,112,112,105,true,567,7,7,5,23,0
advotogo-n_200,54,52,5,5,5,true,54,0,0,0,1,0
advotogo-n_300,113,150,15,15,15,true,113,0,0,0,2,0
advotogo-n_400,158,235,22,22,22,true,158,0,0,0,2,0
advotogo-n_500,271,628,36,36,36,true,271,0,0,0,4,0
advotogo-n_700,402,942,64,64,61,true,397,3,3,0,5,0
advotogo-n_800,458,1211,79,79,79,true,458,0,0,0,4,0
baydry,128,2137,7,7,7,true,128,0,0,0,3,0
baywet,128,2106,7,7,7,true,128,0,0,0,5,0
biology-n_12-m_33-p_0.5-15,12,33,3,3,0,true,2,3,3,3,5,0
biology-n_12-m_33-p_0.75-15,12,33,3,3,0,true,6,3,3,0,2,0
biology-n_12-m_33-p_0.9-15,12,33,3,3,3,true,12,0,0,0,1,0
biology-n_12-m_43-p_0.5-25,12,43,4,4,0,true,2,3,4,0,1011,3
biology-n_12-m_43-p_0.75-25,12,43,3,3,3,true,12,0,0,0,4,0
biology-n_12-m_43-p_0.9-25,12,43,1,1,1,true,12,0,0,0,4,0
biology-n_12-m_45-p_0.5-19,12,45,3,3,0,true,3,3,3,0,5,0
biology-n_12-m_45-p_0.75-19,12,45,3,3,0,true,3,3,3,0,5,0
biology-n_12-m_45-p_0.9-19,12,45,1,1,1,true,12,0,0,0,4,0
biology-n_13-m_39-p_0.5-4,13,39,2,2,0,true,5,2,2,0,6,0
biology-n_13-m_39-p_0.75-4,13,39,3,3,3,true,13,0,0,0,4,0
biology-n_13-m_39-p_0.9-4,13,39,4,4,4,true,13,0,0,0,4,0
biology-n_13-m_51-p_0.5-22,13,51,4,4,0,true,4,3,4,0,1004,2
biology-n_13-m_51-p_0.75-22,13,51,3,3,0,true,5,3,3,0,4,0
biology-n_13-m_51-p_0.9-22,13,51,3,3,3,true,13,0,0,0,3,0
biology-n_16-m_79-p_0.5-3,16,79,6,6,0,true,3,4,6,0,1006,9
biology-n_16-m_79-p_0.75-3,16,79,6,6,0,true,1,4,6,0,1006,3
biology-n_16-m_79-p_0.9-3,16,79,4,4,0,true,6,4,4,0,5,0
biology-n_17-m_89-p_0.5-10,17,89,6,6,0,true,2,4,6,1,1005,4
biology-n_17-m_89-p_0.75-10,17,89,6,6,0,true,2,5,6,0,1006,6
biology-n_17-m_89-p_0.9-10,17,89,4,4,0,true,5,2,4,0,1005,2
biology-n_19-m_99-p_0.5-20,19,99,7,7,0,true,2,5,7,0,1020,10
biology-n_19-m_99-p_0.75-20,19,99,6,6,0,true,6,4,6,0,1021,4
biology-n_19-m_99-p_0.9-20,19,99,3,3,3,true,19,0,0,0,6,0
biology-n_20-m_125-p_0.5-24,20,125,8,8,0,true,2,6,8,0,1006,15
biology-n_20-m_125-p_0.5-7,20,125,9,9,0,true,1,6,9,1,1006,18
biology-n_20-m_125-p_0.75-24,20,125,9,9,0,true,2,6,9,2,1022,36
biology-n_20-m_125-p_0.75-7,20,125,5,5,0,true,3,4,5,1,1007,3
biology-n_20-m_125-p_0.9-24,20,125,3,3,0,true,4,3,3,0,19,0
biology-n_20-m_125-p_0.9-7,20,125,4,4,1,true,7,3,3,0,5,0
biology-n_22-m_76-p_0.5-9,22,76,4,4,0,true,13,3,5,0,1006,9
biology-n_22-m_76-p_0.75-9,22,76,4,4,0,true,11,4,4,0,4,0
biology-n_22-m_76-p_0.9-9,22,76,3,3,0,true,14,3,3,0,3,0
biology-n_23-m_166-p_0.5-17,23,166,12,12,0,true,0,7,12,1,1012,96
biology-n_23-m_166-p_0.75-17,23,166,10,10,0,true,2,7,10,1,1021,42
biology-n_23-m_166-p_0.9-17,23,166,6,6,1,true,8,4,5,0,1019,1
biology-n_25-m_231-p_0.5-6,25,231,13,13,0,true,1,7,13,3,1010,77
biology-n_25-m_231-p_0.75-6,25,231,13,13,0,true,1,7,13,3,1011,84
biology-n_25-m_231-p_0.9-6,25,231,8,8,0,true,4,7,8,2,1021,7
biology-n_28-m_163-p_0.5-11,28,163,10,10,1,true,8,6,9,0,1020,19
biology-n_28-m_163-p_0.75-11,28,163,8,8,1,true,10,6,7,0,1019,4
biology-n_28-m_163-p_0.9-11,28,163,5,5,1,true,14,3,4,0,1006,2
biology-n_28-m_249-p_0.5-8,28,249,15,15,0,true,0,8,15,7,1031,182
biology-n_28-m_249-p_0.75-8,28,249,13,13,0,true,0,9,13,2,1013,54
biology-n_28-m_249-p_0.9-8,28,249,6,6,1,true,9,4,5,0,1020,2
biology-n_29-m_153-p_0.5-21,29,153,11,11,1,true,7,7,10,1,1007,25
biology-n_29-m_153-p_0.75-21,29,153,11,11,0,true,3,7,11,2,1008,32
biology-n_29-m_153-p_0.9-21,29,153,5,5,1,true,14,4,4,0,19,0
biology-n_30-m_287-p_0.5-5,30,287,15,15,0,true,3,9,15,3,1011,104
biology-n_30-m_287-p_0.75-5,30,287,12,12,0,true,3,8,12,3,1024,44
biology-n_30-m_287-p_0.9-5,30,287,10,10,0,true,4,7,10,1,1008,28
biology-n_35-m_315-p_0.5-18,35,315,17,17,1,true,7,9,16,5,1036,240
biology-n_35-m_315-p_0.75-18,35,315,15,15,0,true,7,8,15,4,1015,114
biology-n_35-m_315-p_0.9-18,35,315,10,10,0,true,7,9,10,3,1022,23
