name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,packing_size,packing_millis,millis,recursive_steps
advotogo-n_100,26,31,2,2,2,true,26,0,0,52,0
advotogo-n_1000,624,1883,127,127,120,true,612,7,7,23,0
advotogo-n_1500,1110,4342,215,215,196,true,1072,19,2,16,0
advotogo-n_200,63,68,9,9,7,true,60,2,0,3,0
advotogo-n_2000,1556,6786,297,297,279,true,1526,17,4,1691,2
advotogo-n_3000,2657,16140,548,548,495,true,2556,52,4,6011,3
advotogo-n_4000,3775,29831,863,862,554,false,3090,303,59159,90001,123701
advotogo-n_50,0,0,0,0,0,true,0,0,0,1,0
advotogo-n_500,247,446,39,39,37,true,244,2,0,2,0
advotogo-n_5000,4962,43776,1160,1162,699,false,3953,456,67237,90001,91881
advotogo-n_5159,5155,47135,1208,1211,742,false,4141,461,63816,90001,96314
bitcoinalpha-n_100,5,7,2,2,2,true,5,0,0,1,0
bitcoinalpha-n_1000,545,1878,136,136,134,true,542,2,0,2,0
bitcoinalpha-n_1500,957,3890,261,261,259,true,954,2,1,3,0
bitcoinalpha-n_200,50,78,11,11,11,true,50,0,0,0,0
bitcoinalpha-n_2000,1450,6295,393,393,386,true,1438,7,1,4,0
bitcoinalpha-n_3000,2659,15429,658,658,646,true,2638,11,1,8580,5
bitcoinalpha-n_3785,3783,24186,921,921,901,true,3744,19,1,4404,2
bitcoinalpha-n_50,5,5,2,2,2,true,5,0,0,1,0
bitcoinalpha-n_500,202,465,54,54,51,true,197,2,0,10002,1
blogs-n_100,67,170,8,8,8,true,67,0,0,1,0
blogs-n_1000,977,12749,196,196,66,true,646,130,4,98,0
blogs-n_1227,1224,19022,262,262,87,true,778,171,812,10827,1267
blogs-n_200,138,426,16,16,16,true,138,0,0,2,0
blogs-n_50,34,88,6,6,6,true,34,0,0,1,0
blogs-n_500,430,2918,76,76,49,true,378,24,2,10006,28
chess-n_100,13,7,0,0,0,true,13,0,0,0,0
chess-n_1000,613,1295,62,62,27,true,523,31,9,10020,125
chess-n_1500,1075,2561,127,127,45,false,859,73,59569,90001,321883
chess-n_200,58,47,2,2,2,true,58,0,0,0,0
chess-n_2000,1531,4343,204,208,61,false,1131,123,71209,90001,171609
chess-n_3000,2586,11156,-1,430,65,false,1616,295,76468,90001,54417
chess-n_4000,3620,17404,-1,683,82,false,2029,462,76821,90001,29329
chess-n_50,3,2,0,0,0,true,3,0,0,0,0
chess-n_500,241,319,17,17,17,true,241,0,0,1,0
chess-n_5000,4752,27339,-1,1018,78,false,2327,717,76823,90004,17640
chess-n_6000,5854,40749,-1,1345,81,false,2659,937,76568,90008,13764
chess-n_7000,6966,55133,-1,1698,91,false,2913,1184,44458,90004,21708
chess-n_7303,7301,60046,-1,1838,85,false,2958,1276,52166,90001,17642
ChicagoRegional-n_100,2,2,1,1,1,true,2,0,0,0,0
ChicagoRegional-n_1000,224,245,92,92,92,true,224,0,0,0,0
ChicagoRegional-n_10000,9579,23005,4193,4193,3551,true,8375,607,15,5413,118
ChicagoRegional-n_1500,457,485,181,181,179,true,454,2,0,2,0
ChicagoRegional-n_200,13,12,5,5,5,true,13,0,0,1,0
ChicagoRegional-n_2000,777,888,307,307,301,true,767,6,0,2,0
ChicagoRegional-n_3000,1619,2022,631,631,617,true,1596,14,1,5,0
ChicagoRegional-n_4000,2607,3623,1020,1020,1004,true,2581,16,0,6,0
ChicagoRegional-n_50,4,4,2,2,2,true,4,0,0,0,0
ChicagoRegional-n_500,52,50,24,24,24,true,52,0,0,0,0
ChicagoRegional-n_5000,3710,5774,1484,1484,1438,true,3627,45,3,615,1
ChicagoRegional-n_6000,4927,8488,1987,1987,1865,true,4703,119,7,698,3
ChicagoRegional-n_7000,6106,11328,2495,2495,2347,true,5842,142,8,1701,7
ChicagoRegional-n_8000,7282,14765,3028,3028,2772,true,6804,241,14,3288,20
ChicagoRegional-n_9000,8479,19095,3651,3651,3198,true,7628,427,12,4173,45
health-n_100,23,18,4,4,4,true,23,0,0,1,0
health-n_1000,934,2008,231,231,211,true,904,20,1,5,0
health-n_1500,1451,4642,446,446,341,true,1261,104,13,6050,244
health-n_200,94,87,17,17,17,true,94,0,0,1,0
health-n_2000,1973,7956,674,678,297,false,1172,371,76074,90001,184696
health-n_2542,2539,12969,960,983,235,false,1031,705,70045,90001,76137
health-n_50,10,7,2,2,2,true,10,0,0,1,0
health-n_500,388,490,67,67,65,true,384,2,0,2,0
link-kv-n_100,18,22,8,8,4,true,12,4,1,2,0
link-kv-n_1000,644,4081,234,234,63,true,440,171,4,14,0
link-kv-n_1500,1054,8494,391,390,101,false,705,289,27863,90001,991802
link-kv-n_200,90,139,20,20,10,true,76,10,4,5,0
