name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,packing_size,packing_millis,millis,recursive_steps
advotogo-n_100,26,31,2,2,2,true,26,0,0,55,0
advotogo-n_1000,624,1883,127,127,120,true,612,7,11,38,6
advotogo-n_1500,1110,4342,215,215,196,true,1072,19,3,20,11
advotogo-n_200,63,68,9,9,7,true,60,2,1,2,2
advotogo-n_2000,1556,6786,297,297,279,true,1526,17,9,30,18
advotogo-n_3000,2657,16140,548,548,495,true,2556,51,20,80,34
advotogo-n_4000,3775,29831,863,855,554,false,3090,282,55191,90002,107589
advotogo-n_50,0,0,0,0,0,true,0,0,0,2,0
advotogo-n_500,247,446,39,39,37,true,244,2,0,3,2
advotogo-n_5000,4962,43776,1160,1145,699,false,3953,420,41123,90001,63677
advotogo-n_5159,5155,47135,1208,1192,742,false,4141,430,43216,90001,57880
bitcoinalpha-n_100,5,7,2,2,2,true,5,0,0,1,0
bitcoinalpha-n_1000,545,1878,136,136,134,true,542,2,1,3,2
bitcoinalpha-n_1500,957,3890,261,261,259,true,954,2,0,4,2
bitcoinalpha-n_200,50,78,11,11,11,true,50,0,0,1,0
bitcoinalpha-n_2000,1450,6295,393,393,386,true,1438,5,1,9,9
bitcoinalpha-n_3000,2659,15429,658,658,646,true,2638,10,1,17,14
bitcoinalpha-n_3785,3783,24186,921,921,901,true,3744,19,2,20,13
bitcoinalpha-n_50,5,5,2,2,2,true,5,0,0,1,0
bitcoinalpha-n_500,202,465,54,54,51,true,197,2,1,3,3
blogs-n_100,67,170,8,8,8,true,67,0,0,2,0
blogs-n_1000,977,12749,196,196,66,true,646,119,2034,3585,3876
blogs-n_1227,1224,19022,262,262,87,true,778,155,24446,34286,29287
blogs-n_200,138,426,16,16,16,true,138,0,0,1,0
blogs-n_50,34,88,6,6,6,true,34,0,0,2,0
blogs-n_500,430,2918,76,76,49,true,378,24,4,14,111
chess-n_100,13,7,0,0,0,true,13,0,0,1,0
chess-n_1000,613,1295,62,62,27,true,523,31,14,25,217
chess-n_1500,1075,2561,127,127,45,false,859,72,63763,90001,283942
chess-n_200,58,47,2,2,2,true,58,0,0,1,0
chess-n_2000,1531,4343,204,189,61,false,1131,117,48999,90001,130498
chess-n_3000,2586,11156,-1,359,65,false,1616,275,46234,90002,39017
chess-n_4000,3620,17404,-1,541,82,false,2029,441,48837,90001,20256
chess-n_50,3,2,0,0,0,true,3,0,0,2,0
chess-n_500,241,319,17,17,17,true,241,0,0,4,0
chess-n_5000,4752,27339,-1,774,78,false,2327,673,49044,90007,9814
chess-n_6000,5854,40749,-1,994,81,false,2659,894,52205,90002,6380
chess-n_7000,6966,55133,-1,1238,91,false,2913,1126,56634,90013,3971
chess-n_7303,7301,60046,-1,1315,85,false,2958,1208,55974,90013,3526
ChicagoRegional-n_100,2,2,1,1,1,true,2,0,0,2,0
ChicagoRegional-n_1000,224,245,92,92,92,true,224,0,0,1,0
ChicagoRegional-n_10000,9579,23005,4193,4193,3551,true,8375,586,63,119,596
ChicagoRegional-n_1500,457,485,181,181,179,true,454,2,0,2,2
ChicagoRegional-n_200,13,12,5,5,5,true,13,0,0,0,0
