name,k_optimal,k_solved,millis,verified
biology-n_35-m_315-p_0.75-18,15,15,2388,true
biology-n_42-m_297-p_0.5-23,21,21,46910,true
biology-n_42-m_297-p_0.75-23,19,19,22115,true
biology-n_49-m_689-p_0.9-14,19,19,90969,true
biology-n_59-m_624-p_0.75-1,26,26,43460,true
blogs-n_200,25,25,8208,true
GD-n_80-m_232.mtx,20,5,180000,false
openflights-n_300,37,37,2,true
temporalGraph-n_700,26,26,3,true
ucsocial-n_200,24,24,1,true
usairport-n_200,29,29,4,true
synth-n_100-m_305-k_20-p_0.05.txt,10,10,19337,true
synth-n_100-m_319-k_15-p_0.05.txt,9,9,3186,true
synth-n_100-m_568-k_10-p_0.1.txt,10,10,4045,true
synth-n_120-m_1530-k_10-p_0.2.txt,10,10,2633,true
synth-n_120-m_455-k_15-p_0.05.txt,10,10,4367,true
synth-n_140-m_1070-k_10-p_0.1.txt,10,10,6166,true
synth-n_160-m_731-k_10-p_0.05.txt,10,10,13967,true
synth-n_180-m_3481-k_10-p_0.2.txt,10,10,10274,true
synth-n_180-m_902-k_10-p_0.05.txt,10,10,19440,true
synth-n_200-m_1075-k_10-p_0.05.txt,10,10,76248,true
synth-n_225-m_1390-k_10-p_0.05.txt,10,10,49622,true
synth-n_250-m_1694-k_10-p_0.05.txt,10,10,18407,true
synth-n_275-m_2051-k_10-p_0.05.txt,10,10,18192,true
synth-n_300-m_2418-k_10-p_0.05.txt,10,10,40408,true
synth-n_300-m_4844-k_10-p_0.1.txt,10,10,23353,true
synth-n_300-m_9436-k_10-p_0.2.txt,10,10,28217,true
synth-n_50-m_357-k_20-p_0.2.txt,20,20,138422,true
synth-n_60-m_243-k_25-p_0.1.txt,14,14,75018,true
synth-n_60-m_271-k_20-p_0.1.txt,15,0,180000,false
synth-n_60-m_468-k_15-p_0.2.txt,15,15,31651,true
synth-n_80-m_818-k_15-p_0.2.txt,15,15,48723,true
