name,k_optimal,k_solved,millis,verified
biology-n_35-m_315-p_0.75-18,15,15,413,true
biology-n_42-m_297-p_0.5-23,21,21,9656,true
biology-n_42-m_297-p_0.75-23,19,19,16817,true
biology-n_49-m_689-p_0.9-14,19,19,3961,true
biology-n_59-m_624-p_0.75-1,26,26,2844,true
blogs-n_200,25,25,7,true
GD-n_80-m_232.mtx,20,20,77,true
openflights-n_300,37,37,3,true
temporalGraph-n_700,26,26,5,true
ucsocial-n_200,24,24,1,true
usairport-n_200,29,29,2,true
synth-n_100-m_305-k_20-p_0.05.txt,10,10,579,true
synth-n_100-m_319-k_15-p_0.05.txt,9,9,10,true
synth-n_100-m_568-k_10-p_0.1.txt,10,10,33,true
synth-n_120-m_1530-k_10-p_0.2.txt,10,10,131,true
synth-n_120-m_455-k_15-p_0.05.txt,10,10,559,true
synth-n_140-m_1070-k_10-p_0.1.txt,10,10,90,true
synth-n_160-m_731-k_10-p_0.05.txt,10,10,156,true
synth-n_180-m_3481-k_10-p_0.2.txt,10,10,457,true
synth-n_180-m_902-k_10-p_0.05.txt,10,10,41,true
synth-n_200-m_1075-k_10-p_0.05.txt,10,10,396,true
synth-n_225-m_1390-k_10-p_0.05.txt,10,10,154,true
synth-n_250-m_1694-k_10-p_0.05.txt,10,10,264,true
synth-n_275-m_2051-k_10-p_0.05.txt,10,10,322,true
synth-n_300-m_2418-k_10-p_0.05.txt,10,10,534,true
synth-n_300-m_4844-k_10-p_0.1.txt,10,10,1620,true
synth-n_300-m_9436-k_10-p_0.2.txt,10,10,2439,true
synth-n_50-m_357-k_20-p_0.2.txt,20,20,36510,true
synth-n_60-m_243-k_25-p_0.1.txt,14,14,2735,true
synth-n_60-m_271-k_20-p_0.1.txt,15,15,37525,true
synth-n_60-m_468-k_15-p_0.2.txt,15,15,7217,true
synth-n_80-m_818-k_15-p_0.2.txt,15,15,1024,true
