name,n,m,min,optimal,max
synth-n_10-m_12-k_2-p_0.2.txt,10,12,0,0,6
synth-n_10-m_12-k_4-p_0.2.txt,10,12,0,1,6
synth-n_10-m_2-k_2-p_0.05.txt,4,2,0,0,1
synth-n_10-m_2-k_4-p_0.05.txt,3,2,0,0,1
synth-n_10-m_5-k_2-p_0.1.txt,7,5,0,0,2
synth-n_10-m_5-k_4-p_0.1.txt,6,5,0,0,2
synth-n_20-m_10-k_2-p_0.05.txt,13,10,0,0,5
synth-n_20-m_11-k_6-p_0.05.txt,16,11,0,0,5
synth-n_20-m_18-k_4-p_0.05.txt,16,18,0,1,9
synth-n_20-m_20-k_4-p_0.1.txt,16,20,0,0,10
synth-n_20-m_25-k_2-p_0.1.txt,19,25,0,1,12
synth-n_20-m_25-k_8-p_0.1.txt,19,25,0,2,12
synth-n_20-m_38-k_6-p_0.1.txt,19,38,0,2,17
synth-n_20-m_48-k_2-p_0.2.txt,20,48,0,2,18
synth-n_20-m_54-k_8-p_0.2.txt,20,54,0,3,18
synth-n_20-m_58-k_4-p_0.2.txt,19,58,0,4,17
synth-n_20-m_59-k_6-p_0.2.txt,20,59,0,3,18
synth-n_20-m_9-k_8-p_0.05.txt,11,9,0,0,4
synth-n_30-m_111-k_8-p_0.2.txt,30,111,0,7,28
synth-n_30-m_114-k_6-p_0.2.txt,30,114,0,5,28
synth-n_30-m_117-k_10-p_0.2.txt,30,117,0,7,28
synth-n_30-m_25-k_2-p_0.05.txt,26,25,0,0,12
synth-n_30-m_28-k_4-p_0.05.txt,25,28,0,2,14
synth-n_30-m_28-k_6-p_0.05.txt,26,28,0,1,14
synth-n_30-m_28-k_8-p_0.05.txt,25,28,0,1,14
synth-n_30-m_35-k_10-p_0.05.txt,26,35,0,0,17
synth-n_30-m_55-k_4-p_0.1.txt,29,55,0,2,27
synth-n_30-m_58-k_6-p_0.1.txt,30,58,0,2,28
synth-n_30-m_60-k_2-p_0.1.txt,30,60,0,1,28
synth-n_30-m_64-k_8-p_0.1.txt,30,64,0,3,28
synth-n_30-m_73-k_10-p_0.1.txt,30,73,0,4,28
synth-n_30-m_97-k_2-p_0.2.txt,30,97,0,2,28
synth-n_30-m_99-k_4-p_0.2.txt,29,99,0,3,27
synth-n_40-m_112-k_8-p_0.1.txt,40,112,0,6,38
synth-n_40-m_114-k_10-p_0.1.txt,40,114,0,6,38
synth-n_40-m_114-k_15-p_0.1.txt,40,114,0,6,38
synth-n_40-m_176-k_2-p_0.2.txt,40,176,0,2,38
synth-n_40-m_185-k_4-p_0.2.txt,40,185,0,4,38
synth-n_40-m_192-k_10-p_0.2.txt,40,192,0,10,38
synth-n_40-m_192-k_15-p_0.2.txt,40,192,0,13,38
synth-n_40-m_194-k_6-p_0.2.txt,40,194,0,5,38
synth-n_40-m_203-k_8-p_0.2.txt,40,203,0,7,38
synth-n_40-m_36-k_2-p_0.05.txt,37,36,0,0,18
synth-n_40-m_47-k_6-p_0.05.txt,35,47,0,0,23
synth-n_40-m_50-k_4-p_0.05.txt,34,50,0,1,25
synth-n_40-m_58-k_15-p_0.05.txt,39,58,0,1,29
synth-n_40-m_61-k_8-p_0.05.txt,38,61,0,1,30
synth-n_40-m_62-k_10-p_0.05.txt,38,62,0,3,31
synth-n_40-m_88-k_4-p_0.1.txt,39,88,0,3,37
synth-n_40-m_92-k_2-p_0.1.txt,39,92,0,2,37
synth-n_40-m_95-k_6-p_0.1.txt,38,95,0,4,36
synth-n_50-m_139-k_2-p_0.1.txt,50,139,0,2,48
synth-n_50-m_139-k_4-p_0.1.txt,50,139,0,2,48
synth-n_50-m_154-k_8-p_0.1.txt,50,154,0,6,48
synth-n_50-m_159-k_10-p_0.1.txt,50,159,0,8,48
synth-n_50-m_169-k_6-p_0.1.txt,50,169,0,6,48
synth-n_50-m_192-k_20-p_0.1.txt,50,192,0,11,48
synth-n_50-m_195-k_15-p_0.1.txt,50,195,0,8,48
synth-n_50-m_275-k_2-p_0.2.txt,50,275,0,2,48
synth-n_50-m_278-k_4-p_0.2.txt,50,278,0,4,48
synth-n_50-m_302-k_6-p_0.2.txt,50,302,0,6,48
synth-n_50-m_320-k_15-p_0.2.txt,50,320,0,14,48
synth-n_50-m_327-k_10-p_0.2.txt,50,327,0,10,48
synth-n_50-m_334-k_8-p_0.2.txt,50,334,0,8,48
synth-n_50-m_357-k_20-p_0.2.txt,50,357,0,20,48
synth-n_50-m_66-k_2-p_0.05.txt,43,66,0,1,33
synth-n_50-m_70-k_4-p_0.05.txt,46,70,0,0,35
synth-n_50-m_71-k_8-p_0.05.txt,48,71,0,2,35
synth-n_50-m_81-k_10-p_0.05.txt,49,81,0,3,40
synth-n_50-m_90-k_20-p_0.05.txt,49,90,0,2,45
synth-n_50-m_91-k_6-p_0.05.txt,48,91,0,1,45
synth-n_50-m_97-k_15-p_0.05.txt,50,97,0,4,48
biology-n_12-m_33-p_0.5-15,12,33,0,3,10
biology-n_12-m_33-p_0.75-15,12,33,0,3,10
biology-n_12-m_33-p_0.9-15,12,33,0,3,10
biology-n_12-m_43-p_0.5-25,12,43,0,4,10
biology-n_12-m_43-p_0.75-25,12,43,0,3,10
biology-n_12-m_43-p_0.9-25,12,43,0,1,10
biology-n_12-m_45-p_0.5-19,12,45,0,3,10
biology-n_12-m_45-p_0.75-19,12,45,0,3,10
biology-n_12-m_45-p_0.9-19,12,45,0,1,10
biology-n_13-m_39-p_0.5-4,13,39,0,2,11
biology-n_13-m_39-p_0.75-4,13,39,0,3,11
biology-n_13-m_39-p_0.9-4,13,39,0,4,11
biology-n_13-m_51-p_0.5-22,13,51,0,4,11
biology-n_13-m_51-p_0.75-22,13,51,0,3,11
biology-n_13-m_51-p_0.9-22,13,51,0,3,11
biology-n_16-m_79-p_0.5-3,16,79,0,6,14
biology-n_16-m_79-p_0.75-3,16,79,0,6,14
biology-n_16-m_79-p_0.9-3,16,79,0,4,14
biology-n_17-m_89-p_0.5-10,17,89,0,6,15
biology-n_17-m_89-p_0.75-10,17,89,0,6,15
biology-n_17-m_89-p_0.9-10,17,89,0,4,15
biology-n_19-m_99-p_0.5-20,19,99,0,7,17
biology-n_19-m_99-p_0.75-20,19,99,0,6,17
biology-n_19-m_99-p_0.9-20,19,99,0,3,17
biology-n_20-m_125-p_0.5-24,20,125,0,8,18
biology-n_20-m_125-p_0.5-7,20,125,0,9,18
biology-n_20-m_125-p_0.75-24,20,125,0,9,18
biology-n_20-m_125-p_0.75-7,20,125,0,5,18
biology-n_20-m_125-p_0.9-24,20,125,0,3,18
biology-n_20-m_125-p_0.9-7,20,125,0,4,18
biology-n_22-m_76-p_0.5-9,22,76,0,4,20
biology-n_22-m_76-p_0.75-9,22,76,0,4,20
biology-n_22-m_76-p_0.9-9,22,76,0,3,20
biology-n_23-m_166-p_0.5-17,23,166,0,12,21
biology-n_23-m_166-p_0.75-17,23,166,0,10,21
biology-n_23-m_166-p_0.9-17,23,166,0,6,21
biology-n_25-m_231-p_0.5-6,25,231,0,13,23
biology-n_25-m_231-p_0.75-6,25,231,0,13,23
biology-n_25-m_231-p_0.9-6,25,231,0,8,23
biology-n_28-m_163-p_0.5-11,28,163,0,10,26
biology-n_28-m_163-p_0.75-11,28,163,0,8,26
biology-n_28-m_163-p_0.9-11,28,163,0,5,26
biology-n_28-m_249-p_0.5-8,28,249,0,15,26
biology-n_28-m_249-p_0.75-8,28,249,0,13,26
biology-n_28-m_249-p_0.9-8,28,249,0,6,26
biology-n_29-m_153-p_0.5-21,29,153,0,11,27
biology-n_29-m_153-p_0.75-21,29,153,0,11,27
biology-n_29-m_153-p_0.9-21,29,153,0,5,27
biology-n_30-m_287-p_0.5-5,30,287,0,15,28
biology-n_30-m_287-p_0.75-5,30,287,0,12,28
biology-n_30-m_287-p_0.9-5,30,287,0,10,28
biology-n_35-m_315-p_0.5-18,35,315,0,17,33
biology-n_35-m_315-p_0.75-18,35,315,0,15,33
biology-n_35-m_315-p_0.9-18,35,315,0,10,33
biology-n_36-m_219-p_0.5-12,36,219,0,17,34
biology-n_36-m_219-p_0.75-12,36,219,0,14,34
biology-n_36-m_219-p_0.9-12,36,219,0,9,34
biology-n_42-m_297-p_0.5-23,42,297,0,21,40
biology-n_42-m_297-p_0.75-23,42,297,0,19,40
biology-n_42-m_297-p_0.9-23,42,297,0,13,40
biology-n_45-m_326-p_0.5-16,45,326,0,21,43
biology-n_45-m_326-p_0.75-16,45,326,0,18,43
biology-n_45-m_326-p_0.9-16,45,326,0,14,43
biology-n_49-m_689-p_0.5-14,49,689,0,29,47
biology-n_49-m_689-p_0.75-14,49,689,0,26,47
biology-n_49-m_689-p_0.9-14,49,689,0,19,47
biology-n_56-m_526-p_0.5-2,56,526,0,29,54
biology-n_56-m_526-p_0.75-2,56,526,0,24,54
biology-n_56-m_526-p_0.9-2,56,526,0,17,54
biology-n_6-m_7-p_0.5-13,6,7,0,0,3
biology-n_6-m_7-p_0.75-13,6,7,0,0,3
biology-n_6-m_7-p_0.9-13,6,7,0,0,3
biology-n_9-m_23-p_0.5-1,9,23,0,2,7
biology-n_9-m_23-p_0.75-1,9,23,0,2,7
biology-n_9-m_23-p_0.9-1,9,23,0,1,7
GD-n_101-m_190.mtx,101,190,0,0,95
GD-n_105-m_149.mtx,105,149,0,20,74
GD-n_111-m_193.mtx,111,193,0,0,96
GD-n_112-m_168.mtx,112,168,0,0,84
GD-n_121-m_207.mtx,121,207,0,43,103
GD-n_18-m_37.mtx,18,37,0,8,16
GD-n_180-m_229.mtx,180,229,0,2,114
GD-n_23-m_87.mtx,23,87,0,9,21
GD-n_36-m_57.mtx,36,57,0,5,28
GD-n_38-m_50.mtx,38,50,0,2,25
GD-n_47-m_132.mtx,46,132,0,0,44
GD-n_62-m_287.mtx,62,287,0,38,60
GD-n_65-m_125.mtx,65,125,0,0,62
GD-n_73-m_96.mtx,70,96,0,2,48
GD-n_80-m_232.mtx,80,232,0,20,78
GD-n_84-m_196.mtx,84,166,0,0,82
maayan_foodweb-n_183-m_2476,183,2476,0,11,181
moreno_bison-n_26-m_314,26,314,0,16,24
moreno_cattle-n_28-m_217,28,217,0,8,26
moreno_hens-n_32-m_496,32,496,0,11,30
moreno_innovation-n_241-m_1098,241,1098,0,79,239
moreno_mac-n_62-m_1187,62,1187,0,14,60
moreno_rhesus-m_16-m_111,16,111,0,10,14
moreno_sheep-n_28-m_250,28,250,0,8,26
polbooks-n_105-m_441.mtx,105,441,0,0,103
Tina_AskCal-n_11-m_29.mtx,11,29,0,3,9
