name,millis,n,reduce_n,m,reduce_m,reduce_k,packing_size,heuristic_size
e_001,0,475,0,651,0,2,0,0
e_003,0,1024,917,6055,5340,48,0,0
e_005,0,1024,862,5736,4642,66,0,0
e_007,0,912,121,4198,430,211,0,0
e_009,0,1000,380,6804,1562,224,0,0
e_011,0,4086,1644,15076,4816,1016,0,0
e_013,0,1924,444,7038,1951,310,0,0
e_015,0,1979,762,9390,3480,350,0,0
e_017,0,886,188,3800,662,259,0,0
e_019,0,2034,1551,11718,8053,176,0,0
e_021,0,1872,388,6147,1458,300,0,0
e_023,0,1600,135,5400,390,375,0,0
e_025,0,860,99,2802,256,213,0,0
e_027,0,1899,246,9406,800,429,0,0
e_029,0,1938,381,11302,1270,495,0,0
e_031,0,4053,2556,26071,14042,559,0,0
e_033,0,850,153,2010,414,185,0,0
e_035,0,4095,3027,17074,10708,473,0,0
e_037,0,4094,3779,28675,24827,135,0,0
e_039,0,928,353,2570,1113,181,0,0
e_041,0,4093,3513,27082,21483,232,0,0
e_043,0,1623,148,5700,452,437,0,0
e_045,0,4093,3958,30202,28119,59,0,0
e_047,0,4092,3767,28612,24528,140,0,0
e_049,0,4057,2648,23857,14150,481,0,0
e_051,0,3855,2264,12946,8578,749,0,0
e_053,0,4080,3648,26872,23217,173,0,0
e_055,0,3844,1823,12085,6510,879,0,0
e_057,0,3847,1908,12298,6937,833,0,0
e_059,0,722,91,1124,234,161,0,0
e_061,0,1724,234,4320,650,413,0,0
e_063,0,4062,2973,23766,16329,416,0,0
e_065,0,8089,4041,48759,20563,1374,0,0
e_067,0,1392,133,4241,330,432,0,0
e_069,0,4053,2615,22368,13663,513,0,0
e_071,0,1789,368,4896,1058,453,0,0
e_073,0,8132,5761,51796,33837,848,0,0
e_075,0,8189,4434,31504,13942,1598,0,0
e_077,0,8168,7313,54744,48116,347,0,0
e_079,0,8153,6783,52154,41328,553,0,0
e_081,0,8142,6715,51030,40449,572,0,0
e_083,0,1712,462,3537,1332,456,0,0
e_085,0,8189,8131,69446,69192,29,0,0
e_087,0,8190,8128,69372,69092,31,0,0
e_089,0,8168,7023,55556,43016,421,0,0
e_091,0,1726,402,3364,1102,506,0,0
e_093,0,16333,14881,109487,96840,605,0,0
e_095,0,8174,7425,59029,48533,289,0,0
e_097,0,16314,13508,103725,82043,1117,0,0
e_099,0,8061,6222,38175,30025,759,0,0
