name,millis,n,reduce_n,m,reduce_m,reduce_k,packing_size,heuristic_size
e_001,0,475,0,651,0,2,0,0
e_003,0,1024,199,6055,588,567,0,0
e_005,0,1024,168,5736,508,539,0,0
e_007,0,912,4,4198,8,274,0,0
e_009,0,1000,0,6804,0,450,0,0
e_011,0,4086,223,15076,524,1804,0,0
e_013,0,1924,325,7038,1471,379,0,0
e_015,0,1979,230,9390,883,667,0,0
e_017,0,886,0,3800,0,364,0,0
e_019,0,2034,253,11718,704,1004,0,0
e_021,0,1872,198,6147,673,406,0,0
e_023,0,1600,4,5400,8,450,0,0
e_025,0,860,0,2802,0,273,0,0
e_027,0,1899,0,9406,0,575,0,0
e_029,0,1938,16,11302,32,707,0,0
e_031,0,4053,340,26071,950,1903,0,0
e_033,0,850,28,2010,66,263,0,0
e_035,0,4095,585,17074,1572,1869,0,0
e_037,0,4094,1571,28675,6660,1749,0,0
e_039,0,928,25,2570,50,387,0,0
e_041,0,4093,1633,27082,7486,1541,0,0
e_043,0,1623,4,5700,8,519,0,0
e_045,0,4093,1510,30202,6321,1942,0,0
e_047,0,4092,1654,28612,7247,1692,0,0
e_049,0,4057,1249,23857,5470,1347,0,0
e_051,0,3855,389,12946,1046,1888,0,0
e_053,0,4080,228,26872,490,2512,0,0
e_055,0,3844,257,12085,644,1817,0,0
e_057,0,3847,293,12298,746,1802,0,0
e_059,0,722,8,1124,16,210,0,0
e_061,0,1724,18,4320,38,545,0,0
e_063,0,4062,579,23766,1728,1961,0,0
e_065,0,8089,810,48759,3161,3273,0,0
e_067,0,1392,0,4241,0,513,0,0
e_069,0,4053,595,22368,2012,1772,0,0
e_071,0,1789,24,4896,48,663,0,0
e_073,0,8132,1928,51796,7784,3339,0,0
e_075,0,8189,632,31504,1553,3738,0,0
e_077,0,8168,498,54744,1159,5039,0,0
e_079,0,8153,798,52154,2152,4491,0,0
e_081,0,8142,807,51030,2154,4470,0,0
e_083,0,1712,20,3537,40,735,0,0
e_085,0,8189,2530,69446,9826,4734,0,0
e_087,0,8190,2379,69372,9524,4806,0,0
e_089,0,8168,4782,55556,26221,1991,0,0
e_091,0,1726,13,3364,26,748,0,0
e_093,0,16333,841,109487,1927,10189,0,0
e_095,0,8174,4388,59029,23372,2472,0,0
e_097,0,16314,1627,103725,4511,8940,0,0
e_099,0,8061,281,38175,607,4613,0,0
