name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,packing_size,packing_millis,millis,recursive_steps
e_001,475,651,-1,2,2,true,475,0,0,53,0
e_003,1024,6055,-1,680,47,false,105,623,56970,90001,381474
e_005,1024,5736,-1,633,60,false,149,564,58622,90001,308058
e_007,912,4198,-1,276,203,true,775,73,3,23,0
e_009,1000,6804,-1,450,224,true,620,226,12,42,0
e_011,4086,15076,-1,1916,741,false,1873,1148,81016,90001,100750
e_013,1924,7038,-1,547,282,true,1411,254,30,306,46
e_015,1979,9390,-1,788,287,true,1078,493,18,245,37
e_017,886,3800,-1,364,259,true,698,105,4,21,0
e_019,2034,11718,-1,1137,125,true,374,1001,29,286,424
e_021,1872,6147,-1,510,259,true,1395,234,13,398,43
e_023,1600,5400,-1,452,371,true,1457,81,4,20,0
e_025,860,2802,-1,273,213,true,761,60,3,19,0
e_027,1899,9406,-1,575,429,true,1653,146,6,26,0
e_029,1938,11302,-1,715,492,true,1551,223,12,40,0
e_031,4053,26071,-1,2079,427,true,1219,1633,1592,2466,18301
e_033,850,2010,-1,277,185,true,697,91,2,87,1
e_035,4095,17074,-1,2185,317,false,748,1818,63545,90001,59810
e_037,4094,28675,-1,2694,89,false,221,2531,42527,90001,48733
e_039,928,2570,-1,400,177,true,567,222,9,76,5
e_041,4093,27082,-1,2532,156,false,418,2301,60630,90001,65218
e_043,1623,5700,-1,521,437,true,1475,84,4,20,0
e_045,4093,30202,-1,2869,52,false,121,2742,43190,90001,57751
e_047,4092,28612,-1,2687,110,false,265,2502,37171,90001,47130
e_049,4057,23857,-1,2043,348,true,1106,1652,82,685,1134
e_051,3855,12946,-1,2090,749,false,1591,1319,56363,90001,236644
e_053,4080,26872,-1,2627,161,false,407,2457,70424,90001,1551541
e_055,3844,12085,-1,1564,877,false,2017,681,44635,90001,428283
e_057,3847,12298,-1,1956,827,false,1926,1110,65952,90001,377451
e_059,722,1124,-1,214,155,true,618,59,4,17,0
e_061,1724,4320,-1,554,394,true,1451,158,10,68,2
e_063,4062,23766,-1,2267,312,true,875,1928,57,465,812
e_065,8089,48759,-1,3709,1060,true,3382,2613,1508,2422,19112
e_067,1392,4241,-1,513,432,true,1259,81,6,24,0
e_069,4053,22368,-1,2092,416,true,1234,1652,39,394,442
e_071,1789,4896,-1,675,438,true,1391,236,20,55,1
e_073,8132,51796,-1,4420,662,true,1975,3682,7733,16464,113667
e_075,8189,31504,-1,4076,1128,false,2787,2870,75023,90003,35652
e_077,8168,54744,-1,5112,305,false,768,4788,46554,90001,1196905
e_079,8153,52154,-1,4664,438,false,1135,4188,56343,90001,687154
e_081,8142,51030,-1,4887,456,true,1184,4402,17448,33943,199865
e_083,1712,3537,-1,745,454,true,1246,291,17,50,0
e_085,8189,69446,-1,6314,29,false,58,6109,24021,90002,23194
e_087,8190,69372,-1,6312,31,false,62,6114,21367,90001,21410
e_089,8168,55556,-1,4950,250,false,784,4514,50069,90003,20089
e_091,1726,3364,-1,755,504,true,1320,250,17,62,1
e_093,16333,109487,-1,9521,552,false,1345,8932,71847,90001,2231025
e_095,8174,59029,-1,5221,175,false,510,4871,42684,90001,19637
e_097,16314,103725,-1,9414,920,false,2395,8438,71864,90001,1721873
e_099,8061,38175,-1,4752,731,true,1779,4016,74,284,50
e_101,32724,246723,-1,17060,755,false,1788,16237,62183,90001,1814943
e_103,16384,77536,-1,10180,58,false,116,9810,16288,91745,1951
e_105,2048,10584,-1,52,3,false,1304,41,78999,90011,25700
e_107,16316,104833,-1,8903,741,false,2598,7794,13807,100630,2295
