name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis,packing_millis
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,-1,50,0,false,13,0,92,1644,1332
synth-n_1300-m_46137-k_70-p_0.05.txt,1300,46137,-1,70,0,false,10,0,65,3096,1355
synth-n_1300-m_47847-k_100-p_0.05.txt,1300,47847,-1,100,0,false,2,0,130,13301,5098
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,-1,120,0,false,0,0,151,36112,14381
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,-1,150,0,false,0,0,848,71759,31923
synth-n_1300-m_178841-k_50-p_0.2.txt,1300,178841,-1,50,0,false,0,0,48,16399,4111
synth-n_1300-m_99879-k_150-p_0.1.txt,1300,99879,-1,150,0,false,0,0,171,39170,13502
synth-n_150-m_1561-k_70-p_0.1.txt,150,1561,-1,55,0,false,1,0,185036,180000,137215
synth-n_200-m_1336-k_50-p_0.05.txt,200,1336,-1,45,0,false,15,0,112310,131401,86745
synth-n_1300-m_104213-k_200-p_0.1.txt,1300,104213,-1,200,0,false,0,0,363,180072,109616
synth-n_1300-m_95352-k_100-p_0.1.txt,1300,95352,-1,100,0,false,0,0,93,16846,3787
synth-n_1600-m_273042-k_70-p_0.2.txt,1600,273042,-1,70,0,false,0,0,68,44436,10092
synth-n_2000-m_422023-k_70-p_0.2.txt,2000,422023,-1,70,0,false,0,0,67,79331,18639
synth-n_2600-m_716555-k_100-p_0.2.txt,2600,716555,-1,100,0,false,0,0,63,180961,39439
synth-n_3000-m_240581-k_120-p_0.05.txt,3000,240581,-1,120,0,false,0,0,131,104743,33511
usairport-n_1577,1574,28236,-1,455,243,false,1189,0,1861,1031,277
blogs-n_1227,1224,19022,-1,262,87,false,778,0,1446,2494,1023
chess-n_1500,1075,2561,-1,127,45,false,859,0,31097,9289,6179
