name,n,m,k_optimal,k_solved,millis,verified,recursive_steps,k_start,pre_deleted_nodes,flower_deleted_nodes
synth-n_100-m_1235-k_20-p_0.2.txt,100,1235,20,20,11320,true,207472,0,1,0
synth-n_100-m_1231-k_25-p_0.2.txt,100,1231,25,25,63282,true,1272019,0,3,0
synth-n_100-m_346-k_30-p_0.05.txt,100,346,17,17,59680,true,1278410,0,38,0
synth-n_120-m_1775-k_20-p_0.2.txt,120,1775,20,20,4883,true,57306,0,1,3
synth-n_120-m_871-k_15-p_0.1.txt,120,871,15,15,6737,true,84481,0,18,0
synth-n_140-m_1184-k_15-p_0.1.txt,140,1184,15,15,1771,true,11893,1,20,2
synth-n_140-m_2379-k_25-p_0.2.txt,140,2379,25,25,26273,true,305683,0,1,3
synth-n_180-m_1968-k_20-p_0.1.txt,180,1968,20,20,30233,true,172396,0,4,3
synth-n_250-m_3475-k_20-p_0.1.txt,250,3475,20,20,4621,true,11472,0,16,6
synth-n_200-m_2270-k_20-p_0.1.txt,200,2270,20,20,44008,true,237024,0,10,1
synth-n_225-m_2884-k_20-p_0.1.txt,225,2884,20,20,43058,true,176133,0,13,3
synth-n_250-m_7252-k_30-p_0.2.txt,250,7252,30,30,7812,true,7694,0,1,18
synth-n_275-m_2130-k_20-p_0.05.txt,275,2130,20,20,37468,true,155828,0,48,2
synth-n_300-m_9999-k_25-p_0.2.txt,300,9999,25,25,4720,true,1,0,1,25
biology-n_42-m_297-p_0.5-23,42,297,21,21,7560,true,780254,1,4,0
biology-n_56-m_1372-p_0.5-4,56,1372,42,42,21297,true,1462207,0,2,0
biology-n_77-m_1411-p_0.75-5,77,1411,42,42,15573,true,898353,0,12,0
biology-n_81-m_1292-p_0.9-3,81,1292,32,32,21184,true,911929,0,19,0
GD-n_62-m_287.mtx,62,287,38,38,7953,true,2026379,10,18,0
usairport-n_700,592,6301,154,154,26261,true,1224204,107,502,2
usairport-n_800,669,7122,191,191,47081,true,8123806,132,566,0
