name,n,m,k_optimal,k_solved,millis,verified,recursive_steps,k_start,pre_deleted_nodes,flower_deleted_nodes
synth-n_100-m_1220-k_15-p_0.2.txt,100,1220,15,15,993,true,1703,0,3,4
synth-n_100-m_1235-k_20-p_0.2.txt,100,1235,20,20,36844,true,80346,0,1,0
synth-n_100-m_1231-k_25-p_0.2.txt,100,1231,25,0,180000,false,430825,0,3,0
synth-n_100-m_346-k_30-p_0.05.txt,100,346,17,17,171132,true,1721940,0,38,0
synth-n_120-m_1775-k_20-p_0.2.txt,120,1775,20,20,10902,true,14803,0,1,3
synth-n_120-m_871-k_15-p_0.1.txt,120,871,15,15,9974,true,26150,0,18,0
synth-n_140-m_1184-k_15-p_0.1.txt,140,1184,15,15,4263,true,7574,1,20,2
synth-n_140-m_2379-k_25-p_0.2.txt,140,2379,25,25,76703,true,78411,0,1,3
synth-n_180-m_1968-k_20-p_0.1.txt,180,1968,20,20,139930,true,108031,0,4,3
synth-n_250-m_3475-k_20-p_0.1.txt,250,3475,20,20,8786,true,2631,0,16,6
synth-n_200-m_2270-k_20-p_0.1.txt,200,2270,20,20,84397,true,53436,0,10,1
synth-n_225-m_2884-k_20-p_0.1.txt,225,2884,20,20,18106,true,8306,0,13,3
synth-n_250-m_7252-k_30-p_0.2.txt,250,7252,30,30,8970,true,1489,0,1,18
synth-n_275-m_2130-k_20-p_0.05.txt,275,2130,20,0,180000,false,97139,0,48,0
synth-n_300-m_9999-k_25-p_0.2.txt,300,9999,25,25,4772,true,1,0,1,25
biology-n_42-m_297-p_0.5-23,42,297,21,21,12413,true,336165,1,4,0
biology-n_56-m_1372-p_0.5-4,56,1372,42,42,59208,true,718614,0,2,0
biology-n_77-m_1411-p_0.75-5,77,1411,42,42,61741,true,599566,0,12,0
biology-n_81-m_1292-p_0.9-3,81,1292,32,32,81223,true,723232,0,19,0
GD-n_62-m_287.mtx,62,287,38,38,7669,true,445970,10,18,0
usairport-n_700,592,6301,154,154,13290,true,165533,107,502,2
usairport-n_800,669,7122,191,191,111181,true,3340066,132,566,0
