name,n,m,k_optimal,k_solved,millis,verified,recursive_steps,k_start,pre_deleted_nodes,flower_deleted_nodes
synth-n_100-m_1220-k_15-p_0.2.txt,100,1220,15,15,409,true,597,0,3,4
synth-n_100-m_1235-k_20-p_0.2.txt,100,1235,20,20,4395,true,27389,0,1,0
synth-n_100-m_1231-k_25-p_0.2.txt,100,1231,25,25,25031,true,186791,0,3,0
synth-n_100-m_346-k_30-p_0.05.txt,100,346,17,17,13985,true,574238,0,38,0
synth-n_120-m_1775-k_20-p_0.2.txt,120,1775,20,20,1341,true,4742,0,1,3
synth-n_120-m_871-k_15-p_0.1.txt,120,871,15,15,1569,true,13947,0,18,0
synth-n_140-m_1184-k_15-p_0.1.txt,140,1184,15,15,282,true,1072,1,20,2
synth-n_140-m_2379-k_25-p_0.2.txt,140,2379,25,25,8450,true,23033,0,1,3
synth-n_180-m_1968-k_20-p_0.1.txt,180,1968,20,20,3502,true,7962,0,4,3
synth-n_250-m_3475-k_20-p_0.1.txt,250,3475,20,20,1906,true,961,0,16,6
synth-n_200-m_2270-k_20-p_0.1.txt,200,2270,20,20,8609,true,16999,0,10,1
synth-n_225-m_2884-k_20-p_0.1.txt,225,2884,20,20,2751,true,3106,0,13,3
synth-n_250-m_7252-k_30-p_0.2.txt,250,7252,30,30,4065,true,698,0,1,18
synth-n_275-m_2130-k_20-p_0.05.txt,275,2130,20,20,15387,true,30139,0,48,2
synth-n_300-m_9999-k_25-p_0.2.txt,300,9999,25,25,4932,true,1,0,1,25
biology-n_42-m_297-p_0.5-23,42,297,21,21,1704,true,126187,1,4,0
biology-n_56-m_1372-p_0.5-4,56,1372,42,42,19959,true,740147,0,2,0
biology-n_77-m_1411-p_0.75-5,77,1411,42,42,16983,true,579677,0,12,0
biology-n_81-m_1292-p_0.9-3,81,1292,32,32,12179,true,380013,0,19,0
GD-n_62-m_287.mtx,62,287,38,38,1084,true,135281,10,18,0
usairport-n_700,592,6301,154,154,559,true,23079,107,502,2
usairport-n_800,669,7122,191,191,17499,true,2054453,132,566,0
