name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis,packing_millis
synth-n_150-m_1423-k_30-p_0.1.txt,150,1423,-1,30,0,false,8,0,797,631,328
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,-1,50,0,false,13,0,41,420,333
synth-n_1300-m_46137-k_70-p_0.05.txt,1300,46137,-1,70,0,false,10,0,57,942,785
synth-n_1300-m_47847-k_100-p_0.05.txt,1300,47847,-1,100,0,false,2,0,309,6743,5373
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,-1,120,0,false,0,0,143,5095,3585
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,-1,149,0,false,0,0,16182,180185,112904
synth-n_1300-m_178841-k_50-p_0.2.txt,1300,178841,-1,50,0,false,0,0,48,3330,2900
synth-n_1300-m_99879-k_150-p_0.1.txt,1300,99879,-1,150,0,false,0,0,465,20120,14700
synth-n_150-m_1561-k_70-p_0.1.txt,150,1561,-1,48,0,false,1,0,616097,180000,64132
synth-n_200-m_1336-k_50-p_0.05.txt,200,1336,-1,41,0,false,15,0,433970,180002,98209
synth-n_1300-m_104213-k_200-p_0.1.txt,1300,104213,-1,200,0,false,0,0,4021,182432,91479
synth-n_1300-m_95352-k_100-p_0.1.txt,1300,95352,-1,100,0,false,0,0,169,7108,5403
synth-n_1600-m_273042-k_70-p_0.2.txt,1600,273042,-1,70,0,false,0,0,67,9138,7754
synth-n_2000-m_422023-k_70-p_0.2.txt,2000,422023,-1,70,0,false,0,0,66,13931,12908
synth-n_2600-m_716555-k_100-p_0.2.txt,2600,716555,-1,100,0,false,0,0,98,40584,37554
