name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis,packing_millis
synth-n_150-m_1423-k_30-p_0.1.txt,150,1423,-1,30,0,false,8,0,297,429,112
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,-1,50,0,false,13,0,44,284,188
synth-n_1300-m_46137-k_70-p_0.05.txt,1300,46137,-1,70,0,false,10,0,65,2044,321
synth-n_1300-m_47847-k_100-p_0.05.txt,1300,47847,-1,100,0,false,2,0,120,8835,1300
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,-1,120,0,false,0,0,128,18905,1497
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,-1,150,0,false,0,0,566,24520,2570
synth-n_1300-m_178841-k_50-p_0.2.txt,1300,178841,-1,50,0,false,0,0,48,13413,1434
synth-n_1300-m_99879-k_150-p_0.1.txt,1300,99879,-1,150,0,false,0,0,265,49201,6183
synth-n_150-m_1561-k_70-p_0.1.txt,150,1561,-1,52,0,false,1,0,675195,180001,39411
synth-n_200-m_1336-k_50-p_0.05.txt,200,1336,-1,44,0,false,15,0,375685,180000,46626
