name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis
synth-n_100-m_670-k_30-p_0.1.txt,100,670,29,29,0,true,7,0,6992,2420
synth-n_140-m_632-k_30-p_0.05.txt,140,632,26,26,1,true,36,0,4330,631
synth-n_180-m_4031-k_30-p_0.2.txt,180,4031,30,30,0,true,0,2,81,1615
synth-n_200-m_2488-k_30-p_0.1.txt,200,2488,30,30,0,true,7,0,133,1388
synth-n_200-m_4765-k_30-p_0.2.txt,200,4765,30,30,0,true,0,7,30,1853
synth-n_250-m_3612-k_25-p_0.1.txt,250,3612,25,25,0,true,5,2,94,2761
synth-n_250-m_3681-k_30-p_0.1.txt,250,3681,30,30,0,true,8,0,60,2565
synth-n_275-m_2220-k_30-p_0.05.txt,275,2220,30,30,0,true,30,0,96,2175
synth-n_275-m_4371-k_30-p_0.1.txt,275,4371,30,30,0,true,5,0,43,3608
synth-n_275-m_8453-k_25-p_0.2.txt,275,8453,25,25,0,true,0,24,2,5109
synth-n_300-m_5197-k_30-p_0.1.txt,300,5197,30,30,0,true,7,1,44,4766
synth-n_300-m_9999-k_25-p_0.2.txt,300,9999,25,25,0,true,1,25,1,6856
synth-n_80-m_483-k_30-p_0.1.txt,80,483,25,25,0,true,3,0,9754,1604
biology-n_56-m_1372-p_0.5-4,56,1372,42,42,0,true,2,0,22367,13507
biology-n_56-m_1372-p_0.75-4,56,1372,38,38,0,true,2,0,28455,8430
biology-n_77-m_1411-p_0.5-5,77,1411,47,47,0,true,11,0,21449,11469
biology-n_81-m_1292-p_0.75-3,81,1292,44,44,2,true,13,2,19256,4856
blogs-n_1000,978,13257,198,198,87,true,710,0,1939,12482
email,167,5783,93,93,1,true,44,4,503,25940
usairport-n_1000,884,10343,251,251,156,true,717,1,706,689
