name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis,packing_millis
synth-n_150-m_1423-k_30-p_0.1.txt,150,1423,-1,30,0,false,8,0,297,421,109
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,-1,50,0,false,13,0,44,281,183
synth-n_1300-m_46137-k_70-p_0.05.txt,1300,46137,-1,70,0,false,10,0,65,2017,299
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,-1,200,0,false,0,0,412,74123,12866
synth-n_1000-m_29037-k_100-p_0.05.txt,1000,29037,-1,100,0,false,5,0,362,13852,2873
synth-n_1000-m_30042-k_120-p_0.05.txt,1000,30042,-1,120,0,false,0,0,202,8899,938
synth-n_1300-m_47847-k_100-p_0.05.txt,1300,47847,-1,100,0,false,2,0,120,8699,1188
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,-1,120,0,false,0,0,144,25548,5044
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,-1,150,0,false,0,0,566,24772,2524
synth-n_1300-m_178841-k_50-p_0.2.txt,1300,178841,-1,50,0,false,0,0,48,14539,2403
synth-n_1300-m_99879-k_150-p_0.1.txt,1300,99879,-1,150,0,false,0,0,265,49338,6148
synth-n_150-m_1561-k_70-p_0.1.txt,150,1561,-1,52,0,false,1,0,684869,180000,38511
