name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,packing_size,packing_millis,millis,recursive_steps
chess-n_1500,1075,2561,127,127,45,true,859,71,40551,62892,339768
health-n_2000,1973,7956,674,658,297,false,1172,352,27903,90001,140905
link-kv-n_1000,644,4081,234,234,63,true,440,170,2657,9283,197337
wikispeedia-n_1500,1415,7438,271,271,165,true,1114,96,29498,38424,143246
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,200,200,0,true,0,200,1763,3913,198
synth-n_1300-m_52952-k_200-p_0.05.txt,1300,52952,200,200,0,true,1,200,1170,1668,195
synth-n_150-m_1564-k_50-p_0.1.txt,150,1564,48,48,0,true,0,41,755,1993,8884
synth-n_2000-m_110886-k_120-p_0.05.txt,2000,110886,120,120,0,true,2,120,4121,4897,112
synth-n_300-m_2943-k_70-p_0.05.txt,300,2943,70,70,0,true,9,64,1771,3391,6506
synth-n_3500-m_672789-k_200-p_0.1.txt,3500,672789,200,200,0,true,0,200,34686,53469,196
synth-n_700-m_16024-k_150-p_0.05.txt,700,16024,150,150,0,true,0,150,131,230,142
synth-n_700-m_64387-k_200-p_0.2.txt,700,64387,200,200,0,true,0,200,440,1216,196
synth-n_2600-m_716555-k_100-p_0.2.txt,2600,716555,100,100,0,true,0,100,26358,40998,96
