name,level,cycle_size,branch_size,recursive_steps
synth-n_100-m_1220-k_15-p_0.2.txt,0,3.0,3.0,1
synth-n_100-m_1220-k_15-p_0.2.txt,1,3.0,2.6666667,3
synth-n_100-m_1220-k_15-p_0.2.txt,2,3.125,2.75,8
synth-n_100-m_1220-k_15-p_0.2.txt,3,3.3636363,2.5,22
synth-n_100-m_1220-k_15-p_0.2.txt,4,3.6363637,2.4545455,55
synth-n_100-m_1220-k_15-p_0.2.txt,5,3.6074073,2.2444444,135
synth-n_100-m_1220-k_15-p_0.2.txt,6,3.7326732,2.2871287,303
synth-n_100-m_1220-k_15-p_0.2.txt,7,3.6911976,2.1587303,693
synth-n_100-m_1220-k_15-p_0.2.txt,8,3.7546792,2.1336899,1496
synth-n_100-m_1231-k_25-p_0.2.txt,0,3.0,3.0,1
synth-n_100-m_1231-k_25-p_0.2.txt,1,3.0,2.0,3
synth-n_100-m_1231-k_25-p_0.2.txt,2,3.0,2.0,6
synth-n_100-m_1231-k_25-p_0.2.txt,3,3.3333333,2.3333333,12
synth-n_100-m_1231-k_25-p_0.2.txt,4,3.5714285,2.107143,28
synth-n_100-m_1231-k_25-p_0.2.txt,5,3.4915254,1.779661,59
synth-n_100-m_1231-k_25-p_0.2.txt,6,3.552381,1.8,105
synth-n_100-m_1231-k_25-p_0.2.txt,7,3.4814816,1.8571428,189
synth-n_100-m_1231-k_25-p_0.2.txt,8,3.5270655,1.8717948,351
synth-n_100-m_1231-k_25-p_0.2.txt,9,3.5144596,1.8462709,657
synth-n_100-m_1231-k_25-p_0.2.txt,10,3.547403,1.8268756,1213
synth-n_100-m_1231-k_25-p_0.2.txt,11,3.5893502,1.8546932,2216
synth-n_100-m_1231-k_25-p_0.2.txt,12,3.6253042,1.8540146,4110
synth-n_100-m_1231-k_25-p_0.2.txt,13,3.6283464,1.8456693,7620
synth-n_100-m_1231-k_25-p_0.2.txt,14,3.653797,1.8292093,14064
synth-n_100-m_1231-k_25-p_0.2.txt,15,3.6818395,1.8335536,25726
synth-n_100-m_1231-k_25-p_0.2.txt,16,3.700827,1.8173628,47170
synth-n_100-m_1231-k_25-p_0.2.txt,17,3.7139108,1.8093438,85725
synth-n_100-m_1231-k_25-p_0.2.txt,18,3.7260454,1.7977705,155106
synth-n_100-m_1231-k_25-p_0.2.txt,19,3.7441554,1.7886317,278845
synth-n_100-m_1231-k_25-p_0.2.txt,20,3.7584245,1.7748115,498751
synth-n_100-m_1231-k_25-p_0.2.txt,21,3.7761471,1.7608104,885189
synth-n_100-m_1235-k_20-p_0.2.txt,0,3.0,3.0,1
synth-n_100-m_1235-k_20-p_0.2.txt,1,3.0,2.0,3
synth-n_100-m_1235-k_20-p_0.2.txt,2,3.0,2.3333333,6
synth-n_100-m_1235-k_20-p_0.2.txt,3,3.2142856,2.142857,14
synth-n_100-m_1235-k_20-p_0.2.txt,4,3.2,2.0,30
synth-n_100-m_1235-k_20-p_0.2.txt,5,3.45,2.1166666,60
synth-n_100-m_1235-k_20-p_0.2.txt,6,3.488189,1.976378,127
synth-n_100-m_1235-k_20-p_0.2.txt,7,3.565737,1.9880478,251
synth-n_100-m_1235-k_20-p_0.2.txt,8,3.5771544,1.9759519,499
synth-n_100-m_1235-k_20-p_0.2.txt,9,3.5679512,1.9290061,986
synth-n_100-m_1235-k_20-p_0.2.txt,10,3.6235542,1.9327024,1902
synth-n_100-m_1235-k_20-p_0.2.txt,11,3.6373775,1.9164853,3676
synth-n_100-m_1235-k_20-p_0.2.txt,12,3.66643,1.894819,7045
synth-n_100-m_1235-k_20-p_0.2.txt,13,3.7085176,1.8668814,13349
synth-n_100-m_1235-k_20-p_0.2.txt,14,3.7386541,1.8413386,24921
synth-n_100-m_1235-k_20-p_0.2.txt,15,3.75839,1.8255099,45888
synth-n_100-m_1235-k_20-p_0.2.txt,16,3.782521,1.8120904,83769
synth-n_100-m_1235-k_20-p_0.2.txt,17,3.7944229,1.7896599,151797
synth-n_100-m_1374-k_30-p_0.2.txt,0,3.0,3.0,1
synth-n_100-m_1374-k_30-p_0.2.txt,1,3.3333333,2.6666667,3
synth-n_100-m_1374-k_30-p_0.2.txt,2,3.25,1.875,8
synth-n_100-m_1374-k_30-p_0.2.txt,3,3.3333333,2.0,15
synth-n_100-m_1374-k_30-p_0.2.txt,4,3.3,2.0333333,30
synth-n_100-m_1374-k_30-p_0.2.txt,5,3.5409837,2.1147542,61
synth-n_100-m_1374-k_30-p_0.2.txt,6,3.4806201,2.1007752,129
synth-n_100-m_1374-k_30-p_0.2.txt,7,3.590406,2.1217713,271
synth-n_100-m_1374-k_30-p_0.2.txt,8,3.6069565,2.038261,575
synth-n_100-m_1374-k_30-p_0.2.txt,9,3.6680887,2.0025597,1172
synth-n_100-m_1374-k_30-p_0.2.txt,10,3.7175117,1.9659139,2347
synth-n_100-m_1374-k_30-p_0.2.txt,11,3.6946251,1.9133073,4614
synth-n_100-m_1374-k_30-p_0.2.txt,12,3.6840734,1.8972588,8828
synth-n_100-m_1374-k_30-p_0.2.txt,13,3.6839812,1.8613648,16749
synth-n_100-m_1374-k_30-p_0.2.txt,14,3.6933858,1.8401976,31176
synth-n_100-m_1374-k_30-p_0.2.txt,15,3.697734,1.8115216,57370
synth-n_100-m_1374-k_30-p_0.2.txt,16,3.709652,1.7881205,103927
synth-n_100-m_1374-k_30-p_0.2.txt,17,3.7193947,1.7705479,185834
synth-n_100-m_1374-k_30-p_0.2.txt,18,3.7295883,1.7527323,329028
synth-n_100-m_1374-k_30-p_0.2.txt,19,3.741402,1.7334706,576698
synth-n_100-m_1374-k_30-p_0.2.txt,20,3.7518167,1.7169039,999689
synth-n_100-m_275-k_10-p_0.05.txt,0,2.0,2.0,1
synth-n_100-m_275-k_10-p_0.05.txt,1,2.5,2.5,2
synth-n_100-m_305-k_20-p_0.05.txt,0,4.0,4.0,1
synth-n_100-m_305-k_20-p_0.05.txt,1,3.25,2.75,4
synth-n_100-m_305-k_20-p_0.05.txt,2,3.6363637,2.8181818,11
synth-n_100-m_305-k_20-p_0.05.txt,3,3.612903,2.096774,31
synth-n_100-m_305-k_20-p_0.05.txt,4,3.7384615,2.123077,65
synth-n_100-m_305-k_20-p_0.05.txt,5,3.884058,2.3333333,138
synth-n_100-m_305-k_20-p_0.05.txt,6,3.947205,2.189441,322
synth-n_100-m_305-k_20-p_0.05.txt,7,3.8921986,2.2950354,705
synth-n_100-m_305-k_20-p_0.05.txt,8,4.068603,2.3603213,1618
synth-n_100-m_319-k_15-p_0.05.txt,0,3.0,3.0,1
synth-n_100-m_319-k_15-p_0.05.txt,1,2.3333333,1.6666666,3
synth-n_100-m_319-k_15-p_0.05.txt,2,2.6,1.8,5
synth-n_100-m_319-k_15-p_0.05.txt,3,3.0,2.4444444,9
synth-n_100-m_319-k_15-p_0.05.txt,4,3.2272727,2.6818182,22
synth-n_100-m_344-k_25-p_0.05.txt,0,4.0,4.0,1
synth-n_100-m_344-k_25-p_0.05.txt,1,3.25,2.5,4
synth-n_100-m_344-k_25-p_0.05.txt,2,3.3,2.1,10
synth-n_100-m_344-k_25-p_0.05.txt,3,2.9047618,2.142857,21
synth-n_100-m_344-k_25-p_0.05.txt,4,3.9555554,3.2444444,45
synth-n_100-m_344-k_25-p_0.05.txt,5,4.267123,2.8767123,146
synth-n_100-m_344-k_25-p_0.05.txt,6,4.207143,2.607143,420
synth-n_100-m_344-k_25-p_0.05.txt,7,4.2255707,2.573516,1095
synth-n_100-m_344-k_25-p_0.05.txt,8,4.2122073,2.5007098,2818
synth-n_100-m_344-k_25-p_0.05.txt,9,4.3269477,2.556407,7047
synth-n_100-m_346-k_30-p_0.05.txt,0,2.0,2.0,1
synth-n_100-m_346-k_30-p_0.05.txt,1,2.0,2.0,2
synth-n_100-m_346-k_30-p_0.05.txt,2,3.0,2.5,4
synth-n_100-m_346-k_30-p_0.05.txt,3,3.7,2.9,10
synth-n_100-m_346-k_30-p_0.05.txt,4,3.6551723,2.7931035,29
synth-n_100-m_346-k_30-p_0.05.txt,5,3.9135802,2.7407408,81
synth-n_100-m_346-k_30-p_0.05.txt,6,3.945946,2.6756756,222
synth-n_100-m_346-k_30-p_0.05.txt,7,3.868687,2.5319865,594
synth-n_100-m_346-k_30-p_0.05.txt,8,4.010638,2.5272605,1504
synth-n_100-m_346-k_30-p_0.05.txt,9,4.1888976,2.6001053,3801
synth-n_100-m_346-k_30-p_0.05.txt,10,4.2639885,2.6436305,9883
synth-n_100-m_346-k_30-p_0.05.txt,11,4.363532,2.6499023,26127
synth-n_100-m_346-k_30-p_0.05.txt,12,4.4135685,2.6127048,69234
synth-n_100-m_346-k_30-p_0.05.txt,13,4.474487,2.5894034,180888
synth-n_100-m_346-k_30-p_0.05.txt,14,4.5332947,2.556882,468392
synth-n_100-m_346-k_30-p_0.05.txt,15,4.6019897,2.5423117,1197623
synth-n_100-m_568-k_10-p_0.1.txt,0,3.0,3.0,1
synth-n_100-m_568-k_10-p_0.1.txt,1,3.3333333,2.3333333,3
synth-n_100-m_568-k_10-p_0.1.txt,2,3.2857144,2.142857,7
synth-n_100-m_568-k_10-p_0.1.txt,3,3.0666666,2.6666667,15
synth-n_100-m_596-k_15-p_0.1.txt,0,4.0,4.0,1
synth-n_100-m_596-k_15-p_0.1.txt,1,3.75,2.25,4
synth-n_100-m_596-k_15-p_0.1.txt,2,3.3333333,1.8888888,9
synth-n_100-m_596-k_15-p_0.1.txt,3,4.0,2.764706,17
synth-n_100-m_596-k_15-p_0.1.txt,4,3.9148936,2.319149,47
synth-n_100-m_596-k_15-p_0.1.txt,5,3.8990827,2.0733945,109
synth-n_100-m_596-k_15-p_0.1.txt,6,3.7477877,2.0663717,226
synth-n_100-m_596-k_15-p_0.1.txt,7,3.5760171,2.085653,467
synth-n_100-m_596-k_15-p_0.1.txt,8,3.721766,2.1930184,974
synth-n_100-m_596-k_15-p_0.1.txt,9,3.772472,2.2289326,2136
synth-n_100-m_596-k_15-p_0.1.txt,10,3.7721066,2.2390254,4761
synth-n_100-m_596-k_15-p_0.1.txt,11,3.8126643,2.302439,10660
synth-n_100-m_596-k_15-p_0.1.txt,12,3.8238673,2.301703,24544
synth-n_100-m_596-k_15-p_0.1.txt,13,3.8277133,2.2849557,56493
synth-n_100-m_643-k_25-p_0.1.txt,0,2.0,2.0,1
synth-n_100-m_643-k_25-p_0.1.txt,1,3.0,3.0,2
synth-n_100-m_643-k_25-p_0.1.txt,2,3.6666667,2.6666667,6
synth-n_100-m_643-k_25-p_0.1.txt,3,3.625,2.75,16
synth-n_100-m_643-k_25-p_0.1.txt,4,3.840909,2.4545455,44
synth-n_100-m_643-k_25-p_0.1.txt,5,3.824074,2.2129629,108
synth-n_100-m_643-k_25-p_0.1.txt,6,3.9414227,2.2594142,239
synth-n_100-m_643-k_25-p_0.1.txt,7,3.9240742,2.2074075,540
synth-n_100-m_643-k_25-p_0.1.txt,8,3.8909397,2.1577182,1192
synth-n_100-m_643-k_25-p_0.1.txt,9,3.844479,2.1403577,2572
synth-n_100-m_643-k_25-p_0.1.txt,10,3.7987285,2.1415076,5505
synth-n_100-m_643-k_25-p_0.1.txt,11,3.8105013,2.1441174,11789
synth-n_100-m_643-k_25-p_0.1.txt,12,3.8316257,2.1260433,25277
synth-n_100-m_643-k_25-p_0.1.txt,13,3.8366394,2.1228693,53740
synth-n_100-m_643-k_25-p_0.1.txt,14,3.8545008,2.1047482,114083
synth-n_100-m_643-k_25-p_0.1.txt,15,3.8859885,2.0930717,240116
synth-n_100-m_643-k_25-p_0.1.txt,16,3.913574,2.0736759,502580
synth-n_100-m_643-k_25-p_0.1.txt,17,3.961198,2.0721502,1042188
synth-n_100-m_645-k_20-p_0.1.txt,0,3.0,3.0,1
synth-n_100-m_645-k_20-p_0.1.txt,1,3.0,2.0,3
synth-n_100-m_645-k_20-p_0.1.txt,2,2.8333333,2.0,6
synth-n_100-m_645-k_20-p_0.1.txt,3,2.75,1.9166666,12
synth-n_100-m_645-k_20-p_0.1.txt,4,3.0434783,2.0869565,23
synth-n_100-m_645-k_20-p_0.1.txt,5,3.375,2.3958333,48
synth-n_100-m_645-k_20-p_0.1.txt,6,3.721739,2.3565218,115
synth-n_100-m_645-k_20-p_0.1.txt,7,3.690037,2.291513,271
synth-n_100-m_645-k_20-p_0.1.txt,8,3.742351,2.2173913,621
synth-n_100-m_645-k_20-p_0.1.txt,9,3.7944808,2.16122,1377
synth-n_100-m_645-k_20-p_0.1.txt,10,3.857863,2.2049732,2976
synth-n_100-m_645-k_20-p_0.1.txt,11,3.888601,2.1824138,6562
synth-n_100-m_645-k_20-p_0.1.txt,12,3.9434397,2.1825292,14321
synth-n_100-m_645-k_20-p_0.1.txt,13,4.032922,2.1675198,31256
synth-n_100-m_645-k_20-p_0.1.txt,14,4.069404,2.1418934,67748
synth-n_100-m_645-k_20-p_0.1.txt,15,4.1099796,2.1353602,145109
synth-n_100-m_645-k_20-p_0.1.txt,16,4.1720066,2.1393435,309860
synth-n_100-m_645-k_20-p_0.1.txt,17,4.228585,2.1432667,662897
synth-n_100-m_645-k_20-p_0.1.txt,18,4.2828383,2.1476128,1420765
synth-n_100-m_670-k_30-p_0.1.txt,0,3.0,3.0,1
synth-n_100-m_670-k_30-p_0.1.txt,1,3.0,2.3333333,3
synth-n_100-m_670-k_30-p_0.1.txt,2,3.4285715,2.0,7
synth-n_100-m_670-k_30-p_0.1.txt,3,3.0714285,1.9285715,14
synth-n_100-m_670-k_30-p_0.1.txt,4,3.2592592,2.3333333,27
synth-n_100-m_670-k_30-p_0.1.txt,5,3.6031747,2.2698412,63
synth-n_100-m_670-k_30-p_0.1.txt,6,3.7762237,2.4825175,143
synth-n_100-m_670-k_30-p_0.1.txt,7,3.8676057,2.3549297,355
synth-n_100-m_670-k_30-p_0.1.txt,8,3.9366028,2.3803828,836
synth-n_100-m_670-k_30-p_0.1.txt,9,4.014573,2.3477387,1990
synth-n_100-m_670-k_30-p_0.1.txt,10,4.041952,2.2626283,4672
synth-n_100-m_670-k_30-p_0.1.txt,11,4.1202345,2.2490776,10571
synth-n_100-m_670-k_30-p_0.1.txt,12,4.1834702,2.2218716,23775
synth-n_100-m_670-k_30-p_0.1.txt,13,4.1996593,2.1727781,52825
synth-n_100-m_670-k_30-p_0.1.txt,14,4.2520103,2.1543689,114777
synth-n_100-m_670-k_30-p_0.1.txt,15,4.2962165,2.1322591,247272
synth-n_100-m_670-k_30-p_0.1.txt,16,4.344481,2.1199532,527248
synth-n_100-m_670-k_30-p_0.1.txt,17,4.3893256,2.1054466,1117741
synth-n_120-m_1738-k_15-p_0.2.txt,0,3.0,3.0,1
synth-n_120-m_1738-k_15-p_0.2.txt,1,3.0,2.6666667,3
synth-n_120-m_1738-k_15-p_0.2.txt,2,3.5,2.75,8
synth-n_120-m_1738-k_15-p_0.2.txt,3,3.6818182,2.409091,22
synth-n_120-m_1738-k_15-p_0.2.txt,4,3.54717,2.018868,53
synth-n_120-m_1738-k_15-p_0.2.txt,5,3.5794392,1.8224299,107
synth-n_120-m_1775-k_20-p_0.2.txt,0,3.0,3.0,1
synth-n_120-m_1775-k_20-p_0.2.txt,1,3.0,2.6666667,3
synth-n_120-m_1775-k_20-p_0.2.txt,2,3.125,2.75,8
synth-n_120-m_1775-k_20-p_0.2.txt,3,3.1363637,2.3636363,22
synth-n_120-m_1775-k_20-p_0.2.txt,4,3.25,2.2115386,52
synth-n_120-m_1775-k_20-p_0.2.txt,5,3.4347825,2.1652174,115
synth-n_120-m_1775-k_20-p_0.2.txt,6,3.3253012,2.068273,249
synth-n_120-m_1775-k_20-p_0.2.txt,7,3.4543688,2.0660195,515
synth-n_120-m_1775-k_20-p_0.2.txt,8,3.4783835,2.0093985,1064
synth-n_120-m_1775-k_20-p_0.2.txt,9,3.5332086,1.9681946,2138
synth-n_120-m_1775-k_20-p_0.2.txt,10,3.52519,1.9139733,4208
synth-n_120-m_1775-k_20-p_0.2.txt,11,3.5670474,1.890365,8054
synth-n_120-m_1775-k_20-p_0.2.txt,12,3.6027586,1.8572742,15225
synth-n_120-m_1775-k_20-p_0.2.txt,13,3.6228738,1.8355554,28277
synth-n_120-m_1775-k_20-p_0.2.txt,14,3.652204,1.8219597,51904
synth-n_120-m_1825-k_25-p_0.2.txt,0,3.0,3.0,1
synth-n_120-m_1825-k_25-p_0.2.txt,1,3.0,2.0,3
synth-n_120-m_1825-k_25-p_0.2.txt,2,3.0,2.0,6
synth-n_120-m_1825-k_25-p_0.2.txt,3,3.0,2.25,12
synth-n_120-m_1825-k_25-p_0.2.txt,4,3.1111112,2.074074,27
synth-n_120-m_1825-k_25-p_0.2.txt,5,3.375,2.107143,56
synth-n_120-m_1825-k_25-p_0.2.txt,6,3.3305085,1.9576272,118
synth-n_120-m_1825-k_25-p_0.2.txt,7,3.3766234,1.8917749,231
synth-n_120-m_1825-k_25-p_0.2.txt,8,3.4004576,1.8672769,437
synth-n_120-m_1825-k_25-p_0.2.txt,9,3.4142158,1.8272059,816
synth-n_120-m_1825-k_25-p_0.2.txt,10,3.4372904,1.798122,1491
synth-n_120-m_1825-k_25-p_0.2.txt,11,3.472585,1.7985827,2681
synth-n_120-m_1825-k_25-p_0.2.txt,12,3.5111988,1.7913729,4822
synth-n_120-m_1825-k_25-p_0.2.txt,13,3.5275526,1.7714748,8638
synth-n_120-m_1825-k_25-p_0.2.txt,14,3.5574434,1.7663051,15302
synth-n_120-m_1825-k_25-p_0.2.txt,15,3.582211,1.7559938,27028
synth-n_120-m_1825-k_25-p_0.2.txt,16,3.6220686,1.7429047,47461
synth-n_120-m_1825-k_25-p_0.2.txt,17,3.6398816,1.7335228,82720
synth-n_120-m_1825-k_25-p_0.2.txt,18,3.6596513,1.7246038,143397
synth-n_120-m_1825-k_25-p_0.2.txt,19,3.6813545,1.7174802,247303
synth-n_120-m_1825-k_25-p_0.2.txt,20,3.7061858,1.7141744,424738
synth-n_120-m_1829-k_30-p_0.2.txt,0,3.0,3.0,1
synth-n_120-m_1829-k_30-p_0.2.txt,1,3.0,2.6666667,3
synth-n_120-m_1829-k_30-p_0.2.txt,2,3.25,2.5,8
synth-n_120-m_1829-k_30-p_0.2.txt,3,3.25,1.85,20
synth-n_120-m_1829-k_30-p_0.2.txt,4,3.3243244,2.054054,37
synth-n_120-m_1829-k_30-p_0.2.txt,5,3.3421052,1.9736842,76
synth-n_120-m_1829-k_30-p_0.2.txt,6,3.34,2.02,150
synth-n_120-m_1829-k_30-p_0.2.txt,7,3.3630364,1.9933994,303
synth-n_120-m_1829-k_30-p_0.2.txt,8,3.433775,1.8824503,604
synth-n_120-m_1829-k_30-p_0.2.txt,9,3.5057168,1.8540018,1137
synth-n_120-m_1829-k_30-p_0.2.txt,10,3.5445921,1.8235294,2108
synth-n_120-m_1829-k_30-p_0.2.txt,11,3.5525494,1.7783558,3844
synth-n_120-m_1829-k_30-p_0.2.txt,12,3.5743124,1.7662376,6836
synth-n_120-m_1829-k_30-p_0.2.txt,13,3.6210039,1.7271824,12074
synth-n_120-m_1829-k_30-p_0.2.txt,14,3.6392539,1.7175122,20854
synth-n_120-m_1829-k_30-p_0.2.txt,15,3.66689,1.69816,35817
synth-n_120-m_1829-k_30-p_0.2.txt,16,3.6866152,1.6727718,60823
synth-n_120-m_1829-k_30-p_0.2.txt,17,3.7033212,1.6650974,101743
synth-n_120-m_1829-k_30-p_0.2.txt,18,3.7221272,1.6555852,169412
synth-n_120-m_1829-k_30-p_0.2.txt,19,3.7462208,1.6465437,280476
synth-n_120-m_1829-k_30-p_0.2.txt,20,3.768923,1.6384729,461816
synth-n_120-m_1829-k_30-p_0.2.txt,21,3.7894638,1.6330608,756673
synth-n_120-m_391-k_6-p_0.05.txt,0,2.0,2.0,1
synth-n_120-m_391-k_6-p_0.05.txt,1,2.0,2.0,2
synth-n_120-m_432-k_20-p_0.05.txt,0,2.0,2.0,1
synth-n_120-m_432-k_20-p_0.05.txt,1,2.5,2.5,2
synth-n_120-m_432-k_20-p_0.05.txt,2,3.4,3.0,5
synth-n_120-m_432-k_20-p_0.05.txt,3,3.4,2.4666667,15
synth-n_120-m_432-k_20-p_0.05.txt,4,3.2162163,2.5135136,37
synth-n_120-m_432-k_20-p_0.05.txt,5,3.8924732,2.8172042,93
synth-n_120-m_432-k_20-p_0.05.txt,6,3.8396947,2.6145039,262
synth-n_120-m_432-k_20-p_0.05.txt,7,3.8525548,2.6175182,685
synth-n_120-m_432-k_20-p_0.05.txt,8,3.9559398,2.5861685,1793
synth-n_120-m_432-k_20-p_0.05.txt,9,3.9506147,2.4142764,4637
synth-n_120-m_432-k_20-p_0.05.txt,10,3.9701653,2.3174632,11195
synth-n_120-m_432-k_20-p_0.05.txt,11,3.9338574,2.2242522,25944
synth-n_120-m_455-k_15-p_0.05.txt,0,3.0,3.0,1
synth-n_120-m_455-k_15-p_0.05.txt,1,2.6666667,2.0,3
synth-n_120-m_455-k_15-p_0.05.txt,2,2.3333333,2.1666667,6
synth-n_120-m_455-k_15-p_0.05.txt,3,3.0,2.6923077,13
synth-n_120-m_455-k_15-p_0.05.txt,4,3.2,2.6285715,35
synth-n_120-m_455-k_15-p_0.05.txt,5,3.5217392,2.5869565,92
synth-n_120-m_455-k_15-p_0.05.txt,6,3.3907564,2.357143,238
synth-n_120-m_455-k_15-p_0.05.txt,7,3.5989306,2.509804,561
synth-n_120-m_482-k_25-p_0.05.txt,0,3.0,3.0,1
synth-n_120-m_482-k_25-p_0.05.txt,1,2.3333333,1.6666666,3
synth-n_120-m_482-k_25-p_0.05.txt,2,2.6,2.0,5
synth-n_120-m_482-k_25-p_0.05.txt,3,3.4,2.7,10
synth-n_120-m_482-k_25-p_0.05.txt,4,3.7407408,2.7037036,27
synth-n_120-m_482-k_25-p_0.05.txt,5,3.7534246,2.6575344,73
synth-n_120-m_482-k_25-p_0.05.txt,6,3.829897,2.6494846,194
synth-n_120-m_482-k_25-p_0.05.txt,7,4.1070037,2.6225681,514
synth-n_120-m_482-k_25-p_0.05.txt,8,4.301929,2.574926,1348
synth-n_120-m_482-k_25-p_0.05.txt,9,4.3742437,2.4863153,3471
synth-n_120-m_482-k_25-p_0.05.txt,10,4.4163384,2.4488993,8630
synth-n_120-m_482-k_25-p_0.05.txt,11,4.475774,2.4838648,21134
synth-n_120-m_482-k_25-p_0.05.txt,12,4.5889435,2.5349374,52494
synth-n_120-m_482-k_25-p_0.05.txt,13,4.657644,2.5832312,133069
synth-n_120-m_482-k_25-p_0.05.txt,14,4.706928,2.5975657,343748
synth-n_120-m_482-k_25-p_0.05.txt,15,4.7491155,2.6121247,892908
synth-n_120-m_492-k_30-p_0.05.txt,0,2.0,2.0,1
synth-n_120-m_492-k_30-p_0.05.txt,1,3.0,3.0,2
synth-n_120-m_492-k_30-p_0.05.txt,2,4.3333335,3.3333333,6
synth-n_120-m_492-k_30-p_0.05.txt,3,4.4,2.9,20
synth-n_120-m_492-k_30-p_0.05.txt,4,4.6034484,3.086207,58
synth-n_120-m_492-k_30-p_0.05.txt,5,4.4357543,2.5307262,179
synth-n_120-m_492-k_30-p_0.05.txt,6,4.355408,2.5298014,453
synth-n_120-m_492-k_30-p_0.05.txt,7,4.244328,2.4040139,1146
synth-n_120-m_492-k_30-p_0.05.txt,8,4.318693,2.429764,2755
synth-n_120-m_492-k_30-p_0.05.txt,9,4.4686284,2.5376456,6694
synth-n_120-m_492-k_30-p_0.05.txt,10,4.5478306,2.602343,16987
synth-n_120-m_492-k_30-p_0.05.txt,11,4.572773,2.608017,44206
synth-n_120-m_492-k_30-p_0.05.txt,12,4.599766,2.6462052,115290
synth-n_120-m_492-k_30-p_0.05.txt,13,4.6696515,2.6792524,305081
synth-n_120-m_492-k_30-p_0.05.txt,14,4.7480564,2.6917477,817389
synth-n_120-m_790-k_10-p_0.1.txt,0,3.0,3.0,1
synth-n_120-m_790-k_10-p_0.1.txt,1,2.6666667,2.0,3
synth-n_120-m_790-k_10-p_0.1.txt,2,3.0,2.3333333,6
synth-n_120-m_790-k_10-p_0.1.txt,3,3.142857,2.2142856,14
synth-n_120-m_871-k_15-p_0.1.txt,0,2.0,2.0,1
synth-n_120-m_871-k_15-p_0.1.txt,1,4.0,4.0,2
synth-n_120-m_871-k_15-p_0.1.txt,2,3.75,2.5,8
synth-n_120-m_871-k_15-p_0.1.txt,3,3.35,1.95,20
synth-n_120-m_871-k_15-p_0.1.txt,4,3.5384614,2.4102564,39
synth-n_120-m_871-k_15-p_0.1.txt,5,3.4468086,2.5531914,94
synth-n_120-m_871-k_15-p_0.1.txt,6,3.575,2.5791667,240
synth-n_120-m_871-k_15-p_0.1.txt,7,3.644588,2.5444264,619
synth-n_120-m_871-k_15-p_0.1.txt,8,3.695873,2.4349205,1575
synth-n_120-m_871-k_15-p_0.1.txt,9,3.7301173,2.3400261,3835
synth-n_120-m_871-k_15-p_0.1.txt,10,3.7929575,2.2445955,8974
synth-n_120-m_871-k_15-p_0.1.txt,11,3.8396466,2.1957006,20143
synth-n_120-m_871-k_15-p_0.1.txt,12,3.883558,2.1346433,44228
synth-n_120-m_871-k_15-p_0.1.txt,13,3.9228797,2.1000943,94411
synth-n_120-m_921-k_25-p_0.1.txt,0,3.0,3.0,1
synth-n_120-m_921-k_25-p_0.1.txt,1,2.6666667,2.3333333,3
synth-n_120-m_921-k_25-p_0.1.txt,2,3.4285715,2.7142856,7
synth-n_120-m_921-k_25-p_0.1.txt,3,3.5263157,2.4736843,19
synth-n_120-m_921-k_25-p_0.1.txt,4,3.744681,2.531915,47
synth-n_120-m_921-k_25-p_0.1.txt,5,3.8655462,2.3193278,119
synth-n_120-m_921-k_25-p_0.1.txt,6,3.826087,2.2608695,276
synth-n_120-m_921-k_25-p_0.1.txt,7,3.9615386,2.2323718,624
synth-n_120-m_921-k_25-p_0.1.txt,8,4.0078964,2.1765974,1393
synth-n_120-m_921-k_25-p_0.1.txt,9,4.0352902,2.133905,3032
synth-n_120-m_921-k_25-p_0.1.txt,10,4.052705,2.0843894,6470
synth-n_120-m_921-k_25-p_0.1.txt,11,4.061397,2.0573928,13486
synth-n_120-m_921-k_25-p_0.1.txt,12,4.0554676,2.0396094,27746
synth-n_120-m_921-k_25-p_0.1.txt,13,4.0557685,2.0319486,56591
synth-n_120-m_921-k_25-p_0.1.txt,14,4.0629272,2.0219932,114990
