name,level,cycle_size,branch_size,recursive_steps
synth-n_100-m_1220-k_15-p_0.2.txt,0,3.0,3.0,1
synth-n_100-m_1220-k_15-p_0.2.txt,1,3.0,2.3333333,3
synth-n_100-m_1220-k_15-p_0.2.txt,2,3.142857,2.2857144,7
synth-n_100-m_1220-k_15-p_0.2.txt,3,3.375,2.0625,16
synth-n_100-m_1220-k_15-p_0.2.txt,4,3.5454545,1.939394,33
synth-n_100-m_1220-k_15-p_0.2.txt,5,3.609375,1.9375,64
synth-n_100-m_1220-k_15-p_0.2.txt,6,3.685484,1.798387,124
synth-n_100-m_1220-k_15-p_0.2.txt,7,3.5560539,1.690583,223
synth-n_100-m_1220-k_15-p_0.2.txt,8,3.724138,1.7506632,377
synth-n_100-m_1231-k_25-p_0.2.txt,0,2.0,2.0,1
synth-n_100-m_1231-k_25-p_0.2.txt,1,2.0,1.5,2
synth-n_100-m_1231-k_25-p_0.2.txt,2,3.0,2.3333333,3
synth-n_100-m_1231-k_25-p_0.2.txt,3,3.0,1.8571428,7
synth-n_100-m_1231-k_25-p_0.2.txt,4,3.2307692,1.7692307,13
synth-n_100-m_1231-k_25-p_0.2.txt,5,3.4347825,1.7826087,23
synth-n_100-m_1231-k_25-p_0.2.txt,6,3.390244,1.6341463,41
synth-n_100-m_1231-k_25-p_0.2.txt,7,3.4179103,1.6268656,67
synth-n_100-m_1231-k_25-p_0.2.txt,8,3.3394496,1.5321101,109
synth-n_100-m_1231-k_25-p_0.2.txt,9,3.508982,1.5449102,167
synth-n_100-m_1231-k_25-p_0.2.txt,10,3.484496,1.5775194,258
synth-n_100-m_1231-k_25-p_0.2.txt,11,3.5675676,1.5945946,407
synth-n_100-m_1231-k_25-p_0.2.txt,12,3.6101694,1.568567,649
synth-n_100-m_1231-k_25-p_0.2.txt,13,3.6640472,1.5392927,1018
synth-n_100-m_1231-k_25-p_0.2.txt,14,3.7492023,1.5373325,1567
synth-n_100-m_1231-k_25-p_0.2.txt,15,3.7795765,1.5251142,2409
synth-n_100-m_1231-k_25-p_0.2.txt,16,3.8143713,1.5247686,3674
synth-n_100-m_1231-k_25-p_0.2.txt,17,3.8436272,1.5257051,5602
synth-n_100-m_1231-k_25-p_0.2.txt,18,3.8551538,1.5200655,8547
synth-n_100-m_1231-k_25-p_0.2.txt,19,3.851216,1.5161638,12992
synth-n_100-m_1231-k_25-p_0.2.txt,20,3.8606966,1.5198498,19698
synth-n_100-m_1231-k_25-p_0.2.txt,21,3.8880353,1.5291269,29938
synth-n_100-m_1231-k_25-p_0.2.txt,22,3.9046724,1.5384564,45779
synth-n_100-m_1235-k_20-p_0.2.txt,0,3.0,3.0,1
synth-n_100-m_1235-k_20-p_0.2.txt,1,3.0,2.0,3
synth-n_100-m_1235-k_20-p_0.2.txt,2,3.0,1.6666666,6
synth-n_100-m_1235-k_20-p_0.2.txt,3,3.2,1.9,10
synth-n_100-m_1235-k_20-p_0.2.txt,4,3.2631578,1.7368422,19
synth-n_100-m_1235-k_20-p_0.2.txt,5,3.5757575,1.8484849,33
synth-n_100-m_1235-k_20-p_0.2.txt,6,3.672131,1.6885246,61
synth-n_100-m_1235-k_20-p_0.2.txt,7,3.6893203,1.6504854,103
synth-n_100-m_1235-k_20-p_0.2.txt,8,3.6529412,1.5529412,170
synth-n_100-m_1235-k_20-p_0.2.txt,9,3.6818182,1.564394,264
synth-n_100-m_1235-k_20-p_0.2.txt,10,3.7384987,1.559322,413
synth-n_100-m_1235-k_20-p_0.2.txt,11,3.8012424,1.5652174,644
synth-n_100-m_1235-k_20-p_0.2.txt,12,3.8462303,1.5595238,1008
synth-n_100-m_1235-k_20-p_0.2.txt,13,3.8339694,1.5617049,1572
synth-n_100-m_1235-k_20-p_0.2.txt,14,3.8505092,1.5588595,2455
synth-n_100-m_1235-k_20-p_0.2.txt,15,3.8411288,1.5503005,3827
synth-n_100-m_1235-k_20-p_0.2.txt,16,3.8594303,1.5543569,5933
synth-n_100-m_1235-k_20-p_0.2.txt,17,3.848189,1.5617002,9222
synth-n_100-m_1374-k_30-p_0.2.txt,0,3.0,3.0,1
synth-n_100-m_1374-k_30-p_0.2.txt,1,3.0,2.0,3
synth-n_100-m_1374-k_30-p_0.2.txt,2,3.1666667,1.8333334,6
synth-n_100-m_1374-k_30-p_0.2.txt,3,3.4545455,1.9090909,11
synth-n_100-m_1374-k_30-p_0.2.txt,4,3.2857144,1.5714285,21
synth-n_100-m_1374-k_30-p_0.2.txt,5,3.3939395,1.6363636,33
synth-n_100-m_1374-k_30-p_0.2.txt,6,3.4444444,1.6111112,54
synth-n_100-m_1374-k_30-p_0.2.txt,7,3.5632184,1.5747126,87
synth-n_100-m_1374-k_30-p_0.2.txt,8,3.5839417,1.5985402,137
synth-n_100-m_1374-k_30-p_0.2.txt,9,3.5525115,1.5388128,219
synth-n_100-m_1374-k_30-p_0.2.txt,10,3.587537,1.5400593,337
synth-n_100-m_1374-k_30-p_0.2.txt,11,3.6435454,1.566474,519
synth-n_100-m_1374-k_30-p_0.2.txt,12,3.6555965,1.5510455,813
synth-n_100-m_1374-k_30-p_0.2.txt,13,3.6558287,1.5471848,1261
synth-n_100-m_1374-k_30-p_0.2.txt,14,3.658124,1.5304972,1951
synth-n_100-m_1374-k_30-p_0.2.txt,15,3.6845279,1.5415272,2986
synth-n_100-m_1374-k_30-p_0.2.txt,16,3.695416,1.5402998,4603
synth-n_100-m_1374-k_30-p_0.2.txt,17,3.7266572,1.5449929,7090
synth-n_100-m_1374-k_30-p_0.2.txt,18,3.72914,1.5419937,10954
synth-n_100-m_1374-k_30-p_0.2.txt,19,3.7306259,1.5388669,16891
synth-n_100-m_1374-k_30-p_0.2.txt,20,3.7328513,1.5396068,25993
synth-n_100-m_1374-k_30-p_0.2.txt,21,3.7484944,1.5424174,40019
synth-n_100-m_275-k_10-p_0.05.txt,0,2.0,2.0,1
synth-n_100-m_275-k_10-p_0.05.txt,1,2.5,2.0,2
synth-n_100-m_305-k_20-p_0.05.txt,0,2.0,2.0,1
synth-n_100-m_305-k_20-p_0.05.txt,1,2.5,2.0,2
synth-n_100-m_305-k_20-p_0.05.txt,2,3.0,2.25,4
synth-n_100-m_305-k_20-p_0.05.txt,3,3.5555556,2.4444444,9
synth-n_100-m_305-k_20-p_0.05.txt,4,3.8181818,2.5454545,22
synth-n_100-m_305-k_20-p_0.05.txt,5,3.982143,2.3392856,56
synth-n_100-m_305-k_20-p_0.05.txt,6,4.2671757,2.3587787,131
synth-n_100-m_305-k_20-p_0.05.txt,7,4.1747575,2.2686083,309
synth-n_100-m_305-k_20-p_0.05.txt,8,4.2239656,2.3766048,701
synth-n_100-m_319-k_15-p_0.05.txt,0,2.0,2.0,1
synth-n_100-m_319-k_15-p_0.05.txt,1,2.5,2.0,2
synth-n_100-m_319-k_15-p_0.05.txt,2,2.5,1.75,4
