name,level,cycle_size,branch_size,recursive_steps
synth-n_100-m_1220-k_15-p_0.2.txt,0,3.0,3.0,1
synth-n_100-m_1220-k_15-p_0.2.txt,1,3.0,2.3333333,3
synth-n_100-m_1220-k_15-p_0.2.txt,2,3.142857,2.2857144,7
synth-n_100-m_1220-k_15-p_0.2.txt,3,3.375,2.0625,16
synth-n_100-m_1220-k_15-p_0.2.txt,4,3.5454545,1.939394,33
synth-n_100-m_1220-k_15-p_0.2.txt,5,3.5625,1.890625,64
synth-n_100-m_1220-k_15-p_0.2.txt,6,3.6528926,1.7933885,121
synth-n_100-m_1220-k_15-p_0.2.txt,7,3.6036866,1.7004608,217
synth-n_100-m_1220-k_15-p_0.2.txt,8,3.6422765,1.7317073,369
synth-n_100-m_1231-k_25-p_0.2.txt,0,2.0,2.0,1
synth-n_100-m_1231-k_25-p_0.2.txt,1,2.0,1.5,2
synth-n_100-m_1231-k_25-p_0.2.txt,2,3.0,2.3333333,3
synth-n_100-m_1231-k_25-p_0.2.txt,3,3.0,1.7142857,7
synth-n_100-m_1231-k_25-p_0.2.txt,4,3.25,1.9166666,12
synth-n_100-m_1231-k_25-p_0.2.txt,5,3.347826,1.7391304,23
synth-n_100-m_1231-k_25-p_0.2.txt,6,3.45,1.65,40
synth-n_100-m_1231-k_25-p_0.2.txt,7,3.409091,1.5757576,66
synth-n_100-m_1231-k_25-p_0.2.txt,8,3.4038463,1.5961539,104
synth-n_100-m_1231-k_25-p_0.2.txt,9,3.5421686,1.5903615,166
synth-n_100-m_1231-k_25-p_0.2.txt,10,3.5227273,1.6401515,264
synth-n_100-m_1231-k_25-p_0.2.txt,11,3.6143186,1.6073903,433
synth-n_100-m_1231-k_25-p_0.2.txt,12,3.6824713,1.5962644,696
synth-n_100-m_1231-k_25-p_0.2.txt,13,3.7515752,1.5886588,1111
synth-n_100-m_1231-k_25-p_0.2.txt,14,3.8243625,1.5614731,1765
synth-n_100-m_1231-k_25-p_0.2.txt,15,3.822569,1.5279391,2756
synth-n_100-m_1231-k_25-p_0.2.txt,16,3.8404179,1.5331275,4211
synth-n_100-m_1231-k_25-p_0.2.txt,17,3.8503718,1.5289654,6456
synth-n_100-m_1231-k_25-p_0.2.txt,18,3.8723533,1.5224395,9871
synth-n_100-m_1231-k_25-p_0.2.txt,19,3.8735693,1.5136412,15028
synth-n_100-m_1231-k_25-p_0.2.txt,20,3.888381,1.5257837,22747
synth-n_100-m_1231-k_25-p_0.2.txt,21,3.8993864,1.5302677,34707
synth-n_100-m_1231-k_25-p_0.2.txt,22,3.9018471,1.5332417,53111
synth-n_100-m_1231-k_25-p_0.2.txt,23,3.9086723,1.5353546,81432
synth-n_100-m_1235-k_20-p_0.2.txt,0,3.0,3.0,1
synth-n_100-m_1235-k_20-p_0.2.txt,1,3.0,2.0,3
synth-n_100-m_1235-k_20-p_0.2.txt,2,3.0,1.6666666,6
synth-n_100-m_1235-k_20-p_0.2.txt,3,3.2,1.9,10
synth-n_100-m_1235-k_20-p_0.2.txt,4,3.2631578,1.7368422,19
synth-n_100-m_1235-k_20-p_0.2.txt,5,3.6666667,1.9090909,33
synth-n_100-m_1235-k_20-p_0.2.txt,6,3.7142856,1.6825397,63
synth-n_100-m_1235-k_20-p_0.2.txt,7,3.6981132,1.6698114,106
synth-n_100-m_1235-k_20-p_0.2.txt,8,3.8531075,1.6440678,177
synth-n_100-m_1235-k_20-p_0.2.txt,9,3.8900344,1.6254295,291
synth-n_100-m_1235-k_20-p_0.2.txt,10,3.9281185,1.6131078,473
synth-n_100-m_1235-k_20-p_0.2.txt,11,3.955439,1.5989515,763
synth-n_100-m_1235-k_20-p_0.2.txt,12,4.008197,1.5909836,1220
synth-n_100-m_1235-k_20-p_0.2.txt,13,3.9747553,1.5698093,1941
synth-n_100-m_1235-k_20-p_0.2.txt,14,3.950443,1.5566131,3047
synth-n_100-m_1235-k_20-p_0.2.txt,15,3.9344296,1.558929,4743
synth-n_100-m_1235-k_20-p_0.2.txt,16,3.9275088,1.5455775,7394
synth-n_100-m_1235-k_20-p_0.2.txt,17,3.8960447,1.55049,11428
synth-n_100-m_1374-k_30-p_0.2.txt,0,3.0,3.0,1
synth-n_100-m_1374-k_30-p_0.2.txt,1,3.0,2.0,3
synth-n_100-m_1374-k_30-p_0.2.txt,2,3.1666667,1.8333334,6
synth-n_100-m_1374-k_30-p_0.2.txt,3,3.4545455,1.9090909,11
synth-n_100-m_1374-k_30-p_0.2.txt,4,3.3333333,1.6190476,21
synth-n_100-m_1374-k_30-p_0.2.txt,5,3.5,1.7352941,34
synth-n_100-m_1374-k_30-p_0.2.txt,6,3.6440678,1.7118644,59
synth-n_100-m_1374-k_30-p_0.2.txt,7,3.7128713,1.6237624,101
synth-n_100-m_1374-k_30-p_0.2.txt,8,3.7439024,1.6219512,164
synth-n_100-m_1374-k_30-p_0.2.txt,9,3.699248,1.593985,266
synth-n_100-m_1374-k_30-p_0.2.txt,10,3.740566,1.5896226,424
synth-n_100-m_1374-k_30-p_0.2.txt,11,3.7908013,1.5949554,674
synth-n_100-m_1374-k_30-p_0.2.txt,12,3.756279,1.5693023,1075
synth-n_100-m_1374-k_30-p_0.2.txt,13,3.7788975,1.5838767,1687
synth-n_100-m_1374-k_30-p_0.2.txt,14,3.7780688,1.5475299,2672
synth-n_100-m_1374-k_30-p_0.2.txt,15,3.7511487,1.5293833,4135
synth-n_100-m_1374-k_30-p_0.2.txt,16,3.7838392,1.5324162,6324
synth-n_100-m_1374-k_30-p_0.2.txt,17,3.784336,1.5239913,9691
synth-n_100-m_1374-k_30-p_0.2.txt,18,3.8001218,1.5235968,14769
synth-n_100-m_1374-k_30-p_0.2.txt,19,3.8000178,1.5121768,22502
synth-n_100-m_1374-k_30-p_0.2.txt,20,3.802451,1.5063626,34027
synth-n_100-m_1374-k_30-p_0.2.txt,21,3.8130596,1.5064089,51257
synth-n_100-m_1374-k_30-p_0.2.txt,22,3.8197477,1.5051156,77214
synth-n_100-m_1374-k_30-p_0.2.txt,23,3.8248348,1.5049132,116216
synth-n_100-m_1374-k_30-p_0.2.txt,24,3.8397667,1.5041767,174895
synth-n_100-m_1374-k_30-p_0.2.txt,25,3.8458755,1.5047573,263073
synth-n_100-m_275-k_10-p_0.05.txt,0,2.0,2.0,1
synth-n_100-m_275-k_10-p_0.05.txt,1,2.5,2.0,2
synth-n_100-m_305-k_20-p_0.05.txt,0,2.0,2.0,1
synth-n_100-m_305-k_20-p_0.05.txt,1,2.5,2.0,2
synth-n_100-m_305-k_20-p_0.05.txt,2,3.0,2.25,4
synth-n_100-m_305-k_20-p_0.05.txt,3,3.4444444,2.4444444,9
synth-n_100-m_305-k_20-p_0.05.txt,4,3.7727273,2.5454545,22
synth-n_100-m_305-k_20-p_0.05.txt,5,4.071429,2.357143,56
