name,n,m,k_optimal,k_solved,millis,verified,recursive_steps,k_start,pre_deleted_nodes,flower_deleted_nodes
synth-n_10-m_12-k_2-p_0.2.txt,10,12,0,0,23,true,0,0,10,0
synth-n_10-m_12-k_4-p_0.2.txt,10,12,1,1,0,true,0,1,10,0
synth-n_100-m_1009-k_2-p_0.2.txt,100,1009,2,2,5,true,0,2,100,0
synth-n_100-m_1028-k_4-p_0.2.txt,100,1028,4,4,86,true,1,0,26,4
synth-n_100-m_1107-k_6-p_0.2.txt,100,1107,6,6,48,true,1,2,21,4
synth-n_100-m_1119-k_8-p_0.2.txt,100,1119,8,8,82,true,1,0,6,8
synth-n_100-m_1129-k_10-p_0.2.txt,100,1129,10,10,109,true,9,0,5,8
synth-n_100-m_1220-k_15-p_0.2.txt,100,1220,15,15,554,true,5001,0,3,4
synth-n_100-m_1231-k_25-p_0.2.txt,100,1231,25,25,66018,true,1272019,0,3,0
synth-n_100-m_1235-k_20-p_0.2.txt,100,1235,20,20,11642,true,207472,0,1,0
synth-n_100-m_1374-k_30-p_0.2.txt,100,1374,30,0,180000,false,3794124,0,0,0
synth-n_100-m_262-k_6-p_0.05.txt,100,262,5,5,1,true,0,5,100,0
synth-n_100-m_275-k_10-p_0.05.txt,100,275,6,6,2,true,14,2,87,0
synth-n_100-m_277-k_8-p_0.05.txt,100,277,4,4,1,true,0,4,100,0
synth-n_100-m_282-k_2-p_0.05.txt,100,282,2,2,1,true,0,2,100,0
synth-n_100-m_305-k_20-p_0.05.txt,100,305,10,10,208,true,6643,0,58,0
synth-n_100-m_305-k_4-p_0.05.txt,99,305,3,3,1,true,0,3,99,0
synth-n_100-m_319-k_15-p_0.05.txt,100,319,9,9,4,true,89,3,78,0
synth-n_100-m_344-k_25-p_0.05.txt,99,344,12,12,689,true,13233,0,36,1
synth-n_100-m_346-k_30-p_0.05.txt,100,346,17,17,63571,true,1278410,0,38,0
synth-n_100-m_491-k_2-p_0.1.txt,100,491,2,2,2,true,0,2,100,0
synth-n_100-m_542-k_4-p_0.1.txt,100,542,4,4,2,true,0,4,100,0
synth-n_100-m_546-k_8-p_0.1.txt,100,546,8,8,8,true,2,3,57,4
synth-n_100-m_565-k_6-p_0.1.txt,100,565,6,6,2,true,0,6,100,0
synth-n_100-m_568-k_10-p_0.1.txt,100,568,10,10,45,true,203,0,30,4
synth-n_100-m_596-k_15-p_0.1.txt,100,596,15,15,1473,true,23505,0,23,0
synth-n_100-m_643-k_25-p_0.1.txt,100,643,25,0,180000,false,3261177,0,15,0
synth-n_100-m_645-k_20-p_0.1.txt,100,645,20,20,69302,true,1072711,0,14,0
synth-n_100-m_670-k_30-p_0.1.txt,100,670,29,0,180000,false,3268448,0,7,0
synth-n_120-m_1409-k_2-p_0.2.txt,120,1409,2,2,4,true,0,2,120,0
synth-n_120-m_1485-k_6-p_0.2.txt,120,1485,6,6,100,true,1,0,13,6
synth-n_120-m_1520-k_4-p_0.2.txt,120,1520,4,4,54,true,1,1,26,3
synth-n_120-m_1530-k_10-p_0.2.txt,120,1530,10,10,152,true,1,0,5,10
synth-n_120-m_1600-k_8-p_0.2.txt,120,1600,8,8,137,true,1,0,6,8
synth-n_120-m_1738-k_15-p_0.2.txt,120,1738,15,15,387,true,1206,0,0,7
synth-n_120-m_1775-k_20-p_0.2.txt,120,1775,20,20,5049,true,57306,0,1,3
synth-n_120-m_1825-k_25-p_0.2.txt,120,1825,25,25,146987,true,1947742,0,1,0
synth-n_120-m_1829-k_30-p_0.2.txt,120,1829,30,0,180000,false,2925651,0,0,0
synth-n_120-m_368-k_2-p_0.05.txt,120,368,2,2,1,true,0,2,120,0
synth-n_120-m_372-k_4-p_0.05.txt,120,372,4,4,1,true,0,4,120,0
synth-n_120-m_391-k_6-p_0.05.txt,120,391,5,5,3,true,12,1,99,1
synth-n_120-m_395-k_8-p_0.05.txt,120,395,7,7,1,true,0,7,120,0
synth-n_120-m_420-k_10-p_0.05.txt,120,420,7,7,2,true,0,7,120,0
synth-n_120-m_432-k_20-p_0.05.txt,120,432,15,15,1789,true,52930,2,70,0
synth-n_120-m_455-k_15-p_0.05.txt,120,455,10,10,64,true,1187,0,67,0
synth-n_120-m_482-k_25-p_0.05.txt,120,482,17,17,38939,true,623616,0,47,0
synth-n_120-m_492-k_30-p_0.05.txt,120,492,21,0,180000,false,2688038,0,31,0
synth-n_120-m_724-k_4-p_0.1.txt,120,724,4,4,2,true,0,4,120,0
synth-n_120-m_788-k_6-p_0.1.txt,120,788,6,6,2,true,0,6,120,0
synth-n_120-m_790-k_10-p_0.1.txt,120,790,10,10,66,true,151,0,33,4
synth-n_120-m_791-k_2-p_0.1.txt,120,791,2,2,2,true,0,2,120,0
synth-n_120-m_828-k_8-p_0.1.txt,120,828,8,8,50,true,1,1,32,7
synth-n_120-m_871-k_15-p_0.1.txt,120,871,15,15,7081,true,84481,0,18,0
synth-n_120-m_921-k_25-p_0.1.txt,120,921,25,0,180000,false,2410086,0,12,0
synth-n_120-m_935-k_30-p_0.1.txt,120,935,29,0,180000,false,2683422,0,5,0
synth-n_120-m_950-k_20-p_0.1.txt,120,950,20,0,180000,false,2249688,0,10,0
synth-n_140-m_1028-k_2-p_0.1.txt,140,1028,2,2,4,true,0,2,140,0
synth-n_140-m_1046-k_6-p_0.1.txt,140,1046,6,6,4,true,0,6,140,0
synth-n_140-m_1047-k_4-p_0.1.txt,140,1047,4,4,4,true,0,4,140,0
synth-n_140-m_1056-k_8-p_0.1.txt,140,1056,8,8,44,true,1,4,52,4
synth-n_140-m_1070-k_10-p_0.1.txt,140,1070,10,10,100,true,9,0,31,8
synth-n_140-m_1181-k_20-p_0.1.txt,140,1181,20,20,49255,true,574654,0,12,0
synth-n_140-m_1184-k_15-p_0.1.txt,140,1184,15,15,1896,true,11893,1,20,2
synth-n_140-m_1225-k_25-p_0.1.txt,140,1225,25,0,180000,false,2250015,0,8,0
synth-n_140-m_1284-k_30-p_0.1.txt,140,1284,30,0,180000,false,2261930,0,4,0
synth-n_140-m_2032-k_2-p_0.2.txt,140,2032,2,2,6,true,0,2,140,0
synth-n_140-m_2038-k_4-p_0.2.txt,140,2038,4,4,118,true,1,0,20,4
synth-n_140-m_2080-k_6-p_0.2.txt,140,2080,6,6,192,true,1,0,10,6
synth-n_140-m_2149-k_8-p_0.2.txt,140,2149,8,8,231,true,1,0,5,8
synth-n_140-m_2195-k_10-p_0.2.txt,140,2195,10,10,254,true,1,0,7,10
synth-n_140-m_2205-k_15-p_0.2.txt,140,2205,15,15,326,true,57,0,2,11
synth-n_140-m_2299-k_20-p_0.2.txt,140,2299,20,20,1635,true,10551,0,3,5
synth-n_140-m_2379-k_25-p_0.2.txt,140,2379,25,25,27933,true,305683,0,1,3
synth-n_140-m_2487-k_30-p_0.2.txt,140,2487,30,0,180000,false,2070509,0,1,0
synth-n_140-m_508-k_2-p_0.05.txt,140,508,2,2,2,true,0,2,140,0
synth-n_140-m_511-k_4-p_0.05.txt,140,511,2,2,2,true,0,2,140,0
synth-n_140-m_511-k_6-p_0.05.txt,140,511,6,6,2,true,0,6,140,0
synth-n_140-m_531-k_8-p_0.05.txt,140,531,7,7,2,true,0,7,140,0
synth-n_140-m_542-k_15-p_0.05.txt,140,542,13,13,334,true,7433,2,87,0
synth-n_140-m_547-k_10-p_0.05.txt,140,547,8,8,2,true,0,8,140,0
synth-n_140-m_625-k_25-p_0.05.txt,140,625,22,0,180000,false,2293658,0,44,0
synth-n_140-m_632-k_20-p_0.05.txt,140,632,16,16,10143,true,116486,1,59,0
synth-n_140-m_632-k_30-p_0.05.txt,140,632,26,1,180000,false,1910176,1,36,0
synth-n_160-m_1318-k_4-p_0.1.txt,160,1318,4,4,5,true,0,4,160,0
synth-n_160-m_1324-k_2-p_0.1.txt,160,1324,2,2,5,true,0,2,160,0
synth-n_160-m_1346-k_6-p_0.1.txt,160,1346,6,6,5,true,0,6,160,0
synth-n_160-m_1409-k_10-p_0.1.txt,160,1409,10,10,151,true,12,1,35,7
synth-n_160-m_1412-k_8-p_0.1.txt,160,1412,8,8,198,true,3,0,18,7
synth-n_160-m_1447-k_15-p_0.1.txt,160,1447,15,15,516,true,2468,1,26,4
synth-n_160-m_1523-k_20-p_0.1.txt,160,1523,20,20,119486,true,927353,0,13,0
synth-n_160-m_1595-k_25-p_0.1.txt,160,1595,25,0,180000,false,1751966,0,7,0
synth-n_160-m_1648-k_30-p_0.1.txt,160,1648,30,0,180000,false,1929645,0,6,0
synth-n_160-m_2577-k_2-p_0.2.txt,160,2577,2,2,8,true,0,2,160,0
synth-n_160-m_2611-k_4-p_0.2.txt,160,2611,4,4,7,true,0,4,160,0
synth-n_160-m_2705-k_6-p_0.2.txt,160,2705,6,6,290,true,1,0,7,6
synth-n_160-m_2720-k_10-p_0.2.txt,160,2720,10,10,343,true,1,0,10,10
synth-n_160-m_2776-k_8-p_0.2.txt,160,2776,8,8,305,true,1,0,13,8
synth-n_160-m_2910-k_15-p_0.2.txt,160,2910,15,15,500,true,9,0,3,13
synth-n_160-m_3006-k_20-p_0.2.txt,160,3006,20,20,984,true,1875,0,2,10
synth-n_160-m_3034-k_25-p_0.2.txt,160,3034,25,25,18712,true,149034,0,2,4
synth-n_160-m_3134-k_30-p_0.2.txt,160,3134,30,0,180000,false,1672432,0,0,0
synth-n_160-m_641-k_2-p_0.05.txt,160,641,2,2,3,true,0,2,160,0
synth-n_160-m_663-k_4-p_0.05.txt,160,663,4,4,3,true,0,4,160,0
synth-n_160-m_683-k_8-p_0.05.txt,160,683,6,6,10,true,3,1,115,4
synth-n_160-m_693-k_6-p_0.05.txt,160,693,6,6,3,true,0,6,160,0
synth-n_160-m_731-k_10-p_0.05.txt,160,731,10,10,101,true,492,0,73,3
synth-n_160-m_743-k_20-p_0.05.txt,160,743,19,19,42651,true,462841,1,63,1
synth-n_160-m_746-k_15-p_0.05.txt,160,746,14,14,5707,true,46258,2,73,0
synth-n_160-m_800-k_30-p_0.05.txt,160,800,27,1,180000,false,1678041,1,36,0
synth-n_160-m_810-k_25-p_0.05.txt,160,810,25,0,180000,false,2089869,0,44,0
synth-n_180-m_1022-k_30-p_0.05.txt,180,1022,29,1,180000,false,1638258,1,40,0
synth-n_180-m_1057-k_25-p_0.05.txt,180,1057,22,0,180000,false,1530159,0,41,0
synth-n_180-m_1627-k_4-p_0.1.txt,180,1627,4,4,7,true,0,4,180,0
synth-n_180-m_1658-k_2-p_0.1.txt,180,1658,2,2,7,true,0,2,180,0
synth-n_180-m_1683-k_6-p_0.1.txt,180,1683,6,6,127,true,1,2,52,4
synth-n_180-m_1717-k_8-p_0.1.txt,180,1717,8,8,6,true,0,8,180,0
synth-n_180-m_1738-k_10-p_0.1.txt,180,1738,10,10,256,true,8,0,27,8
synth-n_180-m_1958-k_15-p_0.1.txt,180,1958,15,15,497,true,495,1,18,7
synth-n_180-m_1962-k_25-p_0.1.txt,180,1962,25,0,180000,false,1473687,0,7,0
synth-n_180-m_1968-k_20-p_0.1.txt,180,1968,20,20,31365,true,172396,0,4,3
synth-n_180-m_2037-k_30-p_0.1.txt,180,2037,30,0,180000,false,1749676,0,5,0
