name,k_optimal,k_solved,millis,verified,recursive_steps
synth-n_10-m_12-k_2-p_0.2.txt,0,0,25,true,0
synth-n_10-m_12-k_4-p_0.2.txt,1,1,7,true,2
synth-n_100-m_1009-k_2-p_0.2.txt,2,2,59,true,1
synth-n_100-m_1028-k_4-p_0.2.txt,4,4,45,true,1
synth-n_100-m_1107-k_6-p_0.2.txt,6,6,80,true,1
synth-n_100-m_1119-k_8-p_0.2.txt,8,8,78,true,1
synth-n_100-m_1129-k_10-p_0.2.txt,10,10,95,true,25
synth-n_100-m_1220-k_15-p_0.2.txt,15,15,414,true,13209
synth-n_100-m_1231-k_25-p_0.2.txt,25,0,180000,false,8055211
synth-n_100-m_1235-k_20-p_0.2.txt,20,20,22196,true,1414063
synth-n_100-m_1374-k_30-p_0.2.txt,30,0,180000,false,15374799
synth-n_100-m_262-k_6-p_0.05.txt,5,5,29,true,684
synth-n_100-m_275-k_10-p_0.05.txt,6,6,80,true,2314
synth-n_100-m_277-k_8-p_0.05.txt,4,4,8,true,103
synth-n_100-m_282-k_2-p_0.05.txt,2,2,1,true,2
synth-n_100-m_305-k_20-p_0.05.txt,10,10,12518,true,544864
synth-n_100-m_305-k_4-p_0.05.txt,3,3,5,true,30
synth-n_100-m_319-k_15-p_0.05.txt,9,9,6422,true,171220
synth-n_100-m_344-k_25-p_0.05.txt,12,12,89321,true,2250559
synth-n_100-m_346-k_30-p_0.05.txt,17,0,180000,false,6825506
synth-n_100-m_491-k_2-p_0.1.txt,2,2,14,true,1
synth-n_100-m_542-k_4-p_0.1.txt,4,4,19,true,4
synth-n_100-m_546-k_8-p_0.1.txt,8,8,114,true,2285
synth-n_100-m_565-k_6-p_0.1.txt,6,6,35,true,39
synth-n_100-m_568-k_10-p_0.1.txt,10,10,325,true,7810
synth-n_100-m_596-k_15-p_0.1.txt,15,15,83681,true,4055387
synth-n_100-m_643-k_25-p_0.1.txt,25,0,180000,false,8877580
synth-n_100-m_645-k_20-p_0.1.txt,20,0,180000,false,7564999
synth-n_100-m_670-k_30-p_0.1.txt,29,0,180000,false,10274796
synth-n_120-m_1409-k_2-p_0.2.txt,2,2,56,true,1
synth-n_120-m_1485-k_6-p_0.2.txt,6,6,103,true,1
synth-n_120-m_1520-k_4-p_0.2.txt,4,4,78,true,1
synth-n_120-m_1530-k_10-p_0.2.txt,10,10,148,true,1
synth-n_120-m_1600-k_8-p_0.2.txt,8,8,133,true,1
synth-n_120-m_1738-k_15-p_0.2.txt,15,15,209,true,1069
synth-n_120-m_1775-k_20-p_0.2.txt,20,20,17605,true,511729
synth-n_120-m_1825-k_25-p_0.2.txt,25,0,180000,false,7937180
synth-n_120-m_1829-k_30-p_0.2.txt,30,0,180000,false,11733320
synth-n_120-m_368-k_2-p_0.05.txt,2,2,1,true,5
synth-n_120-m_372-k_4-p_0.05.txt,4,4,6,true,134
synth-n_120-m_391-k_6-p_0.05.txt,5,5,20,true,88
synth-n_120-m_395-k_8-p_0.05.txt,7,7,403,true,9545
synth-n_120-m_420-k_10-p_0.05.txt,7,7,556,true,7799
synth-n_120-m_432-k_20-p_0.05.txt,15,0,180000,false,2770955
synth-n_120-m_455-k_15-p_0.05.txt,10,10,10857,true,251833
synth-n_120-m_482-k_25-p_0.05.txt,17,0,180000,false,4069977
synth-n_120-m_492-k_30-p_0.05.txt,21,0,180000,false,6840744
synth-n_120-m_724-k_4-p_0.1.txt,4,4,35,true,5
synth-n_120-m_788-k_6-p_0.1.txt,6,6,60,true,31
synth-n_120-m_790-k_10-p_0.1.txt,10,10,146,true,1539
synth-n_120-m_791-k_2-p_0.1.txt,2,2,20,true,1
synth-n_120-m_828-k_8-p_0.1.txt,8,8,79,true,97
synth-n_120-m_871-k_15-p_0.1.txt,15,15,52478,true,1610488
synth-n_120-m_921-k_25-p_0.1.txt,25,0,180000,false,7634592
synth-n_120-m_935-k_30-p_0.1.txt,29,0,180000,false,8266471
synth-n_120-m_950-k_20-p_0.1.txt,20,0,180000,false,6276773
synth-n_140-m_1028-k_2-p_0.1.txt,2,2,73,true,1
synth-n_140-m_1046-k_6-p_0.1.txt,6,6,86,true,3
synth-n_140-m_1047-k_4-p_0.1.txt,4,4,81,true,1
synth-n_140-m_1056-k_8-p_0.1.txt,8,8,133,true,107
synth-n_140-m_1070-k_10-p_0.1.txt,10,10,145,true,269
synth-n_140-m_1181-k_20-p_0.1.txt,20,0,180000,false,6435392
synth-n_140-m_1184-k_15-p_0.1.txt,15,15,11933,true,328662
synth-n_140-m_1225-k_25-p_0.1.txt,25,0,180000,false,8177066
synth-n_140-m_1284-k_30-p_0.1.txt,30,0,180000,false,6267485
synth-n_140-m_2032-k_2-p_0.2.txt,2,2,79,true,1
synth-n_140-m_2038-k_4-p_0.2.txt,4,4,134,true,1
synth-n_140-m_2080-k_6-p_0.2.txt,6,6,185,true,1
synth-n_140-m_2149-k_8-p_0.2.txt,8,8,217,true,1
synth-n_140-m_2195-k_10-p_0.2.txt,10,10,258,true,1
synth-n_140-m_2205-k_15-p_0.2.txt,15,15,293,true,34
synth-n_140-m_2299-k_20-p_0.2.txt,20,20,3660,true,86748
synth-n_140-m_2379-k_25-p_0.2.txt,25,25,160643,true,5849231
synth-n_140-m_2487-k_30-p_0.2.txt,30,0,180000,false,5097855
synth-n_140-m_508-k_2-p_0.05.txt,2,2,3,true,3
synth-n_140-m_511-k_4-p_0.05.txt,2,2,6,true,2
synth-n_140-m_511-k_6-p_0.05.txt,6,6,100,true,629
synth-n_140-m_531-k_8-p_0.05.txt,7,7,219,true,4900
synth-n_140-m_542-k_15-p_0.05.txt,13,0,180000,false,3061849
synth-n_140-m_547-k_10-p_0.05.txt,8,8,925,true,19228
synth-n_140-m_625-k_25-p_0.05.txt,22,0,180000,false,4611508
synth-n_140-m_632-k_20-p_0.05.txt,16,0,180000,false,3631710
synth-n_140-m_632-k_30-p_0.05.txt,26,0,180000,false,4561240
synth-n_160-m_1318-k_4-p_0.1.txt,4,4,67,true,1
synth-n_160-m_1324-k_2-p_0.1.txt,2,2,95,true,1
synth-n_160-m_1346-k_6-p_0.1.txt,6,6,191,true,1
synth-n_160-m_1409-k_10-p_0.1.txt,10,10,240,true,325
synth-n_160-m_1412-k_8-p_0.1.txt,8,8,188,true,3
synth-n_160-m_1447-k_15-p_0.1.txt,15,15,9636,true,144234
synth-n_160-m_1523-k_20-p_0.1.txt,20,0,180000,false,3738993
synth-n_160-m_1595-k_25-p_0.1.txt,25,0,180000,false,4751977
synth-n_160-m_1648-k_30-p_0.1.txt,30,0,180000,false,4666066
synth-n_160-m_2577-k_2-p_0.2.txt,2,2,127,true,1
synth-n_160-m_2611-k_4-p_0.2.txt,4,4,198,true,1
synth-n_160-m_2705-k_6-p_0.2.txt,6,6,249,true,1
synth-n_160-m_2720-k_10-p_0.2.txt,10,10,318,true,1
synth-n_160-m_2776-k_8-p_0.2.txt,8,8,281,true,1
synth-n_160-m_2910-k_15-p_0.2.txt,15,15,412,true,5
synth-n_160-m_3006-k_20-p_0.2.txt,20,20,752,true,3885
synth-n_160-m_3034-k_25-p_0.2.txt,25,25,90742,true,2021135
synth-n_160-m_3134-k_30-p_0.2.txt,30,0,180000,false,5758312
synth-n_160-m_641-k_2-p_0.05.txt,2,2,5,true,2
synth-n_160-m_663-k_4-p_0.05.txt,4,4,31,true,21
synth-n_160-m_683-k_8-p_0.05.txt,6,6,49,true,509
synth-n_160-m_693-k_6-p_0.05.txt,6,6,62,true,540
synth-n_160-m_731-k_10-p_0.05.txt,10,10,3275,true,52048
synth-n_160-m_743-k_20-p_0.05.txt,19,0,180000,false,4012492
synth-n_160-m_746-k_15-p_0.05.txt,14,0,180000,false,2113952
synth-n_160-m_800-k_30-p_0.05.txt,27,0,180000,false,4397126
synth-n_160-m_810-k_25-p_0.05.txt,25,0,180000,false,4806238
synth-n_180-m_1022-k_30-p_0.05.txt,29,0,180000,false,4890672
synth-n_180-m_1057-k_25-p_0.05.txt,22,0,180000,false,4898375
synth-n_180-m_1627-k_4-p_0.1.txt,4,4,160,true,1
synth-n_180-m_1658-k_2-p_0.1.txt,2,2,73,true,1
synth-n_180-m_1683-k_6-p_0.1.txt,6,6,233,true,1
synth-n_180-m_1717-k_8-p_0.1.txt,8,8,213,true,1
synth-n_180-m_1738-k_10-p_0.1.txt,10,10,269,true,120
synth-n_180-m_1958-k_15-p_0.1.txt,15,15,1107,true,12431
synth-n_180-m_1962-k_25-p_0.1.txt,25,0,180000,false,3359406
synth-n_180-m_1968-k_20-p_0.1.txt,20,20,136302,true,2015026
synth-n_180-m_2037-k_30-p_0.1.txt,30,0,180000,false,4803313
synth-n_180-m_3254-k_2-p_0.2.txt,2,2,172,true,1
synth-n_180-m_3302-k_4-p_0.2.txt,4,4,268,true,1
synth-n_180-m_3396-k_8-p_0.2.txt,8,8,436,true,1
synth-n_180-m_3408-k_6-p_0.2.txt,6,6,357,true,1
synth-n_180-m_3481-k_10-p_0.2.txt,10,10,456,true,1
synth-n_180-m_3631-k_15-p_0.2.txt,15,15,599,true,1
synth-n_180-m_3690-k_20-p_0.2.txt,20,20,802,true,1796
synth-n_180-m_3812-k_25-p_0.2.txt,25,25,4529,true,93375
synth-n_180-m_4031-k_30-p_0.2.txt,30,0,180000,false,4811217
synth-n_180-m_804-k_2-p_0.05.txt,2,2,12,true,1
synth-n_180-m_827-k_6-p_0.05.txt,6,6,112,true,289
synth-n_180-m_855-k_15-p_0.05.txt,15,0,180000,false,2022313
synth-n_180-m_867-k_8-p_0.05.txt,8,8,322,true,3683
synth-n_180-m_881-k_4-p_0.05.txt,4,4,30,true,9
synth-n_180-m_895-k_20-p_0.05.txt,19,0,180000,false,2391545
synth-n_180-m_902-k_10-p_0.05.txt,10,10,7744,true,73100
synth-n_20-m_18-k_4-p_0.05.txt,1,1,0,true,2
synth-n_20-m_20-k_4-p_0.1.txt,0,0,0,true,0
synth-n_20-m_25-k_2-p_0.1.txt,1,1,0,true,1
