name,k_optimal,k_solved,millis,verified,recursive_steps
synth-n_10-m_12-k_2-p_0.2.txt,0,0,24,true,0
synth-n_10-m_12-k_4-p_0.2.txt,1,1,0,true,0
synth-n_100-m_1009-k_2-p_0.2.txt,2,2,4,true,0
synth-n_100-m_1028-k_4-p_0.2.txt,4,4,13,true,51
synth-n_100-m_1107-k_6-p_0.2.txt,6,6,7,true,36
synth-n_100-m_1119-k_8-p_0.2.txt,8,8,41,true,1333
synth-n_100-m_1129-k_10-p_0.2.txt,10,10,132,true,4711
synth-n_100-m_1220-k_15-p_0.2.txt,15,15,2466,true,162855
synth-n_100-m_1231-k_25-p_0.2.txt,25,0,180000,false,10836022
synth-n_100-m_1235-k_20-p_0.2.txt,20,20,34753,true,2035836
synth-n_100-m_1374-k_30-p_0.2.txt,30,0,180000,false,13195623
synth-n_100-m_262-k_6-p_0.05.txt,5,5,2,true,0
synth-n_100-m_275-k_10-p_0.05.txt,6,6,1,true,43
synth-n_100-m_277-k_8-p_0.05.txt,4,4,1,true,0
synth-n_100-m_282-k_2-p_0.05.txt,2,2,1,true,0
synth-n_100-m_305-k_20-p_0.05.txt,10,10,119,true,15508
synth-n_100-m_305-k_4-p_0.05.txt,3,3,1,true,0
synth-n_100-m_319-k_15-p_0.05.txt,9,9,2,true,254
synth-n_100-m_344-k_25-p_0.05.txt,12,12,857,true,73248
synth-n_100-m_346-k_30-p_0.05.txt,17,0,180000,false,12507247
synth-n_100-m_491-k_2-p_0.1.txt,2,2,1,true,0
synth-n_100-m_542-k_4-p_0.1.txt,4,4,2,true,0
synth-n_100-m_546-k_8-p_0.1.txt,8,8,3,true,76
synth-n_100-m_565-k_6-p_0.1.txt,6,6,2,true,0
synth-n_100-m_568-k_10-p_0.1.txt,10,10,84,true,8016
synth-n_100-m_596-k_15-p_0.1.txt,15,15,12100,true,797073
synth-n_100-m_643-k_25-p_0.1.txt,25,0,180000,false,10748815
synth-n_100-m_645-k_20-p_0.1.txt,20,0,180000,false,11292859
synth-n_100-m_670-k_30-p_0.1.txt,29,0,180000,false,13057516
synth-n_120-m_1409-k_2-p_0.2.txt,2,2,3,true,0
synth-n_120-m_1485-k_6-p_0.2.txt,6,6,12,true,208
synth-n_120-m_1520-k_4-p_0.2.txt,4,4,5,true,18
synth-n_120-m_1530-k_10-p_0.2.txt,10,10,165,true,5175
synth-n_120-m_1600-k_8-p_0.2.txt,8,8,39,true,1176
synth-n_120-m_1738-k_15-p_0.2.txt,15,15,3454,true,120902
synth-n_120-m_1775-k_20-p_0.2.txt,20,20,110746,true,4875117
synth-n_120-m_1825-k_25-p_0.2.txt,25,0,180000,false,7766995
synth-n_120-m_1829-k_30-p_0.2.txt,30,0,180000,false,10389283
synth-n_120-m_368-k_2-p_0.05.txt,2,2,2,true,0
synth-n_120-m_372-k_4-p_0.05.txt,4,4,4,true,0
synth-n_120-m_391-k_6-p_0.05.txt,5,5,2,true,45
synth-n_120-m_395-k_8-p_0.05.txt,7,7,2,true,0
synth-n_120-m_420-k_10-p_0.05.txt,7,7,2,true,0
synth-n_120-m_432-k_20-p_0.05.txt,15,15,2979,true,252017
synth-n_120-m_455-k_15-p_0.05.txt,10,10,165,true,12789
synth-n_120-m_482-k_25-p_0.05.txt,17,17,124715,true,6228085
synth-n_120-m_492-k_30-p_0.05.txt,21,0,180000,false,11023514
synth-n_120-m_724-k_4-p_0.1.txt,4,4,3,true,0
synth-n_120-m_788-k_6-p_0.1.txt,6,6,3,true,0
synth-n_120-m_790-k_10-p_0.1.txt,10,10,67,true,2708
synth-n_120-m_791-k_2-p_0.1.txt,2,2,2,true,0
synth-n_120-m_828-k_8-p_0.1.txt,8,8,9,true,391
synth-n_120-m_871-k_15-p_0.1.txt,15,15,15282,true,760912
synth-n_120-m_921-k_25-p_0.1.txt,25,0,180000,false,10038984
synth-n_120-m_935-k_30-p_0.1.txt,29,0,180000,false,10179135
synth-n_120-m_950-k_20-p_0.1.txt,20,0,180000,false,9215017
synth-n_140-m_1028-k_2-p_0.1.txt,2,2,6,true,0
synth-n_140-m_1046-k_6-p_0.1.txt,6,6,4,true,0
synth-n_140-m_1047-k_4-p_0.1.txt,4,4,4,true,0
synth-n_140-m_1056-k_8-p_0.1.txt,8,8,7,true,35
synth-n_140-m_1070-k_10-p_0.1.txt,10,10,154,true,5211
synth-n_140-m_1181-k_20-p_0.1.txt,20,0,180000,false,9317861
synth-n_140-m_1184-k_15-p_0.1.txt,15,15,1900,true,104996
synth-n_140-m_1225-k_25-p_0.1.txt,25,0,180000,false,8863328
synth-n_140-m_1284-k_30-p_0.1.txt,30,0,180000,false,10741346
synth-n_140-m_2032-k_2-p_0.2.txt,2,2,6,true,0
synth-n_140-m_2038-k_4-p_0.2.txt,4,4,9,true,41
synth-n_140-m_2080-k_6-p_0.2.txt,6,6,20,true,312
synth-n_140-m_2149-k_8-p_0.2.txt,8,8,41,true,1035
synth-n_140-m_2195-k_10-p_0.2.txt,10,10,141,true,4424
synth-n_140-m_2205-k_15-p_0.2.txt,15,15,2767,true,94777
synth-n_140-m_2299-k_20-p_0.2.txt,20,20,25593,true,1353923
synth-n_140-m_2379-k_25-p_0.2.txt,25,0,180000,false,8628337
synth-n_140-m_2487-k_30-p_0.2.txt,30,0,180000,false,6225053
synth-n_140-m_508-k_2-p_0.05.txt,2,2,1,true,0
synth-n_140-m_511-k_4-p_0.05.txt,2,2,2,true,0
synth-n_140-m_511-k_6-p_0.05.txt,6,6,2,true,0
synth-n_140-m_531-k_8-p_0.05.txt,7,7,2,true,0
synth-n_140-m_542-k_15-p_0.05.txt,13,13,348,true,40285
synth-n_140-m_547-k_10-p_0.05.txt,8,8,3,true,0
synth-n_140-m_625-k_25-p_0.05.txt,22,0,180000,false,7390444
synth-n_140-m_632-k_20-p_0.05.txt,16,16,19473,true,1039775
synth-n_140-m_632-k_30-p_0.05.txt,26,1,180000,false,7084239
synth-n_160-m_1318-k_4-p_0.1.txt,4,4,5,true,0
synth-n_160-m_1324-k_2-p_0.1.txt,2,2,5,true,0
synth-n_160-m_1346-k_6-p_0.1.txt,6,6,4,true,0
synth-n_160-m_1409-k_10-p_0.1.txt,10,10,104,true,5000
synth-n_160-m_1412-k_8-p_0.1.txt,8,8,48,true,1655
synth-n_160-m_1447-k_15-p_0.1.txt,15,15,4367,true,196437
synth-n_160-m_1523-k_20-p_0.1.txt,20,0,180000,false,6014775
synth-n_160-m_1595-k_25-p_0.1.txt,25,0,180000,false,7305776
synth-n_160-m_1648-k_30-p_0.1.txt,30,0,180000,false,7239120
synth-n_160-m_2577-k_2-p_0.2.txt,2,2,7,true,0
synth-n_160-m_2611-k_4-p_0.2.txt,4,4,7,true,0
synth-n_160-m_2705-k_6-p_0.2.txt,6,6,18,true,200
synth-n_160-m_2720-k_10-p_0.2.txt,10,10,194,true,5157
synth-n_160-m_2776-k_8-p_0.2.txt,8,8,50,true,894
synth-n_160-m_2910-k_15-p_0.2.txt,15,15,9699,true,262121
synth-n_160-m_3006-k_20-p_0.2.txt,20,20,75499,true,2170399
synth-n_160-m_3034-k_25-p_0.2.txt,25,0,180000,false,6033672
synth-n_160-m_3134-k_30-p_0.2.txt,30,0,180000,false,7521291
synth-n_160-m_641-k_2-p_0.05.txt,2,2,2,true,0
synth-n_160-m_663-k_4-p_0.05.txt,4,4,4,true,0
synth-n_160-m_683-k_8-p_0.05.txt,6,6,4,true,135
synth-n_160-m_693-k_6-p_0.05.txt,6,6,3,true,0
synth-n_160-m_731-k_10-p_0.05.txt,10,10,215,true,13020
synth-n_160-m_743-k_20-p_0.05.txt,19,1,180000,false,7161569
