name,k_optimal,k_solved,millis,verified,recursive_steps
synth-n_10-m_12-k_2-p_0.2.txt,0,0,43,true,0
synth-n_10-m_12-k_4-p_0.2.txt,1,1,1,true,0
synth-n_10-m_2-k_2-p_0.05.txt,0,0,1,true,0
synth-n_10-m_2-k_4-p_0.05.txt,0,0,0,true,0
synth-n_10-m_5-k_2-p_0.1.txt,0,0,0,true,0
synth-n_10-m_5-k_4-p_0.1.txt,0,0,1,true,0
synth-n_20-m_10-k_2-p_0.05.txt,0,0,0,true,0
synth-n_20-m_11-k_6-p_0.05.txt,0,0,1,true,0
synth-n_20-m_18-k_4-p_0.05.txt,1,1,1,true,0
synth-n_20-m_20-k_4-p_0.1.txt,0,0,0,true,0
synth-n_20-m_25-k_2-p_0.1.txt,1,1,1,true,0
synth-n_20-m_25-k_8-p_0.1.txt,2,2,1,true,0
synth-n_20-m_38-k_6-p_0.1.txt,2,2,1,true,0
synth-n_20-m_48-k_2-p_0.2.txt,2,2,1,true,0
synth-n_20-m_54-k_8-p_0.2.txt,3,3,1,true,0
synth-n_20-m_58-k_4-p_0.2.txt,4,4,21,true,8
synth-n_20-m_59-k_6-p_0.2.txt,3,3,1,true,0
synth-n_20-m_9-k_8-p_0.05.txt,0,0,1,true,0
synth-n_30-m_111-k_8-p_0.2.txt,7,7,2,true,0
synth-n_30-m_114-k_6-p_0.2.txt,5,5,9,true,9
synth-n_30-m_117-k_10-p_0.2.txt,7,7,9,true,130
synth-n_30-m_25-k_2-p_0.05.txt,0,0,1,true,0
synth-n_30-m_28-k_4-p_0.05.txt,2,2,0,true,0
synth-n_30-m_28-k_6-p_0.05.txt,1,1,0,true,0
synth-n_30-m_28-k_8-p_0.05.txt,1,1,0,true,0
synth-n_30-m_35-k_10-p_0.05.txt,0,0,0,true,0
synth-n_30-m_55-k_4-p_0.1.txt,2,2,0,true,0
synth-n_30-m_58-k_6-p_0.1.txt,2,2,0,true,0
synth-n_30-m_60-k_2-p_0.1.txt,1,1,0,true,0
synth-n_30-m_64-k_8-p_0.1.txt,3,3,0,true,0
synth-n_30-m_73-k_10-p_0.1.txt,4,4,3,true,4
synth-n_30-m_97-k_2-p_0.2.txt,2,2,0,true,0
synth-n_30-m_99-k_4-p_0.2.txt,3,3,0,true,0
synth-n_40-m_112-k_8-p_0.1.txt,6,6,2,true,9
synth-n_40-m_114-k_10-p_0.1.txt,6,6,2,true,0
synth-n_40-m_114-k_15-p_0.1.txt,6,6,4,true,0
synth-n_40-m_176-k_2-p_0.2.txt,2,2,1,true,0
synth-n_40-m_185-k_4-p_0.2.txt,4,4,8,true,1
synth-n_40-m_192-k_10-p_0.2.txt,10,10,71,true,4126
synth-n_40-m_192-k_15-p_0.2.txt,13,13,392,true,38362
synth-n_40-m_194-k_6-p_0.2.txt,5,5,6,true,5
synth-n_40-m_203-k_8-p_0.2.txt,7,7,6,true,145
synth-n_40-m_36-k_2-p_0.05.txt,0,0,0,true,0
synth-n_40-m_47-k_6-p_0.05.txt,0,0,0,true,0
synth-n_40-m_50-k_4-p_0.05.txt,1,1,0,true,0
synth-n_40-m_58-k_15-p_0.05.txt,1,1,0,true,0
synth-n_40-m_61-k_8-p_0.05.txt,1,1,0,true,0
synth-n_40-m_62-k_10-p_0.05.txt,3,3,0,true,0
synth-n_40-m_88-k_4-p_0.1.txt,3,3,1,true,0
synth-n_40-m_92-k_2-p_0.1.txt,2,2,1,true,0
synth-n_40-m_95-k_6-p_0.1.txt,4,4,0,true,0
synth-n_50-m_139-k_2-p_0.1.txt,2,2,2,true,0
synth-n_50-m_139-k_4-p_0.1.txt,2,2,1,true,1
synth-n_50-m_154-k_8-p_0.1.txt,6,6,2,true,25
synth-n_50-m_159-k_10-p_0.1.txt,8,8,9,true,725
synth-n_50-m_169-k_6-p_0.1.txt,6,6,1,true,13
synth-n_50-m_192-k_20-p_0.1.txt,11,11,193,true,25216
synth-n_50-m_195-k_15-p_0.1.txt,8,8,6,true,365
synth-n_50-m_275-k_2-p_0.2.txt,2,2,0,true,0
synth-n_50-m_278-k_4-p_0.2.txt,4,4,4,true,1
synth-n_50-m_302-k_6-p_0.2.txt,6,6,14,true,14
synth-n_50-m_320-k_15-p_0.2.txt,14,14,241,true,39679
synth-n_50-m_327-k_10-p_0.2.txt,10,10,25,true,2225
synth-n_50-m_334-k_8-p_0.2.txt,8,8,7,true,2
synth-n_50-m_357-k_20-p_0.2.txt,20,20,8671,true,1350739
synth-n_50-m_66-k_2-p_0.05.txt,1,1,0,true,0
synth-n_50-m_70-k_4-p_0.05.txt,0,0,0,true,0
synth-n_50-m_71-k_8-p_0.05.txt,2,2,0,true,0
synth-n_50-m_81-k_10-p_0.05.txt,3,3,0,true,0
synth-n_50-m_90-k_20-p_0.05.txt,2,2,0,true,0
synth-n_50-m_91-k_6-p_0.05.txt,1,1,0,true,0
synth-n_50-m_97-k_15-p_0.05.txt,4,4,0,true,0
biology-n_12-m_33-p_0.5-15,3,3,0,true,3
biology-n_12-m_33-p_0.75-15,3,3,0,true,1
biology-n_12-m_33-p_0.9-15,3,3,0,true,0
biology-n_12-m_43-p_0.5-25,4,4,0,true,14
biology-n_12-m_43-p_0.75-25,3,3,0,true,0
biology-n_12-m_43-p_0.9-25,1,1,0,true,0
biology-n_12-m_45-p_0.5-19,3,3,0,true,4
biology-n_12-m_45-p_0.75-19,3,3,0,true,10
biology-n_12-m_45-p_0.9-19,1,1,0,true,0
biology-n_13-m_39-p_0.5-4,2,2,0,true,2
biology-n_13-m_39-p_0.75-4,3,3,0,true,0
biology-n_13-m_39-p_0.9-4,4,4,0,true,0
biology-n_13-m_51-p_0.5-22,4,4,0,true,7
biology-n_13-m_51-p_0.75-22,3,3,0,true,3
biology-n_13-m_51-p_0.9-22,3,3,0,true,0
biology-n_16-m_79-p_0.5-3,6,6,1,true,94
biology-n_16-m_79-p_0.75-3,6,6,1,true,91
biology-n_16-m_79-p_0.9-3,4,4,0,true,25
biology-n_17-m_89-p_0.5-10,6,6,1,true,86
biology-n_17-m_89-p_0.75-10,6,6,1,true,127
biology-n_17-m_89-p_0.9-10,4,4,0,true,8
biology-n_19-m_99-p_0.5-20,7,7,1,true,265
biology-n_19-m_99-p_0.75-20,6,6,1,true,65
biology-n_19-m_99-p_0.9-20,3,3,0,true,0
biology-n_20-m_125-p_0.5-24,8,8,2,true,601
biology-n_20-m_125-p_0.5-7,9,9,3,true,547
biology-n_20-m_125-p_0.75-24,9,9,3,true,820
biology-n_20-m_125-p_0.75-7,5,5,1,true,24
biology-n_20-m_125-p_0.9-24,3,3,3,true,17
biology-n_20-m_125-p_0.9-7,4,4,2,true,3
biology-n_22-m_76-p_0.5-9,4,4,2,true,8
biology-n_22-m_76-p_0.75-9,4,4,0,true,12
biology-n_22-m_76-p_0.9-9,3,3,0,true,7
biology-n_23-m_166-p_0.5-17,12,12,29,true,7719
biology-n_23-m_166-p_0.75-17,10,10,6,true,1738
biology-n_23-m_166-p_0.9-17,6,6,1,true,34
biology-n_25-m_231-p_0.5-6,13,13,26,true,6258
biology-n_25-m_231-p_0.75-6,13,13,23,true,6700
biology-n_25-m_231-p_0.9-6,8,8,2,true,246
biology-n_28-m_163-p_0.5-11,10,10,3,true,472
biology-n_28-m_163-p_0.75-11,8,8,2,true,196
biology-n_28-m_163-p_0.9-11,5,5,1,true,16
biology-n_28-m_249-p_0.5-8,15,15,38,true,11374
biology-n_28-m_249-p_0.75-8,13,13,32,true,5218
biology-n_28-m_249-p_0.9-8,6,6,2,true,14
biology-n_29-m_153-p_0.5-21,11,11,8,true,1489
biology-n_29-m_153-p_0.75-21,11,11,29,true,7561
biology-n_29-m_153-p_0.9-21,5,5,1,true,30
biology-n_30-m_287-p_0.5-5,15,15,63,true,12378
biology-n_30-m_287-p_0.75-5,12,12,26,true,4917
biology-n_30-m_287-p_0.9-5,10,10,38,true,5604
biology-n_35-m_315-p_0.5-18,17,17,73,true,17100
biology-n_35-m_315-p_0.75-18,15,15,74,true,21205
biology-n_35-m_315-p_0.9-18,10,10,17,true,2151
biology-n_36-m_219-p_0.5-12,17,17,11,true,3151
biology-n_36-m_219-p_0.75-12,14,14,7,true,1104
biology-n_36-m_219-p_0.9-12,9,9,1,true,6
biology-n_42-m_297-p_0.5-23,21,21,4262,true,575633
biology-n_42-m_297-p_0.75-23,19,19,5601,true,839619
biology-n_42-m_297-p_0.9-23,13,13,49,true,8873
biology-n_45-m_326-p_0.5-16,21,21,17,true,4531
biology-n_45-m_326-p_0.75-16,18,18,16,true,4493
biology-n_45-m_326-p_0.9-16,14,14,4,true,388
biology-n_49-m_689-p_0.5-14,29,29,1375,true,381980
biology-n_49-m_689-p_0.75-14,26,26,2189,true,612401
biology-n_49-m_689-p_0.9-14,19,19,290,true,49508
biology-n_56-m_526-p_0.5-2,29,29,18943,true,2466981
biology-n_56-m_526-p_0.75-2,24,24,102506,true,9436219
biology-n_56-m_526-p_0.9-2,17,17,13,true,849
biology-n_6-m_7-p_0.5-13,0,0,0,true,0
biology-n_6-m_7-p_0.75-13,0,0,0,true,0
biology-n_6-m_7-p_0.9-13,0,0,0,true,0
biology-n_9-m_23-p_0.5-1,2,2,0,true,0
biology-n_9-m_23-p_0.75-1,2,2,0,true,0
biology-n_9-m_23-p_0.9-1,1,1,0,true,0
