name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
advotogo-n_100,26,31,26,2,2,2,0,true,42
advotogo-n_1000,624,1883,612,120,127,127,40,true,124
advotogo-n_1500,1110,4342,1072,196,215,215,148,true,16
advotogo-n_200,63,68,60,7,9,9,7,true,4
advotogo-n_2000,1556,6786,1526,279,297,297,78,true,36
advotogo-n_3000,2657,16140,2556,495,548,548,448,true,56
advotogo-n_4000,3775,29831,3090,554,863,863,4871,true,423
advotogo-n_50,0,0,0,0,0,0,0,true,0
advotogo-n_500,247,446,244,37,39,39,7,true,2
advotogo-n_5000,4962,43776,3953,699,1160,1160,8062,true,589
advotogo-n_5159,5155,47135,4141,742,1208,1208,8178,true,746
bitcoinalpha-n_100,5,7,5,2,2,2,0,true,0
bitcoinalpha-n_1000,545,1878,542,134,136,136,7,true,2
bitcoinalpha-n_1500,957,3890,954,259,261,261,7,true,3
bitcoinalpha-n_200,50,78,50,11,11,11,0,true,0
bitcoinalpha-n_2000,1450,6295,1438,386,393,393,40,true,9
bitcoinalpha-n_3000,2659,15429,2638,646,658,658,89,true,16
bitcoinalpha-n_3785,3783,24186,3744,901,921,921,146,true,16
bitcoinalpha-n_50,5,5,5,2,2,2,0,true,0
bitcoinalpha-n_500,202,465,197,51,54,54,12,true,6
blogs-n_100,67,170,67,8,8,8,0,true,1
blogs-n_1000,977,12749,646,66,196,196,5542,true,341
blogs-n_1227,1224,19022,778,87,262,262,9025,true,635
blogs-n_200,138,426,138,16,16,16,0,true,0
blogs-n_50,34,88,34,6,6,6,0,true,0
blogs-n_500,430,2918,378,49,76,76,385,true,32
chess-n_100,13,7,13,0,0,0,0,true,0
chess-n_1000,613,1295,523,27,62,62,459,true,86
chess-n_1500,1075,2561,859,45,127,127,1269,true,1359
chess-n_200,58,47,58,2,2,2,0,true,0
chess-n_2000,1531,4343,1131,61,204,204,2547,true,88773
chess-n_3000,2586,11156,1616,65,-1,0,8357,false,90000
chess-n_4000,3620,17404,2029,82,-1,0,13982,false,90000
chess-n_50,3,2,3,0,0,0,0,true,0
chess-n_500,241,319,241,17,17,17,0,true,0
chess-n_5000,4752,27339,2327,78,-1,0,23727,false,90000
chess-n_6000,5854,40749,2659,81,-1,0,36324,false,90000
chess-n_7000,6966,55133,2913,91,-1,0,50407,false,90000
chess-n_7303,7301,60046,2958,85,-1,0,55302,false,90000
ChicagoRegional-n_100,2,2,2,1,1,1,0,true,0
ChicagoRegional-n_1000,224,245,224,92,92,92,0,true,0
ChicagoRegional-n_10000,9579,23005,8375,3551,4193,4193,3412,true,594
ChicagoRegional-n_1500,457,485,454,179,181,181,7,true,3
ChicagoRegional-n_200,13,12,13,5,5,5,0,true,0
ChicagoRegional-n_2000,777,888,767,301,307,307,24,true,8
ChicagoRegional-n_3000,1619,2022,1596,617,631,631,55,true,19
ChicagoRegional-n_4000,2607,3623,2581,1004,1020,1020,62,true,22
ChicagoRegional-n_50,4,4,4,2,2,2,0,true,0
ChicagoRegional-n_500,52,50,52,24,24,24,0,true,0
ChicagoRegional-n_5000,3710,5774,3627,1438,1484,1484,210,true,63
ChicagoRegional-n_6000,4927,8488,4703,1865,1987,1987,580,true,175
ChicagoRegional-n_7000,6106,11328,5842,2347,2495,2495,692,true,211
ChicagoRegional-n_8000,7282,14765,6804,2772,3028,3028,1283,true,298
ChicagoRegional-n_9000,8479,19095,7628,3198,3651,3651,2370,true,526
health-n_100,23,18,23,4,4,4,0,true,0
health-n_1000,934,2008,904,211,231,231,79,true,25
health-n_1500,1451,4642,1261,341,446,446,657,true,88
health-n_200,94,87,94,17,17,17,0,true,0
health-n_2000,1973,7956,1172,297,674,674,3854,true,284
health-n_2542,2539,12969,1031,235,960,960,8816,true,1465
health-n_50,10,7,10,2,2,2,0,true,0
health-n_500,388,490,384,65,67,67,11,true,3
link-kv-n_100,18,22,12,4,8,8,14,true,5
link-kv-n_1000,644,4081,440,63,234,234,2625,true,110
link-kv-n_1500,1054,8494,705,101,391,391,5359,true,869
link-kv-n_200,90,139,76,10,20,20,42,true,11
link-kv-n_2000,1772,19901,1210,112,565,565,13336,true,2674
link-kv-n_3000,2540,39796,1620,174,900,900,28777,true,19343
link-kv-n_4000,3777,69389,2389,200,-1,0,49187,false,90000
link-kv-n_50,6,3,6,0,0,0,0,true,0
link-kv-n_500,270,1056,196,23,83,83,524,true,51
link-kv-n_5000,4840,117893,2975,261,-1,0,80856,false,90000
link-kv-n_6000,5911,162803,3599,304,-1,0,118134,false,90000
link-kv-n_6916,6914,211650,4186,352,-1,0,156064,false,90000
openflights-n_100,25,48,25,10,10,10,0,true,0
openflights-n_1000,625,2842,602,190,201,201,67,true,14
openflights-n_1500,1199,7492,1111,364,413,413,280,true,45
openflights-n_200,64,106,57,22,26,26,17,true,4
openflights-n_2000,1794,13285,1691,535,593,593,365,true,55
openflights-n_2942,2939,30501,2676,858,998,998,1005,true,103
openflights-n_50,4,4,4,2,2,2,0,true,0
openflights-n_500,226,770,207,69,80,80,60,true,9
out.cfinder-google-n_100,8,7,8,6,6,6,0,true,0
out.cfinder-google-n_1000,413,576,404,94,100,100,21,true,8
out.cfinder-google-n_10000,9678,70276,7514,1603,3133,3133,10514,true,1308
out.cfinder-google-n_1500,723,1120,678,157,188,188,118,true,40
out.cfinder-google-n_200,32,27,32,13,13,13,0,true,0
out.cfinder-google-n_2000,1384,3224,1294,244,307,307,245,true,75
out.cfinder-google-n_3000,2127,5857,1880,400,574,574,717,true,206
out.cfinder-google-n_4000,3184,11463,2768,555,852,852,1269,true,310
out.cfinder-google-n_50,8,8,8,7,7,7,0,true,0
out.cfinder-google-n_500,119,142,116,35,37,37,7,true,2
out.cfinder-google-n_5000,4366,19192,3722,740,1200,1200,2072,true,526
out.cfinder-google-n_6000,5853,31372,4916,901,1581,1581,3382,true,648
out.cfinder-google-n_7000,6186,31254,5038,1091,1928,1928,4550,true,828
out.cfinder-google-n_8000,7228,48521,5596,1204,2338,2338,7414,true,973
out.cfinder-google-n_9000,8186,53109,6392,1380,2698,2698,7667,true,1169
talk-oc-n_100,0,0,0,0,0,0,0,true,0
talk-oc-n_1000,589,757,589,7,7,7,0,true,0
