name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,packing_size,heuristic_size,packing_millis,millis,recursive_steps
advotogo-n_100,26,31,2,2,2,true,26,0,0,0,74,0
advotogo-n_1000,624,1883,127,127,120,true,612,7,7,7,28,0
advotogo-n_1500,1110,4342,215,215,196,true,1072,19,19,3,23,0
advotogo-n_200,63,68,9,9,7,true,60,2,2,0,3,0
advotogo-n_2000,1556,6786,297,297,279,true,1526,17,18,4,203,2
advotogo-n_3000,2657,16140,548,548,495,true,2556,52,53,5,654,3
advotogo-n_4000,3775,29831,863,862,554,false,3090,303,309,65827,90001,122971
advotogo-n_50,0,0,0,0,0,true,0,0,0,0,2,0
advotogo-n_500,247,446,39,39,37,true,244,2,2,1,3,0
advotogo-n_5000,4962,43776,1160,1163,699,false,3953,456,465,72447,90001,85148
advotogo-n_5159,5155,47135,1208,1211,742,false,4141,461,470,70871,90001,95271
bitcoinalpha-n_100,5,7,2,2,2,true,5,0,0,0,1,0
bitcoinalpha-n_1000,545,1878,136,136,134,true,542,2,2,0,3,0
bitcoinalpha-n_1500,957,3890,261,261,259,true,954,2,2,0,3,0
bitcoinalpha-n_200,50,78,11,11,11,true,50,0,0,0,2,0
bitcoinalpha-n_2000,1450,6295,393,393,386,true,1438,7,7,0,6,0
bitcoinalpha-n_3000,2659,15429,658,658,646,true,2638,11,12,0,868,5
bitcoinalpha-n_3785,3783,24186,921,921,901,true,3744,19,20,4,473,2
bitcoinalpha-n_50,5,5,2,2,2,true,5,0,0,0,1,0
bitcoinalpha-n_500,202,465,54,54,51,true,197,2,3,0,1004,1
blogs-n_100,67,170,8,8,8,true,67,0,0,0,1,0
blogs-n_1000,977,12749,196,196,66,true,646,130,130,5,42,0
blogs-n_1227,1224,19022,262,262,87,true,778,171,175,911,2194,1267
blogs-n_200,138,426,16,16,16,true,138,0,0,0,1,0
blogs-n_50,34,88,6,6,6,true,34,0,0,0,1,0
blogs-n_500,430,2918,76,76,49,true,378,24,27,1,1009,28
chess-n_100,13,7,0,0,0,true,13,0,0,0,1,0
chess-n_1000,613,1295,62,62,27,true,523,31,35,10,1020,125
chess-n_1500,1075,2561,127,127,45,false,859,73,83,66343,90001,338946
chess-n_200,58,47,2,2,2,true,58,0,0,0,1,0
chess-n_2000,1531,4343,204,209,61,false,1131,123,149,80157,90001,185989
chess-n_3000,2586,11156,-1,431,65,false,1616,295,367,85271,90001,61342
chess-n_4000,3620,17404,-1,684,82,false,2029,462,603,85585,90002,31963
chess-n_50,3,2,0,0,0,true,3,0,0,0,2,0
chess-n_500,241,319,17,17,17,true,241,0,0,0,2,0
chess-n_5000,4752,27339,-1,1022,78,false,2327,717,948,84728,90001,22063
chess-n_6000,5854,40749,-1,1350,81,false,2659,937,1271,85168,90002,13981
chess-n_7000,6966,55133,-1,1698,91,false,2913,1184,1623,50868,90011,23408
chess-n_7303,7301,60046,-1,1838,85,false,2958,1276,1762,63557,90005,17464
ChicagoRegional-n_100,2,2,1,1,1,true,2,0,0,0,1,0
ChicagoRegional-n_1000,224,245,92,92,92,true,224,0,0,0,1,0
ChicagoRegional-n_10000,9579,23005,4193,4193,3551,true,8375,607,642,41,666,118
ChicagoRegional-n_1500,457,485,181,181,179,true,454,2,2,0,3,0
ChicagoRegional-n_200,13,12,5,5,5,true,13,0,0,0,1,0
ChicagoRegional-n_2000,777,888,307,307,301,true,767,6,6,1,4,0
ChicagoRegional-n_3000,1619,2022,631,631,617,true,1596,14,14,2,7,0
ChicagoRegional-n_4000,2607,3623,1020,1020,1004,true,2581,16,16,1,9,0
ChicagoRegional-n_50,4,4,2,2,2,true,4,0,0,0,1,0
ChicagoRegional-n_500,52,50,24,24,24,true,52,0,0,0,1,0
ChicagoRegional-n_5000,3710,5774,1484,1484,1438,true,3627,45,46,4,80,1
ChicagoRegional-n_6000,4927,8488,1987,1987,1865,true,4703,119,122,12,110,3
ChicagoRegional-n_7000,6106,11328,2495,2495,2347,true,5842,142,148,12,215,7
ChicagoRegional-n_8000,7282,14765,3028,3028,2772,true,6804,241,256,22,398,20
ChicagoRegional-n_9000,8479,19095,3651,3651,3198,true,7628,427,453,35,557,45
health-n_100,23,18,4,4,4,true,23,0,0,0,1,0
health-n_1000,934,2008,231,231,211,true,904,20,20,3,9,0
health-n_1500,1451,4642,446,446,341,true,1261,104,105,21,648,244
health-n_200,94,87,17,17,17,true,94,0,0,0,1,0
health-n_2000,1973,7956,674,677,297,false,1172,371,381,57934,90001,128466
health-n_2542,2539,12969,960,983,235,false,1031,705,749,78037,90001,80988
health-n_50,10,7,2,2,2,true,10,0,0,0,1,0
health-n_500,388,490,67,67,65,true,384,2,2,0,2,0
link-kv-n_100,18,22,8,8,4,true,12,4,4,0,2,0
link-kv-n_1000,644,4081,234,234,63,true,440,171,171,5,19,0
link-kv-n_1500,1054,8494,391,390,101,false,705,289,290,30911,90001,1043951
link-kv-n_200,90,139,20,20,10,true,76,10,10,2,5,0
link-kv-n_2000,1772,19901,565,564,112,false,1210,452,453,44196,90001,835626
link-kv-n_3000,2540,39796,900,899,174,false,1620,723,726,65607,90001,294573
link-kv-n_4000,3777,69389,1244,1247,200,false,2389,1042,1048,57519,90001,153556
link-kv-n_50,6,3,0,0,0,true,6,0,0,0,1,0
link-kv-n_500,270,1056,83,83,23,true,196,60,60,2,10,0
link-kv-n_5000,4840,117893,1670,1674,261,false,2975,1407,1417,77731,90001,30255
link-kv-n_6000,5911,162803,2014,2023,304,false,3599,1705,1720,82677,90001,71541
link-kv-n_6916,6914,211650,2364,2381,352,false,4186,2006,2031,74039,90004,2134
openflights-n_100,25,48,10,10,10,true,25,0,0,0,2,0
openflights-n_1000,625,2842,201,201,190,true,602,11,11,1,5,0
openflights-n_1500,1199,7492,413,413,364,true,1111,49,49,4,16,0
openflights-n_200,64,106,26,26,22,true,57,4,4,0,2,0
openflights-n_2000,1794,13285,593,593,535,true,1691,58,58,5,18,0
openflights-n_2942,2939,30501,998,998,858,true,2676,139,140,6,178,1
openflights-n_50,4,4,2,2,2,true,4,0,0,0,1,0
openflights-n_500,226,770,80,80,69,true,207,11,11,1,4,0
out.cfinder-google-n_100,8,7,6,6,6,true,8,0,0,0,0,0
out.cfinder-google-n_1000,413,576,100,100,94,true,404,6,6,0,3,0
out.cfinder-google-n_10000,9678,70276,3133,3133,1603,true,7514,1530,1530,87,430,0
out.cfinder-google-n_1500,723,1120,188,188,157,true,678,31,31,3,12,0
out.cfinder-google-n_200,32,27,13,13,13,true,32,0,0,0,1,0
out.cfinder-google-n_2000,1384,3224,307,307,244,true,1294,63,63,8,20,0
out.cfinder-google-n_3000,2127,5857,574,574,400,true,1880,174,174,14,48,0
out.cfinder-google-n_4000,3184,11463,852,852,555,true,2768,297,297,21,82,0
out.cfinder-google-n_50,8,8,7,7,7,true,8,0,0,0,1,0
out.cfinder-google-n_500,119,142,37,37,35,true,116,2,2,1,1,0
out.cfinder-google-n_5000,4366,19192,1200,1200,740,true,3722,460,460,36,134,0
out.cfinder-google-n_6000,5853,31372,1581,1581,901,true,4916,680,680,56,200,0
out.cfinder-google-n_7000,6186,31254,1928,1928,1091,true,5038,836,837,53,197,6
out.cfinder-google-n_8000,7228,48521,2338,2338,1204,true,5596,1134,1134,72,305,0
out.cfinder-google-n_9000,8186,53109,2698,2698,1380,true,6392,1318,1318,76,317,0
talk-oc-n_100,0,0,0,0,0,true,0,0,0,0,1,0
talk-oc-n_1000,589,757,7,7,7,true,589,0,0,0,1,0
talk-oc-n_1500,284,489,15,15,15,true,284,0,0,0,1,0
talk-oc-n_200,81,78,0,0,0,true,81,0,0,0,1,0
talk-oc-n_2000,408,605,15,15,15,true,408,0,0,0,1,0
talk-oc-n_3000,2997,4263,29,29,29,true,2997,0,0,0,4,0
talk-oc-n_3066,3064,4464,30,30,30,true,3064,0,0,0,3,0
talk-oc-n_50,0,0,0,0,0,true,0,0,0,0,1,0
talk-oc-n_500,26,22,3,3,3,true,26,0,0,0,1,0
temporalGraph-n_100,2,1,0,0,0,true,2,0,0,0,1,0
temporalGraph-n_1000,622,1447,40,40,40,true,622,0,0,0,2,0
temporalGraph-n_1500,1343,3437,77,77,61,true,1310,16,16,0,3,0
