name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,packing_size,heuristic_size,packing_millis,millis,recursive_steps
e_001,475,651,-1,2,2,true,475,0,0,0,85,0
e_003,1024,6055,-1,681,47,false,105,623,635,55191,90001,408321
e_005,1024,5736,-1,636,60,false,149,564,577,68364,90001,460451
e_007,912,4198,-1,276,203,true,775,73,73,7,23,0
e_009,1000,6804,-1,450,224,true,620,226,226,11,43,0
e_011,4086,15076,-1,1920,741,false,1873,1148,1185,77557,90001,119135
e_013,1924,7038,-1,547,282,true,1411,254,265,15,2554,46
e_015,1979,9390,-1,788,287,true,1078,493,501,10,1873,37
e_017,886,3800,-1,364,259,true,698,105,105,5,23,0
e_019,2034,11718,-1,1137,125,true,374,1001,1012,37,2099,424
e_021,1872,6147,-1,510,259,true,1395,234,251,8,3611,43
e_023,1600,5400,-1,452,371,true,1457,81,81,4,21,0
e_025,860,2802,-1,273,213,true,761,60,60,3,18,0
e_027,1899,9406,-1,575,429,true,1653,146,146,7,31,0
e_029,1938,11302,-1,715,492,true,1551,223,223,9,44,0
e_031,4053,26071,-1,2079,427,true,1219,1633,1652,1713,6281,16629
e_033,850,2010,-1,277,185,true,697,91,92,7,675,1
e_035,4095,17074,-1,2203,317,false,748,1818,1891,74501,90001,74904
e_037,4094,28675,-1,2734,89,false,221,2531,2664,12755,90001,40309
e_039,928,2570,-1,400,177,true,567,222,223,12,422,5
e_041,4093,27082,-1,2564,156,false,418,2301,2425,30919,90002,49170
e_043,1623,5700,-1,521,437,true,1475,84,84,7,39,0
e_045,4093,30202,-1,2907,52,false,121,2742,2872,5578,90002,30136
e_047,4092,28612,-1,2730,110,false,265,2502,2641,5822,90001,32194
e_049,4057,23857,-1,2043,348,true,1106,1652,1695,77,5003,1054
e_051,3855,12946,-1,2096,749,false,1591,1319,1352,72688,90001,354054
e_053,4080,26872,-1,2628,161,false,407,2457,2468,69622,90001,1806458
e_055,3844,12085,-1,1563,877,false,2017,681,687,39925,90001,403304
e_057,3847,12298,-1,1957,827,false,1926,1110,1131,67412,90001,321782
e_059,722,1124,-1,214,155,true,618,59,59,5,20,0
e_061,1724,4320,-1,554,394,true,1451,158,160,6,370,2
e_063,4062,23766,-1,2267,312,true,875,1928,1955,64,3084,812
e_065,8089,48759,-1,3709,1060,true,3382,2613,2649,1380,5313,18029
e_067,1392,4241,-1,513,432,true,1259,81,81,4,22,0
e_069,4053,22368,-1,2092,416,true,1234,1652,1676,56,2621,442
e_071,1789,4896,-1,675,438,true,1391,236,237,13,142,1
e_073,8132,51796,-1,4420,662,true,1975,3682,3758,6883,18873,103956
e_075,8189,31504,-1,4092,1128,false,2787,2870,2982,49772,90002,31597
e_077,8168,54744,-1,5112,305,false,768,4788,4808,45721,90001,1177185
e_079,8153,52154,-1,4665,438,false,1135,4188,4229,60412,90001,715983
e_081,8142,51030,-1,4887,456,true,1184,4402,4432,17576,36896,197839
e_083,1712,3537,-1,745,454,true,1246,291,291,21,55,0
e_085,8189,69446,-1,6447,29,false,58,6114,6419,3794,34550,2225
e_087,8190,69372,-1,6450,31,false,62,6114,6420,3833,34719,2080
e_089,8168,55556,-1,5098,248,false,780,4520,4852,5844,45133,4893
e_091,1726,3364,-1,755,504,true,1320,250,251,22,193,1
e_093,16333,109487,-1,9520,552,false,1345,8932,8972,67463,90001,1891410
e_095,8174,59029,-1,5379,175,false,510,4871,5205,3168,28158,2128
e_097,16314,103725,-1,9414,920,false,2395,8438,8495,70394,90001,1580825
e_099,8061,38175,-1,4752,731,true,1779,4016,4021,92,555,50
e_101,32724,246723,-1,17060,755,false,1788,16237,16316,61296,90001,1691387
e_103,16384,77536,-1,10444,58,false,116,9810,10387,23540,91705,2012
e_105,2048,10584,-1,59,3,false,1304,41,57,72506,90001,21336
e_107,16316,104833,-1,9215,741,false,2598,7794,8475,9553,96500,2361
e_109,16382,149298,-1,13124,23,false,46,12436,13102,21550,99715,1800
e_111,2048,31904,-1,1790,0,false,0,1706,1791,33466,90001,347257
e_113,1024,25750,-1,935,0,false,0,900,936,30113,90001,891009
e_115,32766,304304,-1,25054,91,false,229,23406,24964,104181,216565,0
e_117,32764,304790,-1,25071,110,false,259,23387,24962,106889,217933,0
e_119,32751,272707,-1,22742,399,false,1123,20548,22344,96629,176360,0
e_121,1024,5480,-1,80,3,false,499,56,79,76108,90001,38576
e_123,32735,256256,-1,21510,592,false,1842,19207,20919,93136,162243,0
e_125,32759,288748,-1,23852,225,false,591,21968,23628,103903,193568,0
e_127,2046,25492,-1,1530,3,false,22,1379,1528,76174,90001,182495
e_129,32732,256665,-1,21464,592,false,1831,19179,20873,84652,159414,0
e_131,32719,240240,-1,20337,864,false,2833,17797,19474,70192,121315,0
e_133,2046,22332,-1,1367,28,false,113,1194,1343,73658,90001,98547
e_135,32716,240816,-1,20304,859,false,2849,17813,19446,76528,133972,0
e_137,2048,7003,-1,71,4,false,1408,53,68,72190,90001,34100
e_139,65535,288492,-1,39196,1804,false,3835,35629,37393,269927,408065,0
e_141,65536,303686,-1,41424,280,false,560,38958,41145,306196,512420,0
e_143,65536,303696,-1,41456,257,false,515,38992,41200,299942,513634,0
e_145,2048,27086,-1,1574,0,false,11,1450,1584,59150,90001,232572
e_147,1024,25052,-1,934,0,false,0,901,935,28319,90001,839812
e_149,1024,3624,-1,57,2,false,624,38,56,67517,90001,66424
e_151,65534,653240,-1,50811,161,false,381,47407,50651,572652,1158402,0
e_153,2043,22306,-1,1411,19,false,72,1226,1394,75342,90001,202143
e_155,65529,619239,-1,48493,281,false,777,44681,48213,641902,1166927,0
e_157,65536,652583,-1,50858,152,false,355,47459,50707,590088,1188823,0
e_159,65503,550097,-1,43982,966,false,2991,39250,43017,378066,741725,0
e_161,2048,28713,-1,1621,3,false,6,1509,1631,49952,90001,221752
e_163,131067,574081,-1,3743,3743,false,7979,0,0,0,90025,0
e_165,131072,603932,-1,542,542,false,1084,0,0,0,90031,0
e_167,1024,5487,-1,75,2,false,461,56,74,68628,90002,31082
e_169,131072,604300,-1,642,569,false,1138,0,0,0,90040,0
e_171,131072,604042,-1,618,545,false,1090,0,0,0,90036,0
e_173,1024,23175,-1,865,0,false,0,800,868,66512,90001,560763
e_175,2043,22520,-1,1373,16,false,81,1212,1362,70580,90001,109548
e_177,32766,320320,-1,1379,22,false,44,0,0,0,90010,0
e_179,2048,27346,-1,1565,5,false,21,1428,1573,54079,90001,212448
e_181,32767,321088,-1,1578,18,false,36,0,0,0,90004,0
e_183,1024,5471,-1,66,0,false,475,49,67,71705,90001,32541
e_185,4096,62879,-1,3335,2,false,6,3052,3341,4417,90005,18834
e_187,1024,3632,-1,62,1,false,597,40,62,70530,90001,57288
e_189,999,2048,-1,51,5,false,756,34,49,67294,90001,160739
e_191,2005,4143,-1,106,4,false,1494,62,103,72614,90001,60065
e_193,1024,17144,-1,770,3,false,19,659,768,69771,90001,233174
e_195,1024,32768,-1,831,0,false,0,411,832,62056,90001,135216
e_197,4096,93346,-1,3387,1,false,11,2907,3392,4843,90003,15474
e_199,16384,559996,-1,3386,0,false,0,13969,0,59647,194042,0
