name,k_optimal,k_approx,millis
advotogo-n_100,2,2,36
advotogo-n_1000,127,131,26
advotogo-n_1500,215,228,10
advotogo-n_200,9,10,2
advotogo-n_2000,297,309,7
advotogo-n_3000,548,584,31
advotogo-n_4000,863,1097,104
advotogo-n_500,39,40,2
advotogo-n_5000,1160,1535,155
advotogo-n_5159,1208,1590,132
bitcoinalpha-n_100,2,2,1
bitcoinalpha-n_1000,136,137,2
bitcoinalpha-n_1500,261,262,2
bitcoinalpha-n_200,11,11,2
bitcoinalpha-n_2000,393,399,2
bitcoinalpha-n_3000,658,663,4
bitcoinalpha-n_3785,921,932,8
bitcoinalpha-n_50,2,2,1
bitcoinalpha-n_500,54,56,2
blogs-n_100,8,8,1
blogs-n_1000,196,377,18
blogs-n_1227,262,519,39
blogs-n_200,16,16,3
blogs-n_50,6,6,1
blogs-n_500,76,91,3
chess-n_1000,62,102,3
chess-n_1500,127,216,9
chess-n_200,2,2,1
chess-n_2000,204,389,17
chess-n_500,17,17,1
ChicagoRegional-n_100,1,1,1
ChicagoRegional-n_1000,92,92,1
ChicagoRegional-n_10000,4193,4500,100
ChicagoRegional-n_1500,181,182,1
ChicagoRegional-n_200,5,5,1
ChicagoRegional-n_2000,307,311,1
ChicagoRegional-n_3000,631,640,2
ChicagoRegional-n_4000,1020,1030,1
ChicagoRegional-n_50,2,2,2
ChicagoRegional-n_500,24,24,1
ChicagoRegional-n_5000,1484,1516,6
ChicagoRegional-n_6000,1987,2067,7
ChicagoRegional-n_7000,2495,2574,11
ChicagoRegional-n_8000,3028,3163,19
ChicagoRegional-n_9000,3651,3860,47
health-n_100,4,4,1
health-n_1000,231,239,1
health-n_1500,446,511,7
health-n_200,17,17,0
health-n_2000,674,977,50
health-n_2542,960,1558,144
health-n_50,2,2,1
health-n_500,67,69,1
link-kv-n_100,8,10,1
link-kv-n_1000,234,260,7
link-kv-n_1500,391,434,13
link-kv-n_200,20,24,1
link-kv-n_2000,565,654,41
link-kv-n_3000,900,1070,89
link-kv-n_4000,1244,1532,253
link-kv-n_500,83,98,2
link-kv-n_5000,1670,2069,447
link-kv-n_6000,2014,2563,709
link-kv-n_6916,2364,3028,1083
openflights-n_100,10,10,1
openflights-n_1000,201,213,1
openflights-n_1500,413,433,3
openflights-n_200,26,29,1
openflights-n_2000,593,616,4
openflights-n_2942,998,1057,10
openflights-n_50,2,2,1
openflights-n_500,80,87,1
out.cfinder-google-n_100,6,6,1
out.cfinder-google-n_1000,100,103,1
out.cfinder-google-n_10000,3133,3863,436
out.cfinder-google-n_1500,188,202,1
out.cfinder-google-n_200,13,13,1
out.cfinder-google-n_2000,307,334,2
