name,k_optimal,k_approx,millis
advotogo-n_100,2,2,19
advotogo-n_1000,127,131,11
advotogo-n_1500,215,228,11
advotogo-n_200,9,10,2
advotogo-n_2000,297,309,8
advotogo-n_3000,548,584,25
advotogo-n_4000,863,1097,298
advotogo-n_500,39,40,2
advotogo-n_5000,1160,1535,362
advotogo-n_5159,1208,1590,354
bitcoinalpha-n_100,2,2,1
bitcoinalpha-n_1000,136,137,1
bitcoinalpha-n_1500,261,262,2
bitcoinalpha-n_200,11,11,1
bitcoinalpha-n_2000,393,399,1
bitcoinalpha-n_3000,658,663,4
bitcoinalpha-n_3785,921,932,7
bitcoinalpha-n_50,2,2,1
bitcoinalpha-n_500,54,56,1
blogs-n_100,8,8,1
blogs-n_1000,196,377,50
blogs-n_1227,262,519,95
blogs-n_200,16,16,1
blogs-n_50,6,6,1
blogs-n_500,76,91,3
chess-n_1000,62,102,4
chess-n_1500,127,216,15
chess-n_200,2,2,1
chess-n_2000,204,389,48
chess-n_500,17,17,1
ChicagoRegional-n_100,1,1,1
ChicagoRegional-n_1000,92,92,1
ChicagoRegional-n_10000,4193,4500,452
ChicagoRegional-n_1500,181,182,1
ChicagoRegional-n_200,5,5,0
ChicagoRegional-n_2000,307,311,1
ChicagoRegional-n_3000,631,640,2
ChicagoRegional-n_4000,1020,1030,2
ChicagoRegional-n_50,2,2,1
ChicagoRegional-n_500,24,24,1
ChicagoRegional-n_5000,1484,1516,4
ChicagoRegional-n_6000,1987,2067,15
ChicagoRegional-n_7000,2495,2574,22
ChicagoRegional-n_8000,3028,3163,64
ChicagoRegional-n_9000,3651,3860,206
health-n_100,4,4,1
health-n_1000,231,239,2
health-n_1500,446,511,16
health-n_200,17,17,1
health-n_2000,674,977,175
health-n_2542,960,1558,654
health-n_50,2,2,0
health-n_500,67,69,1
link-kv-n_100,8,10,1
link-kv-n_1000,234,260,15
link-kv-n_1500,391,434,45
link-kv-n_200,20,24,1
link-kv-n_2000,565,654,145
link-kv-n_3000,900,1070,422
link-kv-n_4000,1244,1532,1075
link-kv-n_500,83,98,2
link-kv-n_5000,1670,2069,2382
link-kv-n_6000,2014,2563,3791
link-kv-n_6916,2364,3028,5796
openflights-n_100,10,10,0
openflights-n_1000,201,213,1
openflights-n_1500,413,433,4
openflights-n_200,26,29,1
openflights-n_2000,593,616,5
openflights-n_2942,998,1057,25
openflights-n_50,2,2,1
openflights-n_500,80,87,0
out.cfinder-google-n_100,6,6,1
out.cfinder-google-n_1000,100,103,1
out.cfinder-google-n_10000,3133,3863,2006
out.cfinder-google-n_1500,188,202,1
out.cfinder-google-n_200,13,13,0
out.cfinder-google-n_2000,307,334,3
out.cfinder-google-n_3000,574,645,17
out.cfinder-google-n_4000,852,979,50
out.cfinder-google-n_50,7,7,1
out.cfinder-google-n_500,37,38,0
out.cfinder-google-n_5000,1200,1393,134
out.cfinder-google-n_6000,1581,1875,432
out.cfinder-google-n_7000,1928,2251,416
out.cfinder-google-n_8000,2338,3024,1170
out.cfinder-google-n_9000,2698,3299,1567
talk-oc-n_1000,7,7,0
talk-oc-n_1500,15,15,1
talk-oc-n_2000,15,15,1
talk-oc-n_3000,29,29,1
talk-oc-n_3066,30,30,1
talk-oc-n_500,3,3,1
temporalGraph-n_1000,40,40,1
temporalGraph-n_1500,77,87,1
temporalGraph-n_1868,106,113,3
temporalGraph-n_200,5,5,0
temporalGraph-n_50,3,3,1
temporalGraph-n_500,17,21,1
ucsocial-n_100,5,5,0
ucsocial-n_1000,258,280,4
ucsocial-n_1500,435,527,57
ucsocial-n_1902,585,695,60
ucsocial-n_200,23,23,1
ucsocial-n_50,3,3,0
ucsocial-n_500,80,80,0
usairport-n_100,13,13,1
usairport-n_1000,253,297,16
usairport-n_1500,428,556,52
usairport-n_1577,455,597,55
usairport-n_200,29,34,0
usairport-n_50,5,7,1
usairport-n_500,112,136,3
wikispeedia-n_1000,156,166,1
wikispeedia-n_1500,271,402,26
wikispeedia-n_200,14,14,1
wikispeedia-n_2000,437,716,115
wikispeedia-n_3000,804,1615,783
wikispeedia-n_500,56,65,1
synth-n_100-m_1093-k_5-p_0.2.txt,5,5,1
synth-n_100-m_1146-k_10-p_0.2.txt,10,67,4
synth-n_100-m_1151-k_15-p_0.2.txt,15,73,5
synth-n_100-m_1229-k_20-p_0.2.txt,20,81,5
synth-n_100-m_1263-k_25-p_0.2.txt,25,78,5
synth-n_100-m_1275-k_30-p_0.2.txt,30,83,5
synth-n_100-m_263-k_5-p_0.05.txt,5,5,1
synth-n_100-m_289-k_10-p_0.05.txt,4,14,1
synth-n_100-m_302-k_15-p_0.05.txt,8,12,1
synth-n_100-m_332-k_20-p_0.05.txt,14,34,2
synth-n_100-m_336-k_30-p_0.05.txt,15,37,2
synth-n_100-m_343-k_25-p_0.05.txt,14,36,1
synth-n_100-m_515-k_5-p_0.1.txt,5,37,2
synth-n_100-m_591-k_15-p_0.1.txt,15,53,3
synth-n_100-m_611-k_10-p_0.1.txt,10,52,3
synth-n_100-m_628-k_20-p_0.1.txt,20,56,3
synth-n_100-m_691-k_25-p_0.1.txt,25,68,4
synth-n_100-m_732-k_30-p_0.1.txt,30,68,4
synth-n_1000-m_107005-k_50-p_0.2.txt,50,959,2172
synth-n_1000-m_110357-k_70-p_0.2.txt,70,967,2223
synth-n_1000-m_114433-k_100-p_0.2.txt,100,966,2254
synth-n_1000-m_116757-k_120-p_0.2.txt,120,968,2285
synth-n_1000-m_119520-k_150-p_0.2.txt,150,964,2359
synth-n_1000-m_124702-k_200-p_0.2.txt,200,967,2539
synth-n_1000-m_27142-k_50-p_0.05.txt,50,870,663
synth-n_1000-m_28175-k_70-p_0.05.txt,70,867,692
synth-n_1000-m_29037-k_100-p_0.05.txt,100,868,688
synth-n_1000-m_30042-k_120-p_0.05.txt,120,882,783
synth-n_1000-m_30795-k_150-p_0.05.txt,150,877,693
synth-n_1000-m_32410-k_200-p_0.05.txt,200,887,738
synth-n_1000-m_54531-k_50-p_0.1.txt,50,932,1165
synth-n_1000-m_55974-k_70-p_0.1.txt,70,937,1132
synth-n_1000-m_57929-k_100-p_0.1.txt,100,934,1228
synth-n_1000-m_59867-k_120-p_0.1.txt,120,935,1284
synth-n_1000-m_60934-k_150-p_0.1.txt,150,930,1255
synth-n_1000-m_64710-k_200-p_0.1.txt,200,938,1338
synth-n_1300-m_104213-k_200-p_0.1.txt,200,1233,2758
synth-n_1300-m_178841-k_50-p_0.2.txt,50,1260,4561
synth-n_1300-m_183367-k_70-p_0.2.txt,70,1266,4731
synth-n_1300-m_188195-k_100-p_0.2.txt,100,1259,4805
synth-n_1300-m_191963-k_120-p_0.2.txt,120,1267,4932
synth-n_1300-m_196174-k_150-p_0.2.txt,150,1266,5075
synth-n_1300-m_204142-k_200-p_0.2.txt,200,1263,5156
synth-n_1300-m_45241-k_50-p_0.05.txt,50,1152,1359
synth-n_1300-m_46137-k_70-p_0.05.txt,70,1165,1476
synth-n_1300-m_47847-k_100-p_0.05.txt,100,1171,1441
synth-n_1300-m_49172-k_120-p_0.05.txt,120,1167,1552
synth-n_1300-m_50340-k_150-p_0.05.txt,150,1184,1614
synth-n_1300-m_52952-k_200-p_0.05.txt,200,1176,1893
synth-n_1300-m_89669-k_50-p_0.1.txt,50,1226,2725
synth-n_1300-m_92255-k_70-p_0.1.txt,70,1233,2865
synth-n_1300-m_95352-k_100-p_0.1.txt,100,1234,2999
synth-n_1300-m_97421-k_120-p_0.1.txt,120,1232,2721
synth-n_1300-m_99879-k_150-p_0.1.txt,150,1228,2689
synth-n_150-m_1254-k_10-p_0.1.txt,10,75,6
synth-n_150-m_1269-k_15-p_0.1.txt,15,83,6
