name,k_optimal,k_approx,millis
advotogo-n_100,2,2,12
advotogo-n_1000,127,129,7
advotogo-n_1500,215,224,12
advotogo-n_200,9,9,1
advotogo-n_2000,297,301,7
advotogo-n_3000,548,564,31
advotogo-n_4000,863,1089,260
advotogo-n_500,39,39,1
advotogo-n_5000,1160,1500,356
advotogo-n_5159,1208,1556,334
bitcoinalpha-n_100,2,2,1
bitcoinalpha-n_1000,136,136,1
bitcoinalpha-n_1500,261,261,2
bitcoinalpha-n_200,11,11,1
bitcoinalpha-n_2000,393,394,2
bitcoinalpha-n_3000,658,660,3
bitcoinalpha-n_3785,921,927,5
bitcoinalpha-n_50,2,2,1
bitcoinalpha-n_500,54,54,1
blogs-n_100,8,8,1
blogs-n_1000,196,361,53
blogs-n_1227,262,509,112
blogs-n_200,16,16,2
blogs-n_50,6,6,1
blogs-n_500,76,86,2
chess-n_1000,62,90,3
chess-n_1500,127,201,14
chess-n_200,2,2,1
chess-n_2000,204,347,52
chess-n_500,17,17,1
ChicagoRegional-n_100,1,1,0
ChicagoRegional-n_1000,92,92,1
ChicagoRegional-n_10000,4193,4462,355
ChicagoRegional-n_1500,181,181,1
ChicagoRegional-n_200,5,5,0
ChicagoRegional-n_2000,307,308,1
ChicagoRegional-n_3000,631,632,1
ChicagoRegional-n_4000,1020,1022,1
ChicagoRegional-n_50,2,2,1
ChicagoRegional-n_500,24,24,0
ChicagoRegional-n_5000,1484,1496,3
ChicagoRegional-n_6000,1987,2017,12
ChicagoRegional-n_7000,2495,2533,17
ChicagoRegional-n_8000,3028,3122,49
ChicagoRegional-n_9000,3651,3825,151
health-n_100,4,4,1
health-n_1000,231,231,1
health-n_1500,446,492,15
health-n_200,17,17,0
health-n_2000,674,925,172
health-n_2542,960,1465,678
health-n_50,2,2,1
health-n_500,67,68,1
link-kv-n_100,8,8,1
link-kv-n_1000,234,239,15
link-kv-n_1500,391,406,45
link-kv-n_200,20,20,1
link-kv-n_2000,565,614,160
link-kv-n_3000,900,1016,418
link-kv-n_4000,1244,1474,1102
link-kv-n_500,83,84,2
link-kv-n_5000,1670,2034,2198
link-kv-n_6000,2014,2513,3693
link-kv-n_6916,2364,2968,5796
openflights-n_100,10,10,0
openflights-n_1000,201,209,1
openflights-n_1500,413,427,3
openflights-n_200,26,26,1
openflights-n_2000,593,614,4
openflights-n_2942,998,1070,21
openflights-n_50,2,2,0
openflights-n_500,80,84,0
out.cfinder-google-n_100,6,6,0
out.cfinder-google-n_1000,100,100,1
out.cfinder-google-n_10000,3133,3463,1798
out.cfinder-google-n_1500,188,188,1
