name,k_optimal,k_approx,millis
advotogo-n_100,2,2,19
advotogo-n_1000,127,127,13
advotogo-n_1500,215,221,9
advotogo-n_200,9,9,2
advotogo-n_2000,297,299,8
advotogo-n_3000,548,558,33
advotogo-n_4000,863,993,309
advotogo-n_500,39,39,1
advotogo-n_5000,1160,1362,430
advotogo-n_5159,1208,1423,401
bitcoinalpha-n_100,2,2,1
bitcoinalpha-n_1000,136,136,1
bitcoinalpha-n_1500,261,261,1
bitcoinalpha-n_200,11,11,1
bitcoinalpha-n_2000,393,393,2
bitcoinalpha-n_3000,658,660,3
bitcoinalpha-n_3785,921,925,5
bitcoinalpha-n_50,2,2,1
bitcoinalpha-n_500,54,54,1
blogs-n_100,8,8,0
blogs-n_1000,196,332,58
blogs-n_1227,262,433,125
blogs-n_200,16,16,1
blogs-n_50,6,6,1
blogs-n_500,76,82,2
chess-n_1000,62,82,4
chess-n_1500,127,178,21
chess-n_200,2,2,0
chess-n_2000,204,315,52
chess-n_500,17,17,1
ChicagoRegional-n_100,1,1,0
ChicagoRegional-n_1000,92,92,1
ChicagoRegional-n_10000,4193,4245,366
ChicagoRegional-n_1500,181,181,1
ChicagoRegional-n_200,5,5,1
ChicagoRegional-n_2000,307,307,1
ChicagoRegional-n_3000,631,631,1
ChicagoRegional-n_4000,1020,1020,2
ChicagoRegional-n_50,2,2,1
ChicagoRegional-n_500,24,24,1
ChicagoRegional-n_5000,1484,1485,5
ChicagoRegional-n_6000,1987,1995,21
ChicagoRegional-n_7000,2495,2502,30
ChicagoRegional-n_8000,3028,3043,55
ChicagoRegional-n_9000,3651,3682,183
health-n_100,4,4,0
health-n_1000,231,231,1
health-n_1500,446,464,17
health-n_200,17,17,1
health-n_2000,674,815,204
health-n_2542,960,1271,715
health-n_50,2,2,1
health-n_500,67,68,0
link-kv-n_100,8,8,1
link-kv-n_1000,234,235,16
link-kv-n_1500,391,397,53
link-kv-n_200,20,20,0
link-kv-n_2000,565,603,166
link-kv-n_3000,900,986,463
link-kv-n_4000,1244,1414,1205
link-kv-n_500,83,84,4
link-kv-n_5000,1670,1951,2275
link-kv-n_6000,2014,2410,3948
link-kv-n_6916,2364,2878,6146
openflights-n_100,10,10,1
openflights-n_1000,201,204,2
openflights-n_1500,413,418,3
openflights-n_200,26,26,0
openflights-n_2000,593,599,5
openflights-n_2942,998,1020,24
openflights-n_50,2,2,1
openflights-n_500,80,82,1
out.cfinder-google-n_100,6,6,0
out.cfinder-google-n_1000,100,100,1
out.cfinder-google-n_10000,3133,3283,2168
out.cfinder-google-n_1500,188,188,1
out.cfinder-google-n_200,13,13,0
out.cfinder-google-n_2000,307,307,2
out.cfinder-google-n_3000,574,575,14
out.cfinder-google-n_4000,852,856,44
out.cfinder-google-n_50,7,7,0
out.cfinder-google-n_500,37,37,0
out.cfinder-google-n_5000,1200,1214,126
out.cfinder-google-n_6000,1581,1631,429
out.cfinder-google-n_7000,1928,1945,418
out.cfinder-google-n_8000,2338,2450,1167
out.cfinder-google-n_9000,2698,2843,1557
talk-oc-n_1000,7,7,1
talk-oc-n_1500,15,15,1
talk-oc-n_2000,15,15,1
talk-oc-n_3000,29,29,1
talk-oc-n_3066,30,30,1
talk-oc-n_500,3,3,0
temporalGraph-n_1000,40,40,1
temporalGraph-n_1500,77,83,2
temporalGraph-n_1868,106,112,2
temporalGraph-n_200,5,5,1
temporalGraph-n_50,3,3,0
temporalGraph-n_500,17,21,0
ucsocial-n_100,5,5,1
ucsocial-n_1000,258,270,3
ucsocial-n_1500,435,504,45
ucsocial-n_1902,585,656,53
ucsocial-n_200,23,23,0
ucsocial-n_50,3,3,0
ucsocial-n_500,80,80,1
usairport-n_100,13,13,0
usairport-n_1000,253,283,13
usairport-n_1500,428,517,69
usairport-n_1577,455,575,67
usairport-n_200,29,32,0
usairport-n_50,5,5,0
usairport-n_500,112,127,2
wikispeedia-n_1000,156,157,1
wikispeedia-n_1500,271,349,27
wikispeedia-n_200,14,14,1
