name,k_optimal,k_approx,millis
advotogo-n_100,2,2,18
advotogo-n_1000,127,129,10
advotogo-n_1500,215,224,10
advotogo-n_200,9,9,1
advotogo-n_2000,297,301,9
advotogo-n_3000,548,564,30
advotogo-n_4000,863,1089,334
advotogo-n_500,39,39,2
advotogo-n_5000,1160,1500,369
advotogo-n_5159,1208,1556,359
bitcoinalpha-n_100,2,2,1
bitcoinalpha-n_1000,136,136,2
bitcoinalpha-n_1500,261,261,1
bitcoinalpha-n_200,11,11,1
bitcoinalpha-n_2000,393,394,2
bitcoinalpha-n_3000,658,660,3
bitcoinalpha-n_3785,921,927,5
bitcoinalpha-n_50,2,2,1
bitcoinalpha-n_500,54,54,1
blogs-n_100,8,8,1
blogs-n_1000,196,361,55
blogs-n_1227,262,509,130
blogs-n_200,16,16,1
blogs-n_50,6,6,1
blogs-n_500,76,86,2
chess-n_1000,62,90,5
chess-n_1500,127,201,17
chess-n_200,2,2,1
chess-n_2000,204,347,57
chess-n_500,17,17,1
ChicagoRegional-n_100,1,1,1
ChicagoRegional-n_1000,92,92,0
ChicagoRegional-n_10000,4193,4462,340
ChicagoRegional-n_1500,181,181,1
ChicagoRegional-n_200,5,5,0
ChicagoRegional-n_2000,307,308,1
ChicagoRegional-n_3000,631,632,1
ChicagoRegional-n_4000,1020,1022,2
ChicagoRegional-n_50,2,2,1
ChicagoRegional-n_500,24,24,0
ChicagoRegional-n_5000,1484,1496,4
ChicagoRegional-n_6000,1987,2017,18
ChicagoRegional-n_7000,2495,2533,38
ChicagoRegional-n_8000,3028,3122,68
ChicagoRegional-n_9000,3651,3825,173
health-n_100,4,4,1
health-n_1000,231,231,2
health-n_1500,446,492,16
health-n_200,17,17,0
health-n_2000,674,925,172
health-n_2542,960,1465,826
health-n_50,2,2,0
health-n_500,67,68,1
link-kv-n_100,8,8,1
link-kv-n_1000,234,239,15
link-kv-n_1500,391,406,48
link-kv-n_200,20,20,0
link-kv-n_2000,565,614,163
link-kv-n_3000,900,1016,431
link-kv-n_4000,1244,1474,1164
link-kv-n_500,83,84,2
link-kv-n_5000,1670,2034,2351
link-kv-n_6000,2014,2513,4062
link-kv-n_6916,2364,2968,6140
openflights-n_100,10,10,1
openflights-n_1000,201,209,2
openflights-n_1500,413,427,6
openflights-n_200,26,26,1
openflights-n_2000,593,614,7
openflights-n_2942,998,1070,32
openflights-n_50,2,2,1
openflights-n_500,80,84,1
out.cfinder-google-n_100,6,6,1
out.cfinder-google-n_1000,100,100,1
out.cfinder-google-n_10000,3133,3463,2055
out.cfinder-google-n_1500,188,188,1
out.cfinder-google-n_200,13,13,0
out.cfinder-google-n_2000,307,307,3
out.cfinder-google-n_3000,574,576,13
out.cfinder-google-n_4000,852,858,41
out.cfinder-google-n_50,7,7,0
out.cfinder-google-n_500,37,37,0
out.cfinder-google-n_5000,1200,1229,115
out.cfinder-google-n_6000,1581,1694,526
out.cfinder-google-n_7000,1928,2005,373
out.cfinder-google-n_8000,2338,2591,1188
out.cfinder-google-n_9000,2698,3008,1430
talk-oc-n_1000,7,7,0
talk-oc-n_1500,15,15,1
talk-oc-n_2000,15,15,0
talk-oc-n_3000,29,29,1
talk-oc-n_3066,30,30,1
talk-oc-n_500,3,3,1
temporalGraph-n_1000,40,40,0
temporalGraph-n_1500,77,87,1
temporalGraph-n_1868,106,113,1
temporalGraph-n_200,5,5,1
temporalGraph-n_50,3,3,0
temporalGraph-n_500,17,21,1
ucsocial-n_100,5,5,1
ucsocial-n_1000,258,278,3
ucsocial-n_1500,435,548,47
ucsocial-n_1902,585,712,51
ucsocial-n_200,23,23,0
ucsocial-n_50,3,3,1
ucsocial-n_500,80,80,1
usairport-n_100,13,13,0
usairport-n_1000,253,296,12
usairport-n_1500,428,548,57
usairport-n_1577,455,587,66
usairport-n_200,29,32,1
usairport-n_50,5,6,1
usairport-n_500,112,130,3
wikispeedia-n_1000,156,160,1
wikispeedia-n_1500,271,375,25
wikispeedia-n_200,14,14,1
wikispeedia-n_2000,437,687,120
wikispeedia-n_3000,804,1542,973
wikispeedia-n_500,56,60,1
synth-n_100-m_1093-k_5-p_0.2.txt,5,5,1
synth-n_100-m_1146-k_10-p_0.2.txt,10,10,2
synth-n_100-m_1151-k_15-p_0.2.txt,15,15,3
synth-n_100-m_1229-k_20-p_0.2.txt,20,20,3
synth-n_100-m_1263-k_25-p_0.2.txt,25,25,3
synth-n_100-m_1275-k_30-p_0.2.txt,30,30,3
synth-n_100-m_263-k_5-p_0.05.txt,5,5,1
synth-n_100-m_289-k_10-p_0.05.txt,4,9,1
synth-n_100-m_302-k_15-p_0.05.txt,8,11,1
synth-n_100-m_332-k_20-p_0.05.txt,14,31,1
synth-n_100-m_336-k_30-p_0.05.txt,15,20,2
synth-n_100-m_343-k_25-p_0.05.txt,14,20,2
synth-n_100-m_515-k_5-p_0.1.txt,5,5,1
synth-n_100-m_591-k_15-p_0.1.txt,15,15,2
synth-n_100-m_611-k_10-p_0.1.txt,10,10,1
synth-n_100-m_628-k_20-p_0.1.txt,20,20,2
synth-n_100-m_691-k_25-p_0.1.txt,25,25,2
synth-n_100-m_732-k_30-p_0.1.txt,30,30,3
synth-n_1000-m_107005-k_50-p_0.2.txt,50,50,747
synth-n_1000-m_110357-k_70-p_0.2.txt,70,70,836
synth-n_1000-m_114433-k_100-p_0.2.txt,100,100,878
synth-n_1000-m_116757-k_120-p_0.2.txt,120,120,972
synth-n_1000-m_119520-k_150-p_0.2.txt,150,150,1094
synth-n_1000-m_124702-k_200-p_0.2.txt,200,200,1339
synth-n_1000-m_27142-k_50-p_0.05.txt,50,50,269
synth-n_1000-m_28175-k_70-p_0.05.txt,70,70,302
synth-n_1000-m_29037-k_100-p_0.05.txt,100,100,287
synth-n_1000-m_30042-k_120-p_0.05.txt,120,120,333
synth-n_1000-m_30795-k_150-p_0.05.txt,150,150,357
synth-n_1000-m_32410-k_200-p_0.05.txt,200,200,395
synth-n_1000-m_54531-k_50-p_0.1.txt,50,50,414
synth-n_1000-m_55974-k_70-p_0.1.txt,70,70,446
synth-n_1000-m_57929-k_100-p_0.1.txt,100,100,491
synth-n_1000-m_59867-k_120-p_0.1.txt,120,120,525
synth-n_1000-m_60934-k_150-p_0.1.txt,150,150,558
synth-n_1000-m_64710-k_200-p_0.1.txt,200,200,652
synth-n_1300-m_104213-k_200-p_0.1.txt,200,200,1199
synth-n_1300-m_178841-k_50-p_0.2.txt,50,50,1630
synth-n_1300-m_183367-k_70-p_0.2.txt,70,70,1682
synth-n_1300-m_188195-k_100-p_0.2.txt,100,100,1876
synth-n_1300-m_191963-k_120-p_0.2.txt,120,120,1889
synth-n_1300-m_196174-k_150-p_0.2.txt,150,150,2045
synth-n_1300-m_204142-k_200-p_0.2.txt,200,200,2285
synth-n_1300-m_45241-k_50-p_0.05.txt,50,50,510
synth-n_1300-m_46137-k_70-p_0.05.txt,70,70,568
synth-n_1300-m_47847-k_100-p_0.05.txt,100,100,587
synth-n_1300-m_49172-k_120-p_0.05.txt,120,120,617
synth-n_1300-m_50340-k_150-p_0.05.txt,150,150,644
synth-n_1300-m_52952-k_200-p_0.05.txt,200,200,745
synth-n_1300-m_89669-k_50-p_0.1.txt,50,50,866
synth-n_1300-m_92255-k_70-p_0.1.txt,70,70,1093
synth-n_1300-m_95352-k_100-p_0.1.txt,100,100,1001
synth-n_1300-m_97421-k_120-p_0.1.txt,120,120,1051
synth-n_1300-m_99879-k_150-p_0.1.txt,150,150,1305
synth-n_150-m_1254-k_10-p_0.1.txt,10,10,3
synth-n_150-m_1269-k_15-p_0.1.txt,15,15,3
synth-n_150-m_1284-k_20-p_0.1.txt,20,20,5
synth-n_150-m_1385-k_25-p_0.1.txt,25,25,5
