name,k_optimal,k_approx,millis
advotogo-n_100,2,2,17
advotogo-n_1000,127,129,6
advotogo-n_1500,215,232,9
advotogo-n_200,9,9,1
advotogo-n_2000,297,303,7
advotogo-n_3000,548,627,21
advotogo-n_4000,863,1528,130
advotogo-n_500,39,39,1
advotogo-n_5000,1160,2113,216
advotogo-n_5159,1208,2170,180
bitcoinalpha-n_100,2,2,1
bitcoinalpha-n_1000,136,136,1
bitcoinalpha-n_1500,261,261,1
bitcoinalpha-n_200,11,11,1
bitcoinalpha-n_2000,393,403,2
bitcoinalpha-n_3000,658,672,5
bitcoinalpha-n_3785,921,948,6
bitcoinalpha-n_50,2,2,1
bitcoinalpha-n_500,54,56,1
blogs-n_100,8,8,1
blogs-n_1000,196,546,28
blogs-n_1227,262,756,51
blogs-n_200,16,16,1
blogs-n_50,6,6,1
blogs-n_500,76,129,2
chess-n_1000,62,139,2
chess-n_1500,127,329,6
chess-n_200,2,2,1
chess-n_2000,204,613,21
chess-n_500,17,17,1
ChicagoRegional-n_100,1,1,0
ChicagoRegional-n_1000,92,92,1
ChicagoRegional-n_10000,4193,4874,106
ChicagoRegional-n_1500,181,181,1
ChicagoRegional-n_200,5,5,0
ChicagoRegional-n_2000,307,309,1
ChicagoRegional-n_3000,631,635,1
ChicagoRegional-n_4000,1020,1024,2
ChicagoRegional-n_50,2,2,1
ChicagoRegional-n_500,24,24,1
ChicagoRegional-n_5000,1484,1516,3
ChicagoRegional-n_6000,1987,2081,6
ChicagoRegional-n_7000,2495,2602,15
ChicagoRegional-n_8000,3028,3268,21
ChicagoRegional-n_9000,3651,4128,58
health-n_100,4,4,1
health-n_1000,231,232,1
health-n_1500,446,595,7
health-n_200,17,17,0
health-n_2000,674,1362,67
health-n_2542,960,2317,262
health-n_50,2,2,1
health-n_500,67,68,0
link-kv-n_100,8,8,1
link-kv-n_1000,234,272,6
link-kv-n_1500,391,489,23
link-kv-n_200,20,20,1
link-kv-n_2000,565,793,70
link-kv-n_3000,900,1410,236
link-kv-n_4000,1244,2076,621
link-kv-n_500,83,88,1
link-kv-n_5000,1670,2846,1309
link-kv-n_6000,2014,3490,2239
link-kv-n_6916,2364,4259,3464
openflights-n_100,10,10,1
openflights-n_1000,201,212,1
openflights-n_1500,413,453,2
openflights-n_200,26,28,0
openflights-n_2000,593,640,3
openflights-n_2942,998,1150,10
openflights-n_50,2,2,1
openflights-n_500,80,88,1
out.cfinder-google-n_100,6,6,1
out.cfinder-google-n_1000,100,100,1
out.cfinder-google-n_10000,3133,3763,708
out.cfinder-google-n_1500,188,188,1
out.cfinder-google-n_200,13,13,0
out.cfinder-google-n_2000,307,307,2
out.cfinder-google-n_3000,574,576,6
out.cfinder-google-n_4000,852,868,15
out.cfinder-google-n_50,7,7,0
out.cfinder-google-n_500,37,37,1
out.cfinder-google-n_5000,1200,1285,48
out.cfinder-google-n_6000,1581,1829,156
out.cfinder-google-n_7000,1928,2083,131
out.cfinder-google-n_8000,2338,2841,448
out.cfinder-google-n_9000,2698,3222,514
talk-oc-n_1000,7,7,1
talk-oc-n_1500,15,15,1
talk-oc-n_2000,15,15,1
talk-oc-n_3000,29,29,1
talk-oc-n_3066,30,30,1
talk-oc-n_500,3,3,1
temporalGraph-n_1000,40,40,1
temporalGraph-n_1500,77,110,2
temporalGraph-n_1868,106,134,1
temporalGraph-n_200,5,5,1
temporalGraph-n_50,3,3,1
temporalGraph-n_500,17,26,0
ucsocial-n_100,5,5,0
ucsocial-n_1000,258,330,2
ucsocial-n_1500,435,840,19
ucsocial-n_1902,585,975,22
ucsocial-n_200,23,23,0
ucsocial-n_50,3,3,1
ucsocial-n_500,80,80,1
usairport-n_100,13,13,0
usairport-n_1000,253,406,7
usairport-n_1500,428,790,29
usairport-n_1577,455,786,31
usairport-n_200,29,45,0
usairport-n_50,5,6,0
usairport-n_500,112,174,2
wikispeedia-n_1000,156,173,2
wikispeedia-n_1500,271,576,12
wikispeedia-n_200,14,14,1
wikispeedia-n_2000,437,1058,53
wikispeedia-n_3000,804,2382,420
wikispeedia-n_500,56,71,0
synth-n_100-m_1093-k_5-p_0.2.txt,5,5,1
synth-n_100-m_1146-k_10-p_0.2.txt,10,135,2
synth-n_100-m_1151-k_15-p_0.2.txt,15,143,2
synth-n_100-m_1229-k_20-p_0.2.txt,20,162,3
synth-n_100-m_1263-k_25-p_0.2.txt,25,135,2
synth-n_100-m_1275-k_30-p_0.2.txt,30,129,3
synth-n_100-m_263-k_5-p_0.05.txt,5,5,0
synth-n_100-m_289-k_10-p_0.05.txt,4,9,0
synth-n_100-m_302-k_15-p_0.05.txt,8,12,1
synth-n_100-m_332-k_20-p_0.05.txt,14,41,1
synth-n_100-m_336-k_30-p_0.05.txt,15,50,1
synth-n_100-m_343-k_25-p_0.05.txt,14,59,1
synth-n_100-m_515-k_5-p_0.1.txt,5,67,1
synth-n_100-m_591-k_15-p_0.1.txt,15,116,1
synth-n_100-m_611-k_10-p_0.1.txt,10,92,1
synth-n_100-m_628-k_20-p_0.1.txt,20,111,2
synth-n_100-m_691-k_25-p_0.1.txt,25,130,2
synth-n_100-m_732-k_30-p_0.1.txt,30,136,2
synth-n_1000-m_107005-k_50-p_0.2.txt,50,1588,898
synth-n_1000-m_110357-k_70-p_0.2.txt,70,1819,943
synth-n_1000-m_114433-k_100-p_0.2.txt,100,1489,985
synth-n_1000-m_116757-k_120-p_0.2.txt,120,1585,1005
synth-n_1000-m_119520-k_150-p_0.2.txt,150,1734,1037
synth-n_1000-m_124702-k_200-p_0.2.txt,200,1708,1086
synth-n_1000-m_27142-k_50-p_0.05.txt,50,1566,300
synth-n_1000-m_28175-k_70-p_0.05.txt,70,1765,315
synth-n_1000-m_29037-k_100-p_0.05.txt,100,1722,324
synth-n_1000-m_30042-k_120-p_0.05.txt,120,1608,344
synth-n_1000-m_30795-k_150-p_0.05.txt,150,1731,347
synth-n_1000-m_32410-k_200-p_0.05.txt,200,1789,365
synth-n_1000-m_54531-k_50-p_0.1.txt,50,1864,511
synth-n_1000-m_55974-k_70-p_0.1.txt,70,1719,531
synth-n_1000-m_57929-k_100-p_0.1.txt,100,1782,561
synth-n_1000-m_59867-k_120-p_0.1.txt,120,1705,569
synth-n_1000-m_60934-k_150-p_0.1.txt,150,1799,584
synth-n_1000-m_64710-k_200-p_0.1.txt,200,1844,655
synth-n_1300-m_104213-k_200-p_0.1.txt,200,2431,1321
synth-n_1300-m_178841-k_50-p_0.2.txt,50,1911,1907
synth-n_1300-m_183367-k_70-p_0.2.txt,70,1861,1967
synth-n_1300-m_188195-k_100-p_0.2.txt,100,1929,2067
synth-n_1300-m_191963-k_120-p_0.2.txt,120,2289,2131
synth-n_1300-m_196174-k_150-p_0.2.txt,150,2043,2192
synth-n_1300-m_204142-k_200-p_0.2.txt,200,2117,2313
synth-n_1300-m_45241-k_50-p_0.05.txt,50,2146,613
synth-n_1300-m_46137-k_70-p_0.05.txt,70,2250,641
synth-n_1300-m_47847-k_100-p_0.05.txt,100,2261,659
synth-n_1300-m_49172-k_120-p_0.05.txt,120,2183,685
synth-n_1300-m_50340-k_150-p_0.05.txt,150,2385,699
synth-n_1300-m_52952-k_200-p_0.05.txt,200,2270,741
synth-n_1300-m_89669-k_50-p_0.1.txt,50,2182,1053
synth-n_1300-m_92255-k_70-p_0.1.txt,70,1861,1080
synth-n_1300-m_95352-k_100-p_0.1.txt,100,2339,1128
synth-n_1300-m_97421-k_120-p_0.1.txt,120,2421,1176
synth-n_1300-m_99879-k_150-p_0.1.txt,150,2348,1227
synth-n_150-m_1254-k_10-p_0.1.txt,10,175,3
synth-n_150-m_1269-k_15-p_0.1.txt,15,148,2
synth-n_150-m_1284-k_20-p_0.1.txt,20,155,3
synth-n_150-m_1385-k_25-p_0.1.txt,25,182,3
synth-n_150-m_1423-k_30-p_0.1.txt,30,218,4
synth-n_150-m_1564-k_50-p_0.1.txt,48,222,4
synth-n_150-m_2446-k_10-p_0.2.txt,10,233,5
synth-n_150-m_2502-k_15-p_0.2.txt,15,184,5
synth-n_150-m_2552-k_20-p_0.2.txt,20,221,5
synth-n_150-m_2731-k_25-p_0.2.txt,25,207,5
synth-n_150-m_2807-k_30-p_0.2.txt,30,245,5
synth-n_150-m_3040-k_50-p_0.2.txt,50,213,6
synth-n_150-m_3050-k_70-p_0.2.txt,70,217,6
synth-n_150-m_630-k_15-p_0.05.txt,15,69,2
synth-n_150-m_634-k_10-p_0.05.txt,7,7,1
synth-n_150-m_666-k_20-p_0.05.txt,15,97,1
synth-n_150-m_704-k_25-p_0.05.txt,23,125,2
synth-n_150-m_781-k_50-p_0.05.txt,32,148,3
synth-n_150-m_782-k_30-p_0.05.txt,28,144,2
synth-n_150-m_805-k_70-p_0.05.txt,43,164,3
synth-n_1600-m_137884-k_70-p_0.1.txt,70,2843,1966
synth-n_1600-m_141523-k_100-p_0.1.txt,100,2955,2030
synth-n_1600-m_143789-k_120-p_0.1.txt,120,2915,2076
synth-n_1600-m_147721-k_150-p_0.1.txt,150,2819,2179
synth-n_1600-m_152838-k_200-p_0.1.txt,200,2986,2280
synth-n_1600-m_273042-k_70-p_0.2.txt,70,2390,3597
synth-n_1600-m_279359-k_100-p_0.2.txt,100,2905,3760
synth-n_1600-m_284773-k_120-p_0.2.txt,120,2041,3902
synth-n_1600-m_290831-k_150-p_0.2.txt,150,2619,3949
synth-n_1600-m_301143-k_200-p_0.2.txt,200,2434,4190
synth-n_1600-m_68907-k_70-p_0.05.txt,70,2717,1120
synth-n_1600-m_70865-k_100-p_0.05.txt,100,2986,1158
synth-n_1600-m_72748-k_120-p_0.05.txt,120,2994,1204
synth-n_1600-m_74607-k_150-p_0.05.txt,150,2871,1243
synth-n_1600-m_77345-k_200-p_0.05.txt,200,2873,1294
synth-n_200-m_1076-k_10-p_0.05.txt,10,10,0
synth-n_200-m_1167-k_15-p_0.05.txt,15,170,3
synth-n_200-m_1175-k_20-p_0.05.txt,20,204,4
synth-n_200-m_1245-k_25-p_0.05.txt,24,213,4
synth-n_200-m_1266-k_30-p_0.05.txt,30,208,5
synth-n_200-m_1336-k_50-p_0.05.txt,45,250,5
synth-n_200-m_2169-k_15-p_0.1.txt,15,254,6
synth-n_200-m_2199-k_10-p_0.1.txt,10,212,6
synth-n_200-m_2293-k_20-p_0.1.txt,20,292,6
synth-n_200-m_2369-k_25-p_0.1.txt,25,271,6
synth-n_200-m_2491-k_30-p_0.1.txt,30,300,7
synth-n_200-m_2592-k_50-p_0.1.txt,50,306,7
synth-n_200-m_2772-k_70-p_0.1.txt,70,307,9
synth-n_200-m_4301-k_10-p_0.2.txt,10,293,10
synth-n_200-m_4485-k_20-p_0.2.txt,20,336,10
synth-n_200-m_4497-k_15-p_0.2.txt,15,306,11
synth-n_200-m_4763-k_25-p_0.2.txt,25,287,11
synth-n_200-m_4854-k_30-p_0.2.txt,30,232,12
synth-n_200-m_5144-k_50-p_0.2.txt,50,306,17
synth-n_200-m_5366-k_70-p_0.2.txt,70,299,12
synth-n_2000-m_106592-k_70-p_0.05.txt,70,3626,2095
synth-n_2000-m_108739-k_100-p_0.05.txt,100,3717,2137
synth-n_2000-m_110886-k_120-p_0.05.txt,120,3533,2200
synth-n_2000-m_112582-k_150-p_0.05.txt,150,3628,2274
synth-n_2000-m_117145-k_200-p_0.05.txt,200,3664,2363
synth-n_2000-m_212793-k_70-p_0.1.txt,70,3412,3667
synth-n_2000-m_217131-k_100-p_0.1.txt,100,3682,3852
synth-n_2000-m_220005-k_120-p_0.1.txt,120,3499,3969
synth-n_2000-m_225391-k_150-p_0.1.txt,150,3622,4020
synth-n_2000-m_233102-k_200-p_0.1.txt,200,3603,4224
synth-n_2000-m_422023-k_70-p_0.2.txt,70,3484,6864
synth-n_2000-m_430943-k_100-p_0.2.txt,100,3138,7051
synth-n_2000-m_435643-k_120-p_0.2.txt,120,3466,7221
synth-n_2000-m_444160-k_150-p_0.2.txt,150,3593,7460
synth-n_2000-m_457573-k_200-p_0.2.txt,200,3353,7792
synth-n_2300-m_142851-k_100-p_0.05.txt,100,4195,3179
synth-n_2300-m_144829-k_120-p_0.05.txt,120,4267,3262
synth-n_2300-m_147738-k_150-p_0.05.txt,150,3916,3371
synth-n_2300-m_152429-k_200-p_0.05.txt,200,4042,3469
synth-n_2300-m_284623-k_100-p_0.1.txt,100,4149,5742
synth-n_2300-m_286796-k_120-p_0.1.txt,120,4178,5819
synth-n_2300-m_292795-k_150-p_0.1.txt,150,3838,6013
synth-n_2300-m_302503-k_200-p_0.1.txt,200,4015,6282
synth-n_2300-m_563042-k_100-p_0.2.txt,100,3912,10774
