name,k_optimal,k_approx,millis
advotogo-n_100,2,2,27
advotogo-n_1000,127,132,12
advotogo-n_1500,215,234,12
advotogo-n_200,9,10,4
advotogo-n_2000,297,309,11
advotogo-n_3000,548,605,42
advotogo-n_4000,863,1240,346
advotogo-n_500,39,40,2
advotogo-n_5000,1160,1709,477
advotogo-n_5159,1208,1757,366
bitcoinalpha-n_100,2,2,1
bitcoinalpha-n_1000,136,137,1
bitcoinalpha-n_1500,261,262,1
bitcoinalpha-n_200,11,11,1
bitcoinalpha-n_2000,393,399,2
bitcoinalpha-n_3000,658,667,6
bitcoinalpha-n_3785,921,941,7
bitcoinalpha-n_50,2,2,1
bitcoinalpha-n_500,54,56,1
blogs-n_100,8,8,1
blogs-n_1000,196,399,48
blogs-n_1227,262,538,121
blogs-n_200,16,16,1
blogs-n_50,6,6,1
blogs-n_500,76,101,6
chess-n_1000,62,117,8
chess-n_1500,127,261,24
chess-n_200,2,2,1
chess-n_2000,204,461,56
chess-n_500,17,17,1
ChicagoRegional-n_100,1,1,2
ChicagoRegional-n_1000,92,92,2
ChicagoRegional-n_10000,4193,4755,481
ChicagoRegional-n_1500,181,182,1
ChicagoRegional-n_200,5,5,1
ChicagoRegional-n_2000,307,311,1
ChicagoRegional-n_3000,631,640,1
ChicagoRegional-n_4000,1020,1030,2
ChicagoRegional-n_50,2,2,1
ChicagoRegional-n_500,24,24,1
ChicagoRegional-n_5000,1484,1521,4
ChicagoRegional-n_6000,1987,2089,15
ChicagoRegional-n_7000,2495,2611,27
ChicagoRegional-n_8000,3028,3250,77
ChicagoRegional-n_9000,3651,4049,213
health-n_100,4,4,1
health-n_1000,231,241,1
health-n_1500,446,561,17
health-n_200,17,17,1
health-n_2000,674,1098,179
health-n_2542,960,1743,692
health-n_50,2,2,1
health-n_500,67,69,1
link-kv-n_100,8,10,0
link-kv-n_1000,234,267,14
link-kv-n_1500,391,451,49
link-kv-n_200,20,24,1
link-kv-n_2000,565,674,170
link-kv-n_3000,900,1096,469
link-kv-n_4000,1244,1589,1289
link-kv-n_500,83,98,4
link-kv-n_5000,1670,2131,2641
link-kv-n_6000,2014,2618,4450
link-kv-n_6916,2364,3081,6830
openflights-n_100,10,10,1
openflights-n_1000,201,213,1
openflights-n_1500,413,452,6
openflights-n_200,26,29,0
openflights-n_2000,593,638,6
openflights-n_2942,998,1121,24
openflights-n_50,2,2,1
openflights-n_500,80,88,1
out.cfinder-google-n_100,6,6,1
out.cfinder-google-n_1000,100,103,0
out.cfinder-google-n_10000,3133,3977,2425
out.cfinder-google-n_1500,188,202,1
out.cfinder-google-n_200,13,13,0
out.cfinder-google-n_2000,307,334,4
out.cfinder-google-n_3000,574,647,25
out.cfinder-google-n_4000,852,982,68
out.cfinder-google-n_50,7,7,0
out.cfinder-google-n_500,37,38,1
out.cfinder-google-n_5000,1200,1421,172
out.cfinder-google-n_6000,1581,2002,511
out.cfinder-google-n_7000,1928,2305,575
out.cfinder-google-n_8000,2338,3024,1412
out.cfinder-google-n_9000,2698,3451,1867
talk-oc-n_1000,7,7,1
talk-oc-n_1500,15,15,1
talk-oc-n_2000,15,15,1
talk-oc-n_3000,29,29,2
talk-oc-n_3066,30,30,1
talk-oc-n_500,3,3,0
temporalGraph-n_1000,40,40,1
temporalGraph-n_1500,77,94,1
temporalGraph-n_1868,106,123,2
temporalGraph-n_200,5,5,0
temporalGraph-n_50,3,3,0
temporalGraph-n_500,17,25,1
ucsocial-n_100,5,5,1
ucsocial-n_1000,258,303,4
ucsocial-n_1500,435,632,48
ucsocial-n_1902,585,787,61
ucsocial-n_200,23,23,1
ucsocial-n_50,3,3,1
ucsocial-n_500,80,80,1
usairport-n_100,13,13,1
usairport-n_1000,253,327,11
usairport-n_1500,428,597,51
usairport-n_1577,455,628,63
usairport-n_200,29,38,0
usairport-n_50,5,7,1
usairport-n_500,112,146,3
wikispeedia-n_1000,156,173,2
wikispeedia-n_1500,271,466,31
wikispeedia-n_200,14,14,1
wikispeedia-n_2000,437,828,178
wikispeedia-n_3000,804,1755,904
wikispeedia-n_500,56,70,1
synth-n_100-m_1093-k_5-p_0.2.txt,5,5,1
synth-n_100-m_1146-k_10-p_0.2.txt,10,92,4
synth-n_100-m_1151-k_15-p_0.2.txt,15,97,7
synth-n_100-m_1229-k_20-p_0.2.txt,20,100,5
synth-n_100-m_1263-k_25-p_0.2.txt,25,100,4
synth-n_100-m_1275-k_30-p_0.2.txt,30,100,5
synth-n_100-m_263-k_5-p_0.05.txt,5,5,0
synth-n_100-m_289-k_10-p_0.05.txt,4,14,1
synth-n_100-m_302-k_15-p_0.05.txt,8,17,1
synth-n_100-m_332-k_20-p_0.05.txt,14,46,1
synth-n_100-m_336-k_30-p_0.05.txt,15,59,2
synth-n_100-m_343-k_25-p_0.05.txt,14,57,2
synth-n_100-m_515-k_5-p_0.1.txt,5,63,2
synth-n_100-m_591-k_15-p_0.1.txt,15,83,2
synth-n_100-m_611-k_10-p_0.1.txt,10,81,3
synth-n_100-m_628-k_20-p_0.1.txt,20,88,3
synth-n_100-m_691-k_25-p_0.1.txt,25,97,4
synth-n_100-m_732-k_30-p_0.1.txt,30,99,5
synth-n_1000-m_107005-k_50-p_0.2.txt,50,1000,2541
synth-n_1000-m_110357-k_70-p_0.2.txt,70,1000,2606
synth-n_1000-m_114433-k_100-p_0.2.txt,100,1000,2603
synth-n_1000-m_116757-k_120-p_0.2.txt,120,1000,2660
synth-n_1000-m_119520-k_150-p_0.2.txt,150,1000,2712
synth-n_1000-m_124702-k_200-p_0.2.txt,200,1000,2927
synth-n_1000-m_27142-k_50-p_0.05.txt,50,987,803
synth-n_1000-m_28175-k_70-p_0.05.txt,70,989,853
synth-n_1000-m_29037-k_100-p_0.05.txt,100,995,887
synth-n_1000-m_30042-k_120-p_0.05.txt,120,1000,1281
synth-n_1000-m_30795-k_150-p_0.05.txt,150,1000,1339
synth-n_1000-m_32410-k_200-p_0.05.txt,200,1000,902
synth-n_1000-m_54531-k_50-p_0.1.txt,50,997,1378
synth-n_1000-m_55974-k_70-p_0.1.txt,70,1000,1352
synth-n_1000-m_57929-k_100-p_0.1.txt,100,1000,1349
synth-n_1000-m_59867-k_120-p_0.1.txt,120,1000,1341
synth-n_1000-m_60934-k_150-p_0.1.txt,150,1000,1366
synth-n_1000-m_64710-k_200-p_0.1.txt,200,1000,1544
synth-n_1300-m_104213-k_200-p_0.1.txt,200,1300,3315
synth-n_1300-m_178841-k_50-p_0.2.txt,50,1300,6132
synth-n_1300-m_183367-k_70-p_0.2.txt,70,1300,5776
synth-n_1300-m_188195-k_100-p_0.2.txt,100,1300,6133
synth-n_1300-m_191963-k_120-p_0.2.txt,120,1300,5809
synth-n_1300-m_196174-k_150-p_0.2.txt,150,1300,6320
synth-n_1300-m_204142-k_200-p_0.2.txt,200,1300,6518
synth-n_1300-m_45241-k_50-p_0.05.txt,50,1291,1670
synth-n_1300-m_46137-k_70-p_0.05.txt,70,1290,1651
synth-n_1300-m_47847-k_100-p_0.05.txt,100,1298,1804
synth-n_1300-m_49172-k_120-p_0.05.txt,120,1300,1858
synth-n_1300-m_50340-k_150-p_0.05.txt,150,1300,1874
synth-n_1300-m_52952-k_200-p_0.05.txt,200,1299,1749
synth-n_1300-m_89669-k_50-p_0.1.txt,50,1298,3008
synth-n_1300-m_92255-k_70-p_0.1.txt,70,1299,3184
synth-n_1300-m_95352-k_100-p_0.1.txt,100,1300,3333
synth-n_1300-m_97421-k_120-p_0.1.txt,120,1300,3244
synth-n_1300-m_99879-k_150-p_0.1.txt,150,1300,3131
synth-n_150-m_1254-k_10-p_0.1.txt,10,118,8
synth-n_150-m_1269-k_15-p_0.1.txt,15,121,5
synth-n_150-m_1284-k_20-p_0.1.txt,20,134,8
synth-n_150-m_1385-k_25-p_0.1.txt,25,141,8
synth-n_150-m_1423-k_30-p_0.1.txt,30,142,8
synth-n_150-m_1564-k_50-p_0.1.txt,48,150,12
synth-n_150-m_2446-k_10-p_0.2.txt,10,144,18
synth-n_150-m_2502-k_15-p_0.2.txt,15,147,12
synth-n_150-m_2552-k_20-p_0.2.txt,20,148,11
synth-n_150-m_2731-k_25-p_0.2.txt,25,149,17
synth-n_150-m_2807-k_30-p_0.2.txt,30,150,13
synth-n_150-m_3040-k_50-p_0.2.txt,50,150,23
synth-n_150-m_3050-k_70-p_0.2.txt,70,150,12
synth-n_150-m_630-k_15-p_0.05.txt,15,77,3
